,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
281,0,Stuttgart,12,1,0,1,0,0,0,2,17,D,11,2012-04-21,FC Koln,D1,4,4,9,19,D,4,FC Koln_Stuttgart_2011
282,1,Kaiserslautern,13,1,0,2,0,1,2,2,14,A,15,2012-04-21,Hertha,D1,8,4,9,11,A,5,Hertha_Kaiserslautern_2011
283,1,Leverkusen,13,0,0,1,0,0,0,0,11,A,10,2012-04-21,Hoffenheim,D1,4,3,6,15,D,0,Hoffenheim_Leverkusen_2011
284,0,Hamburg,17,1,0,1,0,0,0,1,21,D,7,2012-04-21,Nurnberg,D1,4,6,2,13,D,3,Nurnberg_Hamburg_2011
285,0,Bayern Munich,15,1,0,2,0,0,0,0,11,A,15,2012-04-21,Werder Bremen,D1,6,4,4,16,D,2,Werder Bremen_Bayern Munich_2011
286,4,Schalke 04,14,1,0,1,1,0,1,3,20,D,5,2012-04-22,Augsburg,D1,2,6,5,15,D,1,Augsburg_Schalke 04_2011
287,1,Freiburg,14,0,0,0,0,0,0,1,17,D,11,2012-04-22,Hannover,D1,3,5,5,17,D,4,Hannover_Freiburg_2011
288,1,Stuttgart,12,2,0,0,1,0,0,1,14,H,9,2012-04-28,Bayern Munich,D1,5,6,6,15,H,6,Bayern Munich_Stuttgart_2011
289,0,FC Koln,12,4,0,1,1,0,0,1,12,H,9,2012-04-28,Freiburg,D1,4,8,7,17,H,5,Freiburg_FC Koln_2011
290,0,Mainz,13,0,0,0,0,0,0,1,19,D,12,2012-04-28,Hamburg,D1,5,5,4,15,D,6,Hamburg_Mainz_2011
291,1,Nurnberg,14,2,0,3,1,0,2,1,14,A,15,2012-04-28,Hoffenheim,D1,7,7,13,16,A,4,Hoffenheim_Nurnberg_2011
292,1,Dortmund,7,2,0,5,1,0,3,1,7,A,17,2012-04-28,Kaiserslautern,D1,6,5,1,10,A,2,Kaiserslautern_Dortmund_2011
293,1,Hannover,13,1,0,0,0,0,0,0,12,H,10,2012-04-28,Leverkusen,D1,2,4,5,13,D,7,Leverkusen_Hannover_2011
294,0,Augsburg,10,0,0,0,0,0,0,2,15,D,8,2012-04-28,M'gladbach,D1,1,5,3,12,D,3,M'gladbach_Augsburg_2011
295,1,Hertha,10,4,0,0,1,0,0,1,12,H,7,2012-04-28,Schalke 04,D1,3,6,6,23,H,4,Schalke 04_Hertha_2011
296,2,Werder Bremen,25,3,0,1,1,0,1,3,13,H,11,2012-04-28,Wolfsburg,D1,6,10,6,13,D,5,Wolfsburg_Werder Bremen_2011
