,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
217,3.2,2.5,2.6,-0.25,2.38,2.75,3.35,-0.25,2.62,2.6,2.38,2.85,3.2,2.4,2.0,1.78,2.3,2.65,2.06,2.35,1.8,2.5,1.7,2.35,3.2,2.05,1.85,1.65,-0.25,2.05,3.0,3.2,3.3,2.05,Freiburg,Nurnberg,Freiburg_Nurnberg_2004
218,3.2,2.0,3.2,-0.25,2.1,3.2,3.45,-0.25,3.2,3.25,2.0,3.45,3.25,2.0,2.0,2.06,2.0,3.2,1.78,2.0,1.8,3.2,2.0,2.05,3.25,1.8,2.1,1.75,-0.25,1.95,3.1,3.2,3.3,1.73,Hansa Rostock,Bochum,Hansa Rostock_Bochum_2004
219,3.4,1.8,3.4,-0.25,2.0,3.4,3.4,-0.25,4.0,3.5,1.91,3.4,3.25,1.9,2.0,2.06,1.72,3.95,1.78,1.8,1.8,3.8,2.0,2.1,3.25,1.8,2.1,1.8,-0.25,1.8,3.1,3.25,3.15,1.73,Kaiserslautern,M'gladbach,Kaiserslautern_M'gladbach_2004
220,3.25,2.1,3.2,-0.5,2.0,3.4,3.3,-0.5,3.3,3.25,2.0,3.65,3.25,2.0,2.2,1.8,1.95,3.5,2.04,1.95,1.65,3.1,1.73,2.0,3.25,2.15,1.75,1.65,-0.5,2.05,3.0,3.2,3.3,2.0,Leverkusen,Hertha,Leverkusen_Hertha_2004
221,4.33,1.27,8.0,-1.5,1.33,8.5,5.2,-1.5,8.0,7.5,1.33,10.0,4.33,1.33,2.37,1.96,1.3,9.2,1.88,1.25,1.55,8.5,,1.3,4.33,1.925,1.975,1.45,,2.5,4.3,4.0,4.75,,Werder Bremen,Mainz,Werder Bremen_Mainz_2004
222,3.5,1.7,4.5,-0.75,1.62,5.0,3.6,-0.75,4.5,5.0,1.62,4.75,3.4,1.61,2.1,2.06,1.61,4.3,1.78,1.7,1.7,4.2,1.9,1.75,3.5,1.8,2.1,1.66,-0.75,2.05,3.2,3.5,3.4,1.82,Wolfsburg,Hannover,Wolfsburg_Hannover_2004
223,3.1,2.3,2.75,-0.25,2.3,2.88,3.35,-0.25,2.75,2.7,2.25,3.0,3.2,2.3,2.0,1.76,2.3,2.85,2.08,2.2,1.8,2.7,1.73,2.25,3.2,2.15,1.75,1.79,-0.25,1.9,3.0,3.2,3.3,2.0,Dortmund,Stuttgart,Dortmund_Stuttgart_2004
224,3.1,2.3,2.62,0.0,2.5,2.7,3.25,-0.25,2.75,2.62,2.5,2.8,3.0,2.5,1.95,1.72,2.3,2.7,2.12,2.35,1.85,2.7,2.0,2.45,3.2,1.8,2.1,1.79,0.0,1.9,3.0,2.88,3.2,1.73,Schalke 04,Bayern Munich,Schalke 04_Bayern Munich_2004
225,5.0,1.25,9.0,-1.5,1.25,10.0,5.75,-1.5,9.5,10.0,1.22,10.5,5.0,1.22,2.3,2.14,1.22,10.5,1.7,1.2,1.6,9.0,2.08,1.25,5.0,1.775,2.125,1.55,-1.5,2.25,4.5,5.0,5.5,1.75,Bayern Munich,Hansa Rostock,Bayern Munich_Hansa Rostock_2004
226,3.25,2.4,2.6,0.0,2.38,2.7,3.35,0.0,2.5,2.6,2.38,2.75,3.2,2.4,2.1,2.08,2.4,2.7,1.76,2.3,1.7,2.5,2.05,2.4,3.25,1.775,2.125,1.71,0.0,2.0,3.1,3.2,3.35,1.77,Bochum,Wolfsburg,Bochum_Wolfsburg_2004
227,3.25,1.85,4.0,-0.5,1.8,4.0,3.5,-0.5,4.2,4.0,1.73,4.2,3.25,1.8,2.2,2.08,1.72,3.85,1.76,1.8,1.65,3.6,1.88,1.83,3.4,1.825,2.075,1.6,-0.5,2.15,3.1,3.4,3.4,1.83,Hamburg,Dortmund,Hamburg_Dortmund_2004
228,3.3,2.0,3.0,-0.25,2.1,3.2,3.3,-0.25,3.1,3.0,2.1,3.4,3.25,2.1,1.9,2.02,2.0,3.5,1.82,1.95,1.9,3.2,1.95,2.1,3.2,1.85,2.05,1.85,-0.25,1.85,3.1,3.2,3.25,1.85,Hannover,M'gladbach,Hannover_M'gladbach_2004
229,3.5,1.55,6.0,-1.0,1.53,6.0,3.9,-1.0,5.5,6.0,1.5,6.0,3.5,1.5,2.0,1.98,1.53,5.6,1.86,1.5,1.8,4.8,1.95,1.55,3.6,1.85,2.05,1.71,-1.0,2.0,3.5,3.4,3.75,1.85,Hertha,Bielefeld,Hertha_Bielefeld_2004
230,3.3,1.7,4.5,-0.75,1.62,5.0,3.8,-0.75,4.5,4.5,1.62,5.2,3.4,1.66,2.3,2.08,1.66,5.2,1.76,1.55,1.6,4.2,2.08,1.65,3.5,1.825,2.075,1.6,-0.75,2.15,3.2,3.5,3.6,1.75,Leverkusen,Kaiserslautern,Leverkusen_Kaiserslautern_2004
231,3.3,3.2,1.83,0.5,4.33,1.8,3.5,0.5,1.83,1.8,3.75,1.85,3.3,3.75,2.4,1.78,3.6,1.9,2.06,3.4,1.53,2.0,1.85,4.1,3.25,2.075,1.825,1.55,0.5,2.25,3.1,3.2,3.4,1.86,Nurnberg,Werder Bremen,Nurnberg_Werder Bremen_2004
232,3.3,3.8,1.8,0.5,4.0,1.85,3.5,0.5,1.8,1.83,4.0,1.83,3.4,4.2,1.95,1.86,3.75,1.75,1.98,4.1,1.85,1.8,1.83,4.25,3.4,2.05,1.85,1.75,0.5,1.95,3.1,3.2,3.4,1.89,Mainz,Schalke 04,Mainz_Schalke 04_2004
233,5.0,1.3,9.0,-1.75,1.29,9.0,5.2,-1.5,8.0,8.5,1.22,9.5,4.5,1.28,2.37,2.1,1.25,9.2,1.74,1.25,1.55,8.0,2.1,1.28,4.75,2.05,1.85,1.5,-1.5,2.35,4.2,5.0,5.25,1.73,Stuttgart,Freiburg,Stuttgart_Freiburg_2004
234,3.3,2.9,2.25,0.25,3.0,2.2,3.3,0.25,2.25,2.1,2.75,2.25,3.25,3.0,2.25,1.8,2.62,2.2,2.04,2.9,1.61,2.2,1.8,3.0,3.2,2.025,1.875,1.6,0.25,2.15,3.0,3.2,3.2,2.0,Bielefeld,Leverkusen,Bielefeld_Leverkusen_2004
235,3.4,4.0,1.8,0.5,4.0,1.8,3.5,,1.8,1.9,3.75,1.85,3.25,3.5,2.3,,3.6,1.75,,4.1,1.6,1.75,1.8,4.1,3.4,2.0,1.9,1.55,0.5,2.25,3.2,3.25,3.3,1.85,Freiburg,Hamburg,Freiburg_Hamburg_2004
236,3.3,1.9,4.0,-0.5,1.8,4.33,3.3,-0.5,3.25,3.75,1.8,3.9,3.3,1.8,2.05,2.04,1.95,3.5,1.8,1.95,1.75,3.5,1.76,1.85,3.2,1.85,2.05,1.71,-0.5,2.0,3.1,3.2,3.4,1.9,Hansa Rostock,Mainz,Hansa Rostock_Mainz_2004
237,3.4,1.8,3.75,-0.5,1.8,4.0,3.4,-0.5,4.0,4.0,1.8,4.3,3.25,1.8,2.0,2.0,1.72,4.0,1.84,1.8,1.8,3.8,1.87,1.8,3.4,1.825,2.05,1.79,-0.5,1.9,3.1,3.25,3.3,1.8,Kaiserslautern,Hannover,Kaiserslautern_Hannover_2004
