,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
159,2,Chelsea,16,2,0,1,1,M Clattenburg,0,0,0,8,H,11,2015-12-14,Leicester,E0,5,5,1,9,H,8,Leicester_Chelsea_2015
160,1,Sunderland,12,3,0,1,2,R East,0,0,3,12,H,11,2015-12-19,Chelsea,E0,3,7,2,17,H,2,Chelsea_Sunderland_2015
161,2,Leicester,6,2,0,3,1,J Moss,0,1,1,14,A,10,2015-12-19,Everton,E0,5,5,10,13,D,2,Everton_Leicester_2015
162,0,Norwich,4,1,0,2,0,M Oliver,0,1,2,10,A,6,2015-12-19,Man United,E0,4,2,11,11,A,0,Man United_Norwich_2015
163,1,Aston Villa,9,1,0,1,1,M Atkinson,0,0,3,14,D,10,2015-12-19,Newcastle,E0,7,4,3,8,H,7,Newcastle_Aston Villa_2015
164,1,Tottenham,18,0,0,2,0,K Friend,0,2,1,9,A,13,2015-12-19,Southampton,E0,6,4,4,11,A,7,Southampton_Tottenham_2015
165,2,Crystal Palace,6,1,0,2,0,R Madley,0,1,0,12,A,12,2015-12-19,Stoke,E0,3,5,7,26,A,3,Stoke_Crystal Palace_2015
166,2,Bournemouth,12,1,0,2,0,M Dean,2,0,1,9,A,16,2015-12-19,West Brom,E0,7,2,4,6,D,8,West Brom_Bournemouth_2015
167,0,West Ham,6,0,0,0,0,L Mason,0,0,1,9,D,11,2015-12-20,Swansea,E0,2,2,8,21,D,9,Swansea_West Ham_2015
168,1,Liverpool,6,3,0,0,2,M Clattenburg,0,0,0,9,H,12,2015-12-20,Watford,E0,4,5,7,6,H,9,Watford_Liverpool_2015
169,0,Man City,5,2,0,1,2,A Marriner,0,0,2,16,H,20,2015-12-21,Arsenal,E0,6,5,4,8,H,8,Arsenal_Man City_2015
170,3,West Ham,14,1,0,1,0,M Dean,0,1,3,13,D,10,2015-12-26,Aston Villa,E0,4,8,9,15,A,6,Aston Villa_West Ham_2015
171,1,Crystal Palace,10,0,0,0,0,M Oliver,0,0,0,13,D,8,2015-12-26,Bournemouth,E0,0,4,8,10,D,9,Bournemouth_Crystal Palace_2015
172,1,Watford,7,2,0,2,1,A Marriner,0,1,4,15,D,12,2015-12-26,Chelsea,E0,3,2,9,17,D,4,Chelsea_Watford_2015
173,2,Leicester,11,1,0,0,0,M Atkinson,0,0,1,8,H,7,2015-12-26,Liverpool,E0,3,4,7,25,D,6,Liverpool_Leicester_2015
174,1,Sunderland,10,4,0,1,3,A Taylor,0,0,1,11,H,11,2015-12-26,Man City,E0,3,9,5,19,H,1,Man City_Sunderland_2015
175,2,Everton,16,0,0,1,0,L Mason,0,0,2,12,A,20,2015-12-26,Newcastle,E0,7,1,1,10,D,7,Newcastle_Everton_2015
176,1,Arsenal,10,4,0,0,1,J Moss,0,0,0,9,H,7,2015-12-26,Southampton,E0,4,5,3,15,H,4,Southampton_Arsenal_2015
177,1,Man United,13,2,0,0,2,K Friend,0,0,2,16,H,11,2015-12-26,Stoke,E0,6,3,1,13,H,12,Stoke_Man United_2015
178,1,West Brom,10,1,0,0,1,R East,0,0,3,13,H,9,2015-12-26,Swansea,E0,3,2,0,7,H,7,Swansea_West Brom_2015
179,1,Norwich,4,3,0,0,2,M Jones,0,0,2,13,H,11,2015-12-26,Tottenham,E0,3,10,9,15,H,4,Tottenham_Norwich_2015
180,2,Bournemouth,7,2,0,0,1,R East,0,0,0,8,H,10,2015-12-28,Arsenal,E0,3,6,9,13,H,3,Arsenal_Bournemouth_2015
181,3,Swansea,11,0,0,0,0,N Swarbrick,0,0,2,16,D,5,2015-12-28,Crystal Palace,E0,3,2,7,10,D,4,Crystal Palace_Swansea_2015
182,2,Stoke,10,3,0,4,1,M Clattenburg,0,2,1,12,A,8,2015-12-28,Everton,E0,5,3,6,15,A,2,Everton_Stoke_2015
183,4,Chelsea,16,0,0,0,0,M Atkinson,0,0,2,6,D,8,2015-12-28,Man United,E0,3,2,5,12,D,3,Man United_Chelsea_2015
184,2,Aston Villa,10,2,0,0,1,G Scott,0,0,5,21,H,6,2015-12-28,Norwich,E0,3,4,3,9,H,7,Norwich_Aston Villa_2015
185,4,Tottenham,11,1,0,2,1,A Taylor,1,1,2,13,A,10,2015-12-28,Watford,E0,3,1,5,9,D,3,Watford_Tottenham_2015
186,0,Newcastle,7,1,0,0,0,M Jones,0,0,0,13,H,7,2015-12-28,West Brom,E0,2,5,18,22,D,6,West Brom_Newcastle_2015
187,1,Southampton,6,2,0,1,0,M Oliver,0,1,3,12,H,15,2015-12-28,West Ham,E0,4,5,4,13,A,7,West Ham_Southampton_2015
188,1,Man City,11,0,0,0,0,C Pawson,0,0,3,8,D,21,2015-12-29,Leicester,E0,5,4,1,11,D,13,Leicester_Man City_2015
189,1,Liverpool,8,0,0,1,0,K Friend,0,0,3,16,A,17,2015-12-30,Sunderland,E0,6,3,6,8,D,4,Sunderland_Liverpool_2015
190,2,Newcastle,10,1,0,0,0,A Taylor,0,0,2,9,H,15,2016-01-02,Arsenal,E0,6,3,7,16,D,4,Arsenal_Newcastle_2015
191,1,Bournemouth,9,0,1,0,0,A Marriner,0,0,1,5,D,9,2016-01-02,Leicester,E0,0,2,7,16,D,1,Leicester_Bournemouth_2015
192,2,Swansea,14,2,0,1,0,J Moss,0,0,1,10,H,9,2016-01-02,Man United,E0,4,6,4,19,D,2,Man United_Swansea_2015
193,1,Southampton,9,1,1,0,0,M Clattenburg,0,0,0,7,H,10,2016-01-02,Norwich,E0,4,1,4,10,D,9,Norwich_Southampton_2015
194,3,Aston Villa,8,3,0,1,1,C Pawson,0,0,4,13,H,8,2016-01-02,Sunderland,E0,3,6,3,13,H,3,Sunderland_Aston Villa_2015
195,1,Man City,6,1,0,2,0,M Atkinson,0,0,0,10,A,16,2016-01-02,Watford,E0,5,3,4,11,D,5,Watford_Man City_2015
196,1,Stoke,7,2,1,1,0,L Mason,0,0,1,15,H,10,2016-01-02,West Brom,E0,3,5,4,16,D,6,West Brom_Stoke_2015
197,1,Liverpool,11,2,0,0,1,R Madley,0,0,1,8,H,23,2016-01-02,West Ham,E0,2,10,3,18,H,9,West Ham_Liverpool_2015
198,3,Chelsea,12,0,0,3,0,K Friend,0,1,0,15,A,10,2016-01-03,Crystal Palace,E0,4,4,5,8,A,7,Crystal Palace_Chelsea_2015
199,1,Tottenham,8,1,0,1,1,M Oliver,0,1,2,11,D,19,2016-01-03,Everton,E0,4,3,4,12,D,4,Everton_Tottenham_2015
200,2,Crystal Palace,15,1,0,0,0,M Clattenburg,0,0,1,9,H,9,2016-01-12,Aston Villa,E0,1,3,9,13,D,0,Aston Villa_Crystal Palace_2015
201,1,West Ham,8,1,0,3,1,M Atkinson,0,0,1,5,A,10,2016-01-12,Bournemouth,E0,5,4,4,11,H,7,Bournemouth_West Ham_2015
202,1,Man United,10,3,0,3,1,M Dean,0,2,3,12,D,12,2016-01-12,Newcastle,E0,4,6,5,14,A,3,Newcastle_Man United_2015
203,3,West Brom,13,2,0,2,1,A Taylor,0,1,3,8,D,13,2016-01-13,Chelsea,E0,6,2,7,14,D,7,Chelsea_West Brom_2015
204,2,Arsenal,9,3,0,3,2,M Jones,0,2,0,7,D,14,2016-01-13,Liverpool,E0,5,6,9,22,D,3,Liverpool_Arsenal_2015
205,0,Everton,5,0,0,0,0,R East,0,0,1,6,D,7,2016-01-13,Man City,E0,2,5,12,22,D,5,Man City_Everton_2015
206,1,Watford,9,2,0,0,1,C Pawson,0,0,2,11,H,4,2016-01-13,Southampton,E0,1,7,8,15,H,1,Southampton_Watford_2015
207,0,Norwich,5,3,1,1,0,N Swarbrick,0,0,1,8,H,5,2016-01-13,Stoke,E0,2,4,7,14,D,3,Stoke_Norwich_2015
208,2,Sunderland,9,2,0,4,2,G Scott,1,1,0,12,A,7,2016-01-13,Swansea,E0,5,5,8,10,H,6,Swansea_Sunderland_2015
209,1,Leicester,13,0,0,1,0,L Mason,0,0,0,10,A,10,2016-01-13,Tottenham,E0,2,5,16,21,D,8,Tottenham_Leicester_2015
210,3,Leicester,13,1,0,1,0,R East,0,1,2,15,D,12,2016-01-16,Aston Villa,E0,5,5,3,14,A,4,Aston Villa_Leicester_2015
211,1,Norwich,8,3,0,0,1,R Madley,0,0,1,13,H,10,2016-01-16,Bournemouth,E0,3,8,5,15,H,3,Bournemouth_Norwich_2015
212,1,Everton,12,3,0,3,0,M Jones,0,0,1,5,D,9,2016-01-16,Chelsea,E0,4,7,6,14,D,4,Chelsea_Everton_2015
213,0,Crystal Palace,10,4,0,0,2,J Moss,0,0,2,11,H,9,2016-01-16,Man City,E0,3,4,5,17,H,6,Man City_Crystal Palace_2015
214,1,West Ham,9,2,0,1,2,N Swarbrick,0,0,0,4,H,10,2016-01-16,Newcastle,E0,3,10,3,23,H,3,Newcastle_West Ham_2015
215,0,West Brom,10,3,0,0,2,M Atkinson,0,0,0,11,H,9,2016-01-16,Southampton,E0,0,5,1,9,H,3,Southampton_West Brom_2015
216,0,Sunderland,8,4,0,1,1,M Dean,0,1,2,13,H,5,2016-01-16,Tottenham,E0,2,11,11,26,D,3,Tottenham_Sunderland_2015
217,0,Man United,6,0,0,1,0,M Clattenburg,0,0,2,18,A,7,2016-01-17,Liverpool,E0,1,4,5,19,D,4,Liverpool_Man United_2015
218,0,Arsenal,16,0,0,0,0,C Pawson,0,0,0,10,D,8,2016-01-17,Stoke,E0,3,6,6,14,D,6,Stoke_Arsenal_2015
219,2,Watford,8,1,0,0,1,M Oliver,0,0,2,11,H,13,2016-01-18,Swansea,E0,2,2,6,10,H,3,Swansea_Watford_2015
220,2,Tottenham,11,1,0,3,1,M Atkinson,0,0,2,12,A,24,2016-01-23,Crystal Palace,E0,11,3,3,11,H,10,Crystal Palace_Tottenham_2015
