,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
211,3.25,2.5,2.4,0.0,2.7,2.5,3.1,0.0,2.4,2.5,2.5,2.5,3.2,2.5,,1.78,2.5,2.4,2.06,2.75,,2.5,2.5,2.65,3.2,2.05,1.85,2.05,0.5,1.65,3.0,3.25,3.3,1.47,Crystal Palace,Aston Villa,Crystal Palace_Aston Villa_2004
212,3.1,4.2,1.73,0.75,5.5,1.67,3.2,0.75,1.66,1.66,4.33,1.65,3.4,4.33,,1.84,5.0,1.7,2.0,5.0,,1.7,1.65,5.5,3.4,2.1,1.8,1.95,0.5,1.75,3.2,3.2,3.4,2.1,Norwich,Liverpool,Norwich_Liverpool_2004
213,3.2,3.5,1.91,0.5,4.0,1.91,3.25,0.5,1.9,1.83,3.4,1.9,3.4,3.6,,1.9,3.5,1.9,1.94,3.75,,1.9,1.9,3.95,3.25,1.975,1.925,1.85,0.5,1.85,3.1,3.25,3.3,1.8,West Brom,Newcastle,West Brom_Newcastle_2004
214,5.0,1.25,10.0,-1.5,1.29,10.0,4.5,-1.5,8.0,9.0,1.22,10.0,4.5,1.28,2.05,1.88,1.25,9.0,1.96,1.3,1.75,9.0,3.22,1.3,5.0,2.0,1.9,1.65,-0.5,2.05,4.5,5.0,4.75,1.3,Arsenal,Man City,Arsenal_Man City_2004
215,3.3,1.85,4.33,-0.5,1.83,4.2,3.2,-0.5,3.75,4.0,1.73,4.3,3.25,1.8,1.66,1.92,1.8,4.0,1.92,1.85,2.15,3.6,1.87,1.85,3.4,1.925,1.975,2.05,-0.5,1.65,3.1,3.2,3.3,1.85,Birmingham,Bolton,Birmingham_Bolton_2004
216,3.75,1.4,8.0,-1.25,1.36,8.5,3.7,-1.25,8.0,7.5,1.3,9.0,4.0,1.36,1.85,2.0,1.36,7.0,1.84,1.45,1.95,6.0,1.64,1.37,4.33,1.85,2.05,1.95,-1.5,1.75,3.9,4.33,4.2,1.93,Chelsea,Middlesbrough,Chelsea_Middlesbrough_2004
217,3.4,1.75,4.5,-0.5,1.73,4.75,3.2,-0.5,4.0,4.33,1.67,4.75,3.25,1.72,1.66,1.96,1.72,4.6,1.88,1.75,2.15,4.0,1.98,1.73,3.4,1.925,1.975,2.0,-0.5,1.71,3.2,3.25,3.4,1.73,Everton,Portsmouth,Everton_Portsmouth_2004
218,3.6,1.4,8.0,-1.25,1.4,8.5,4.0,-1.25,6.5,7.5,1.36,8.0,3.75,1.4,1.9,1.82,1.44,7.25,2.02,1.4,1.9,6.0,1.58,1.4,4.0,2.05,1.85,1.85,-1.5,1.85,3.9,3.75,4.1,2.02,Man United,Tottenham,Man United_Tottenham_2004
219,3.3,2.2,2.8,-0.25,2.38,2.88,3.1,-0.25,2.5,2.62,2.2,2.9,3.2,2.37,1.7,1.78,2.37,2.9,2.06,2.3,2.1,2.9,1.54,2.3,3.2,2.075,1.825,2.0,-0.5,1.71,3.0,3.2,3.3,2.3,Southampton,Fulham,Southampton_Fulham_2004
220,3.3,1.65,4.5,-0.75,1.67,5.5,3.4,-0.75,4.5,5.0,1.67,5.25,3.4,1.72,1.7,1.92,1.66,5.5,1.92,1.6,2.1,4.4,1.9,1.7,3.4,1.95,1.95,1.95,-0.75,1.75,3.3,3.25,3.35,1.9,Aston Villa,Norwich,Aston Villa_Norwich_2004
221,3.4,4.4,1.57,0.75,6.0,1.57,3.55,0.75,1.5,1.57,5.0,1.57,3.5,6.5,1.75,1.8,6.0,1.5,2.04,6.5,2.05,1.65,1.72,6.25,3.6,2.1,1.8,1.85,0.75,1.85,3.3,3.5,3.5,2.0,Bolton,Arsenal,Bolton_Arsenal_2004
222,3.2,2.0,3.4,-0.25,2.1,3.4,3.2,-0.25,3.5,3.4,2.0,3.45,3.1,2.2,1.7,1.92,1.9,3.3,1.92,2.05,2.1,3.2,1.9,2.1,3.2,1.95,1.95,2.0,-0.25,1.71,3.1,3.0,3.2,1.9,Charlton,Birmingham,Charlton_Birmingham_2004
223,2.9,2.5,2.75,0.0,2.6,2.6,3.1,0.0,2.5,2.6,2.38,2.85,3.2,2.62,1.65,1.98,2.62,2.75,1.86,2.4,2.2,2.5,1.92,2.85,3.2,1.875,2.025,2.05,0.0,1.65,3.0,3.0,3.3,1.88,Liverpool,Man United,Liverpool_Man United_2004
224,3.3,1.7,4.33,-0.75,1.7,5.0,3.2,-0.75,4.5,5.0,1.73,5.3,3.4,1.72,1.8,2.02,1.66,5.0,1.82,1.7,2.0,4.2,1.92,1.7,3.4,1.9,2.0,1.9,-0.75,1.79,3.2,3.2,3.3,1.88,Man City,Crystal Palace,Man City_Crystal Palace_2004
225,3.3,1.6,5.0,-1.0,1.57,6.0,3.5,-1.0,5.5,6.5,1.62,6.5,3.5,1.57,1.95,1.92,1.57,5.75,1.92,1.55,1.85,4.6,1.9,1.6,3.6,1.95,1.95,1.79,-1.0,1.9,3.4,3.25,3.3,1.9,Newcastle,Southampton,Newcastle_Southampton_2004
226,3.2,2.1,3.4,-0.25,2.05,3.5,3.2,-0.25,3.3,3.4,1.91,3.45,3.1,2.2,1.65,2.0,1.95,3.6,1.84,1.95,2.2,3.1,2.0,2.1,3.25,1.875,2.025,2.05,-0.25,1.65,3.0,3.25,3.2,1.8,Portsmouth,Blackburn,Portsmouth_Blackburn_2004
227,3.1,4.2,1.8,0.5,4.33,1.8,3.35,0.5,1.72,1.83,3.75,1.83,3.25,4.5,1.75,1.82,4.5,1.65,2.02,5.0,2.05,1.7,1.83,4.5,3.4,2.05,1.85,1.95,0.5,1.75,3.2,3.25,3.25,1.89,Tottenham,Chelsea,Tottenham_Chelsea_2004
228,3.1,1.7,4.33,-0.5,1.73,5.0,3.2,-0.5,4.5,5.0,1.73,4.7,3.1,1.8,1.75,1.98,1.72,5.0,1.86,1.7,2.05,4.2,1.94,1.77,3.3,1.875,2.025,1.95,-0.5,1.75,3.2,3.2,3.3,1.77,Fulham,West Brom,Fulham_West Brom_2004
229,3.0,2.2,3.0,-0.25,2.1,3.4,3.2,-0.25,3.2,3.4,2.1,3.4,3.1,2.2,1.65,2.0,2.1,3.2,1.84,2.1,2.2,2.9,2.0,2.1,3.2,1.875,2.025,2.05,-0.25,1.65,3.0,3.2,3.25,1.8,Middlesbrough,Everton,Middlesbrough_Everton_2004
230,3.2,1.9,3.75,-0.5,1.91,4.0,3.1,-0.5,3.5,4.33,1.8,3.9,3.1,1.9,1.7,1.84,1.9,3.75,2.0,1.95,2.1,3.5,1.77,1.95,3.25,2.025,1.875,1.95,-0.5,1.75,3.1,3.25,3.25,1.95,Birmingham,Fulham,Birmingham_Fulham_2004
231,5.0,1.22,11.0,-1.75,1.22,12.0,5.5,-1.75,11.0,13.0,1.2,13.0,6.0,1.2,2.0,1.78,1.2,12.0,2.06,1.2,1.8,9.5,1.8,1.22,5.5,2.075,1.825,1.71,-1.75,2.0,4.8,5.0,5.5,2.0,Chelsea,Portsmouth,Chelsea_Portsmouth_2004
232,3.1,3.1,2.1,0.25,3.2,2.2,3.2,0.25,2.15,2.25,3.0,2.25,3.2,3.1,1.6,1.92,3.0,2.0,1.92,3.45,2.3,2.1,1.9,3.1,3.2,1.95,1.95,2.0,0.25,1.71,3.0,3.2,3.2,1.9,Crystal Palace,Tottenham,Crystal Palace_Tottenham_2004
233,3.25,1.8,4.33,-0.5,1.83,4.33,3.2,-0.5,3.8,4.33,1.73,4.25,3.3,1.83,1.6,1.88,1.8,4.0,1.96,1.85,2.3,3.8,1.86,1.85,3.25,1.975,1.925,2.0,-0.5,1.71,3.1,3.2,3.3,1.85,Everton,Charlton,Everton_Charlton_2004
