,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
200,20:00:00,1,Aston Villa,12,0,0,1,0,L Mason,0,1,0,11,A,8,2021-01-30,Southampton,E0,4,5,7,20,A,1,Southampton_Aston Villa_2020
201,12:00:00,0,Burnley,7,0,2,0,1,G Scott,0,0,1,9,H,1,2021-01-31,Chelsea,E0,0,8,4,19,H,2,Chelsea_Burnley_2020
202,14:00:00,0,Leeds,17,0,1,3,1,C Kavanagh,0,1,3,16,A,8,2021-01-31,Leicester,E0,7,8,6,18,D,4,Leicester_Leeds_2020
203,16:30:00,2,Liverpool,7,0,1,3,0,J Moss,0,0,0,8,A,14,2021-01-31,West Ham,E0,5,2,6,8,D,5,West Ham_Liverpool_2020
204,19:15:00,2,Tottenham,11,0,1,0,1,P Bankes,0,0,1,11,H,8,2021-01-31,Brighton,E0,4,5,9,16,H,2,Brighton_Tottenham_2020
205,18:00:00,2,West Brom,11,0,2,1,0,P Tierney,0,1,1,9,H,8,2021-02-02,Sheffield United,E0,4,6,9,14,A,2,Sheffield United_West Brom_2020
206,18:00:00,3,Arsenal,11,2,2,1,1,C Pawson,0,1,2,8,H,9,2021-02-02,Wolves,E0,3,7,9,11,D,6,Wolves_Arsenal_2020
207,20:15:00,2,Southampton,11,2,9,0,4,M Dean,0,0,3,6,H,3,2021-02-02,Man United,E0,1,14,5,24,H,3,Man United_Southampton_2020
208,20:15:00,1,Crystal Palace,14,0,1,2,1,D England,0,2,3,11,A,6,2021-02-02,Newcastle,E0,3,5,9,21,A,1,Newcastle_Crystal Palace_2020
209,18:00:00,2,Man City,8,0,0,2,0,M Atkinson,0,2,1,5,A,17,2021-02-03,Burnley,E0,6,0,1,2,A,3,Burnley_Man City_2020
210,18:00:00,3,Leicester,17,0,0,2,0,R Jones,0,2,1,10,A,9,2021-02-03,Fulham,E0,5,1,5,8,A,2,Fulham_Leicester_2020
211,19:30:00,2,Everton,12,0,1,2,0,M Oliver,0,2,3,12,A,10,2021-02-03,Leeds,E0,6,7,7,16,A,1,Leeds_Everton_2020
212,20:15:00,1,West Ham,11,0,1,3,0,A Madley,0,0,1,15,A,20,2021-02-03,Aston Villa,E0,10,2,7,9,D,3,Aston Villa_West Ham_2020
213,20:15:00,1,Brighton,12,0,0,1,0,K Friend,0,0,0,6,A,13,2021-02-03,Liverpool,E0,4,1,6,11,D,3,Liverpool_Brighton_2020
214,20:00:00,2,Chelsea,20,0,0,1,0,A Marriner,0,1,3,14,A,18,2021-02-04,Tottenham,E0,2,2,2,7,A,7,Tottenham_Chelsea_2020
215,12:30:00,3,Arsenal,12,0,1,0,1,C Kavanagh,0,0,2,12,H,14,2021-02-06,Aston Villa,E0,3,8,3,12,H,7,Aston Villa_Arsenal_2020
216,15:00:00,2,Brighton,8,0,1,1,0,A Taylor,0,1,0,10,D,10,2021-02-06,Burnley,E0,2,7,8,20,A,7,Burnley_Brighton_2020
217,15:00:00,2,Southampton,11,0,3,2,3,C Pawson,1,1,1,14,H,14,2021-02-06,Newcastle,E0,5,4,0,6,H,7,Newcastle_Southampton_2020
218,17:30:00,1,West Ham,11,1,0,0,0,M Dean,0,0,2,10,D,8,2021-02-06,Fulham,E0,1,2,7,20,D,3,Fulham_West Ham_2020
219,20:00:00,2,Everton,14,0,3,3,2,J Moss,0,0,1,10,D,6,2021-02-06,Man United,E0,3,5,5,14,H,1,Man United_Everton_2020
220,12:00:00,1,West Brom,16,0,2,0,0,S Attwell,0,0,2,12,H,4,2021-02-07,Tottenham,E0,1,6,8,13,D,0,Tottenham_West Brom_2020
221,14:00:00,1,Leicester,11,0,0,0,0,M Atkinson,0,0,3,15,D,13,2021-02-07,Wolves,E0,3,1,8,13,D,2,Wolves_Leicester_2020
222,16:30:00,2,Man City,13,0,1,4,0,M Oliver,0,0,1,8,A,8,2021-02-07,Liverpool,E0,5,3,6,8,D,1,Liverpool_Man City_2020
223,19:15:00,1,Chelsea,8,0,1,2,0,K Friend,0,1,0,8,A,9,2021-02-07,Sheffield United,E0,3,3,1,8,A,8,Sheffield United_Chelsea_2020
224,20:00:00,0,Crystal Palace,7,0,2,0,1,A Marriner,0,0,2,8,H,8,2021-02-08,Leeds,E0,3,7,5,17,H,3,Leeds_Crystal Palace_2020
225,12:30:00,1,Liverpool,9,0,3,1,0,A Taylor,0,0,2,6,H,15,2021-02-13,Leicester,E0,4,6,2,11,D,12,Leicester_Liverpool_2020
226,15:00:00,0,Burnley,15,0,0,3,0,M Oliver,0,2,0,14,A,16,2021-02-13,Crystal Palace,E0,4,3,7,13,A,4,Crystal Palace_Burnley_2020
227,17:30:00,1,Tottenham,12,0,3,0,1,P Tierney,0,0,3,13,H,7,2021-02-13,Man City,E0,3,6,4,15,H,2,Man City_Tottenham_2020
228,20:00:00,2,Aston Villa,16,0,0,0,0,D England,0,0,3,12,D,4,2021-02-13,Brighton,E0,1,9,9,26,D,2,Brighton_Aston Villa_2020
229,12:00:00,2,Wolves,10,0,1,2,1,G Scott,0,0,2,9,A,10,2021-02-14,Southampton,E0,4,3,4,7,H,6,Southampton_Wolves_2020
230,14:00:00,5,Man United,13,0,1,1,1,C Pawson,0,1,0,10,D,10,2021-02-14,West Brom,E0,7,3,4,7,D,5,West Brom_Man United_2020
231,16:30:00,0,Leeds,8,0,4,2,3,S Attwell,0,0,2,17,H,9,2021-02-14,Arsenal,E0,5,5,4,13,H,5,Arsenal_Leeds_2020
232,19:00:00,1,Fulham,7,0,0,2,0,A Madley,0,0,1,16,A,12,2021-02-14,Everton,E0,3,2,5,7,D,4,Everton_Fulham_2020
233,18:00:00,0,Sheffield United,11,0,3,0,1,S Hooper,0,0,2,12,H,8,2021-02-15,West Ham,E0,5,9,7,13,H,7,West Ham_Sheffield United_2020
234,20:00:00,0,Newcastle,9,0,2,0,2,P Bankes,0,0,0,13,H,10,2021-02-15,Chelsea,E0,4,5,10,18,H,5,Chelsea_Newcastle_2020
235,18:00:00,1,Fulham,7,0,1,1,0,J Moss,0,0,1,13,D,8,2021-02-17,Burnley,E0,3,3,5,8,D,5,Burnley_Fulham_2020
236,20:15:00,2,Man City,8,0,1,3,1,A Marriner,0,1,1,8,A,16,2021-02-17,Everton,E0,7,2,0,3,D,10,Everton_Man City_2020
237,20:00:00,1,Leeds,13,0,1,0,0,D Coote,0,0,0,8,H,18,2021-02-19,Wolves,E0,7,5,7,15,D,9,Wolves_Leeds_2020
238,12:30:00,1,Chelsea,10,0,1,1,1,A Taylor,0,0,1,10,D,9,2021-02-20,Southampton,E0,3,1,3,4,H,6,Southampton_Chelsea_2020
239,15:00:00,3,West Brom,16,1,0,0,0,M Dean,0,0,0,10,D,10,2021-02-20,Burnley,E0,3,1,5,6,D,5,Burnley_West Brom_2020
240,17:30:00,2,Everton,10,0,0,2,0,C Kavanagh,0,1,1,10,A,9,2021-02-20,Liverpool,E0,6,6,7,15,A,2,Liverpool_Everton_2020
241,20:00:00,1,Sheffield United,11,0,1,0,0,M Atkinson,0,0,2,14,H,4,2021-02-20,Fulham,E0,2,7,6,15,D,4,Fulham_Sheffield United_2020
242,12:00:00,4,Tottenham,14,0,2,1,1,C Pawson,0,0,3,7,H,20,2021-02-21,West Ham,E0,4,4,5,4,H,7,West Ham_Tottenham_2020
243,14:05:00,2,Leicester,11,0,1,2,0,M Oliver,0,2,1,12,A,16,2021-02-21,Aston Villa,E0,7,2,7,11,A,8,Aston Villa_Leicester_2020
244,16:30:00,2,Man City,11,0,0,1,0,J Moss,0,1,2,9,A,15,2021-02-21,Arsenal,E0,3,1,1,7,A,3,Arsenal_Man City_2020
245,19:00:00,1,Newcastle,9,0,3,1,1,P Tierney,0,1,2,11,H,10,2021-02-21,Man United,E0,6,7,6,15,D,4,Man United_Newcastle_2020
246,20:00:00,2,Crystal Palace,11,0,1,2,0,K Friend,0,1,0,6,A,3,2021-02-22,Brighton,E0,2,5,13,25,A,0,Brighton_Crystal Palace_2020
247,18:00:00,1,Southampton,11,0,3,0,0,A Marriner,0,0,2,13,H,13,2021-02-23,Leeds,E0,5,7,2,11,D,4,Leeds_Southampton_2020
248,12:30:00,1,West Ham,8,0,2,1,1,M Oliver,0,1,1,11,H,9,2021-02-27,Man City,E0,3,3,4,10,D,2,Man City_West Ham_2020
249,15:00:00,0,Brighton,11,0,1,0,1,L Mason,0,0,0,12,H,15,2021-02-27,West Brom,E0,6,2,7,6,H,4,West Brom_Brighton_2020
250,17:30:00,3,Aston Villa,14,0,0,1,0,P Bankes,0,1,2,14,A,9,2021-02-27,Leeds,E0,4,3,7,13,A,5,Leeds_Aston Villa_2020
251,20:00:00,2,Wolves,11,0,1,1,0,M Dean,0,0,0,13,D,14,2021-02-27,Newcastle,E0,4,7,3,19,D,5,Newcastle_Wolves_2020
252,12:00:00,1,Fulham,10,0,0,0,0,A Taylor,0,0,1,14,D,16,2021-02-28,Crystal Palace,E0,4,0,1,3,D,3,Crystal Palace_Fulham_2020
