,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
207,3.2,1.85,3.75,-0.5,1.9,3.5,3.75,-0.5,3.5,3.5,1.8,3.65,3.25,1.9,1.9,1.9,1.9,1.83,3.25,1.95,1.8,3.1,1.9,1.9,3.25,2.0,1.85,1.79,-0.5,1.9,3.2,3.25,3.35,1.9,Rotherham,Wimbledon,Rotherham_Wimbledon_2003
208,3.3,1.6,5.5,-0.75,1.57,5.5,6.0,-1.0,4.5,5.5,1.533,5.0,3.4,1.57,2.0,1.8,1.66,1.53,3.4,2.05,1.72,4.0,1.8,1.65,3.4,1.825,2.025,1.71,-1.0,2.0,3.3,3.5,3.4,2.0,Sheffield United,Burnley,Sheffield United_Burnley_2003
209,3.3,1.6,4.5,-0.75,1.61,5.0,5.5,-0.75,4.5,5.5,1.615,5.05,3.4,1.57,1.9,1.9,1.66,1.57,3.4,1.95,1.8,4.0,2.0,1.66,3.4,1.85,2.0,1.95,-0.75,1.75,3.3,3.5,3.35,1.8,Sunderland,Coventry,Sunderland_Coventry_2003
210,3.1,2.1,3.0,-0.25,2.1,3.0,2.88,-0.25,3.3,3.0,2.1,3.15,3.25,2.1,1.72,2.05,2.0,2.2,3.25,1.8,2.0,2.8,1.95,2.1,3.25,1.8,2.05,1.95,-0.25,1.75,3.0,3.2,3.3,1.85,West Ham,West Brom,West Ham_West Brom_2003
211,3.2,2.2,2.75,-0.25,2.25,2.8,2.75,-0.25,2.8,2.8,2.25,2.8,3.25,2.2,2.0,1.95,2.25,2.25,3.25,1.9,1.72,2.5,1.75,2.3,3.2,1.95,1.9,1.71,-0.25,2.0,3.1,3.2,3.25,2.05,Derby,Burnley,Derby_Burnley_2003
212,3.4,1.6,5.0,-1.0,1.62,5.0,5.0,-1.0,5.0,5.0,1.57,5.25,3.4,1.61,2.05,1.85,1.62,1.57,3.5,2.0,1.7,4.0,1.9,1.63,3.4,1.825,2.025,1.75,-0.75,1.95,3.3,3.5,3.4,1.9,Gillingham,Wimbledon,Gillingham_Wimbledon_2003
213,3.4,1.5,5.5,-1.0,1.53,6.0,6.0,-1.0,6.0,5.5,1.53,6.25,3.5,1.53,1.9,1.8,1.53,1.5,3.5,2.05,1.8,4.7,1.8,1.55,3.4,2.1,1.75,1.79,-1.0,1.9,3.4,3.5,3.4,2.0,Norwich,Watford,Norwich_Watford_2003
214,3.25,1.9,3.75,-0.5,1.91,3.5,3.75,-0.5,3.5,3.5,1.8,3.75,3.25,1.9,1.8,1.95,1.91,1.83,3.25,1.9,1.9,3.0,1.9,1.9,3.25,1.925,1.925,1.85,-0.5,1.85,3.1,3.25,3.25,1.9,Reading,Millwall,Reading_Millwall_2003
215,3.3,1.8,3.5,-0.5,1.83,3.8,3.75,-0.5,3.75,3.75,1.91,3.7,3.25,1.83,1.9,1.95,1.8,1.83,3.25,1.9,1.9,3.4,1.9,1.9,3.25,1.9,1.95,1.9,-0.5,1.79,3.1,3.2,3.3,1.9,Burnley,Rotherham,Burnley_Rotherham_2003
216,3.2,1.8,4.0,-0.5,1.91,3.5,3.5,-0.5,3.75,3.5,1.8,3.75,3.25,1.9,1.85,1.95,1.83,1.91,3.25,1.9,1.95,3.4,1.95,1.85,3.25,1.9,1.95,1.9,-0.5,1.79,3.1,3.2,3.4,1.85,Coventry,Gillingham,Coventry_Gillingham_2003
