,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
200,2,Blackburn,13,1,0,2,0,M Dean,1,1,2,15,A,11,2015-11-21,Preston,E1,3,2,4,9,A,2,Preston_Blackburn_2015
201,1,Bolton,14,2,0,1,2,J Linington,0,0,1,18,H,14,2015-11-21,Reading,E1,5,4,10,19,H,3,Reading_Bolton_2015
202,2,Huddersfield,12,3,0,1,0,C Boyeson,0,0,3,15,H,7,2015-11-21,Sheffield Weds,E1,4,10,3,15,D,6,Sheffield Weds_Huddersfield_2015
203,1,Brighton,12,1,0,1,1,S Hooper,0,1,3,18,D,14,2015-11-22,Burnley,E1,3,3,8,11,D,5,Burnley_Brighton_2015
204,0,Derby,10,0,0,2,0,G Eltringham,0,2,0,8,A,9,2015-11-27,Hull,E1,4,2,10,23,A,4,Hull_Derby_2015
205,1,Sheffield Weds,13,2,0,2,2,F Graham,0,1,2,14,D,9,2015-11-28,Blackburn,E1,2,5,8,12,H,3,Blackburn_Sheffield Weds_2015
206,4,Birmingham,9,2,0,1,1,G Ward,0,1,4,10,H,15,2015-11-28,Brighton,E1,5,9,9,22,D,6,Brighton_Birmingham_2015
207,1,Burnley,9,2,0,2,1,D Drysdale,0,0,0,6,D,11,2015-11-28,Cardiff,E1,3,7,8,18,H,4,Cardiff_Burnley_2015
208,2,Ipswich,7,0,0,3,0,S Duncan,0,2,0,9,A,14,2015-11-28,Charlton,E1,7,6,7,14,A,4,Charlton_Ipswich_2015
209,2,Preston,9,1,0,1,0,G Horwood,0,1,2,12,D,17,2015-11-28,Fulham,E1,3,3,3,11,A,6,Fulham_Preston_2015
210,3,Middlesbrough,10,0,0,2,0,E Ilderton,0,1,1,11,A,3,2015-11-28,Huddersfield,E1,3,3,3,6,A,2,Huddersfield_Middlesbrough_2015
211,1,Reading,17,3,0,1,2,K Hill,1,1,3,13,H,20,2015-11-28,Nott'm Forest,E1,6,5,4,12,H,9,Nott'm Forest_Reading_2015
212,0,Leeds,12,1,0,0,0,P Bankes,0,0,3,12,H,7,2015-11-28,QPR,E1,1,4,8,20,D,1,QPR_Leeds_2015
213,1,Bristol City,12,3,0,0,2,T Robinson,0,0,4,13,H,10,2015-11-28,Rotherham,E1,2,5,2,12,H,5,Rotherham_Bristol City_2015
