,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,WHA,B365A,LBH,GBA,B365D,B365H,WHH,SOH,SOD,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
260,4.2,1.35,8.0,-1.25,1.33,8.0,8.0,8.5,8.5,1.3,8.5,4.333,1.3,1.3,1.33,4.2,7.0,2.72,1.35,4.2,2.05,1.85,1.95,-0.5,1.71,4.0,4.333,4.0,1.35,Monaco,Guingamp,Monaco_Guingamp_2003
261,3.3,1.55,6.0,-1.0,1.5,6.0,6.0,6.5,7.0,1.5,6.0,3.6,1.444,1.5,1.5,3.5,5.2,2.27,1.5,3.5,1.9,2.0,2.1,-0.5,1.6,3.3,3.4,3.65,1.5,Bordeaux,Le Mans,Bordeaux_Le Mans_2003
262,2.9,2.6,2.625,0.0,2.5,2.62,2.62,2.62,2.6,2.5,2.55,3.0,2.5,2.5,2.5,3.0,2.6,1.95,2.6,3.0,2.0,1.9,2.1,0.0,1.6,2.8,2.875,3.0,1.9,Lille,Auxerre,Lille_Auxerre_2003
263,3.0,2.5,2.6,0.0,2.4,2.75,2.75,2.7,2.625,2.375,2.65,3.1,2.4,2.37,2.4,3.0,2.6,2.05,2.45,3.0,1.9,2.0,2.3,0.0,1.5,2.9,3.2,3.1,1.8,Metz,Lens,Metz_Lens_2003
264,3.0,2.2,2.875,-0.25,2.3,2.87,2.88,2.87,2.8,2.25,2.8,3.1,2.3,2.25,2.3,3.0,2.9,1.9,2.32,3.0,2.0,1.9,2.2,-0.25,1.55,3.0,3.0,3.1,1.95,Montpellier,Toulouse,Montpellier_Toulouse_2003
265,3.1,1.75,4.333,-0.5,1.83,4.0,4.0,4.0,4.0,1.727,4.25,3.1,1.833,1.8,1.83,3.1,4.2,1.83,1.83,3.1,1.9,2.0,2.1,-0.5,1.6,3.1,3.2,3.1,1.83,Paris SG,Sochaux,Paris SG_Sochaux_2003
266,2.87,2.3,2.875,-0.25,2.25,3.0,3.0,3.1,3.0,2.25,2.95,3.0,2.25,2.2,2.25,3.0,2.8,1.49,2.3,3.0,2.075,1.825,2.2,-0.5,1.5,2.9,3.0,3.0,2.3,Rennes,Nantes,Rennes_Nantes_2003
267,2.87,2.2,3.0,-0.25,2.25,3.0,3.0,3.0,3.0,2.2,3.05,3.0,2.25,2.25,2.25,3.0,3.2,1.8,2.3,3.0,2.05,1.8,2.2,-0.25,1.55,2.7,3.0,2.9,2.05,Strasbourg,Nice,Strasbourg_Nice_2003
268,2.9,2.6,,0.0,2.6,2.6,2.6,2.5,2.6,,2.65,3.0,2.5,2.62,2.6,2.88,2.6,1.95,2.55,2.87,1.975,1.925,2.3,0.0,1.5,2.8,,2.95,1.9,Bastia,Marseille,Bastia_Marseille_2003
269,3.0,2.4,2.875,-0.25,2.37,2.7,2.7,2.7,2.7,2.25,2.8,3.2,2.3,2.37,2.38,3.1,2.8,1.85,2.3,3.1,2.05,1.85,2.2,-0.25,1.55,2.8,3.0,3.1,2.05,Ajaccio,Lille,Ajaccio_Lille_2003
270,3.1,1.75,4.333,-0.75,1.8,4.0,4.0,4.5,4.0,1.727,4.4,3.25,1.8,1.72,1.8,3.2,4.2,1.85,1.75,3.2,2.05,1.85,2.0,-0.75,1.65,3.1,3.2,3.2,2.05,Guingamp,Montpellier,Guingamp_Montpellier_2003
271,3.0,3.8,1.909,0.5,3.6,1.9,1.91,1.9,2.0,3.5,1.9,3.0,3.5,3.75,3.6,3.2,1.8,1.9,3.8,3.2,1.875,1.975,2.3,0.5,1.5,3.1,3.2,3.1,1.71,Le Mans,Paris SG,Le Mans_Paris SG_2003
