,HFKC,HY,AwayTeam,AFKC,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
90,16.0,1,Oostende,12.0,0,0,0,0,0,0,1,D,16,2018-10-27,Lokeren,B1,10,3,3,9,D,7,Lokeren_Oostende_2018
91,10.0,2,Club Brugge,15.0,0,2,2,1,0,2,1,D,8,2018-10-27,St Truiden,B1,5,4,6,9,A,2,St Truiden_Club Brugge_2018
92,11.0,2,Mouscron,19.0,0,2,2,2,0,1,2,D,12,2018-10-27,Waregem,B1,4,6,8,8,H,3,Waregem_Mouscron_2018
93,19.0,2,Anderlecht,13.0,0,2,1,2,0,0,1,H,9,2018-10-28,Eupen,B1,5,5,4,5,H,12,Eupen_Anderlecht_2018
94,16.0,2,Genk,19.0,0,1,1,0,0,0,2,D,12,2018-10-28,Standard,B1,6,6,5,11,D,4,Standard_Genk_2018
95,19.0,2,Antwerp,7.0,0,0,1,0,0,0,1,A,13,2018-10-28,Waasland-Beveren,B1,6,6,5,15,D,8,Waasland-Beveren_Antwerp_2018
96,7.0,1,St Truiden,16.0,0,1,0,0,0,0,2,H,9,2018-10-30,Charleroi,B1,4,8,6,14,D,2,Charleroi_St Truiden_2018
97,9.0,1,Oostende,21.0,0,4,0,3,0,0,4,H,11,2018-10-30,Club Brugge,B1,6,9,8,15,H,2,Club Brugge_Oostende_2018
98,25.0,2,Gent,9.0,0,3,1,2,0,0,0,H,18,2018-10-30,Mouscron,B1,7,9,6,17,H,4,Mouscron_Gent_2018
99,15.0,3,Genk,12.0,0,2,4,2,0,0,3,A,18,2018-10-31,Antwerp,B1,12,8,5,12,H,6,Antwerp_Genk_2018
100,17.0,2,Cercle Brugge,19.0,0,2,0,0,0,0,3,H,6,2018-10-31,Eupen,B1,5,6,7,12,D,5,Eupen_Cercle Brugge_2018
101,15.0,2,Waasland-Beveren,11.0,0,2,2,2,0,0,2,D,9,2018-10-31,Kortrijk,B1,5,10,9,16,H,5,Kortrijk_Waasland-Beveren_2018
102,15.0,0,Lokeren,19.0,0,1,1,0,0,0,1,D,5,2018-11-01,Anderlecht,B1,3,4,5,11,D,4,Anderlecht_Lokeren_2018
103,12.0,2,Standard,16.0,0,3,1,1,1,1,2,H,6,2018-11-01,Waregem,B1,5,10,6,12,D,8,Waregem_Standard_2018
104,21.0,3,Charleroi,14.0,0,2,1,1,0,0,1,H,12,2018-11-02,Oostende,B1,3,4,3,8,H,6,Oostende_Charleroi_2018
105,20.0,2,Mouscron,11.0,1,2,1,0,0,1,2,H,3,2018-11-03,Cercle Brugge,B1,1,8,9,12,A,3,Cercle Brugge_Mouscron_2018
106,9.0,0,Club Brugge,20.0,0,1,1,1,0,0,2,D,12,2018-11-03,Genk,B1,4,3,4,6,H,3,Genk_Club Brugge_2018
107,21.0,1,Kortrijk,20.0,0,3,1,0,0,1,4,H,7,2018-11-03,Gent,B1,4,5,5,9,A,4,Gent_Kortrijk_2018
108,16.0,0,Eupen,12.0,0,2,0,2,0,0,0,H,9,2018-11-04,Lokeren,B1,4,6,2,9,H,9,Lokeren_Eupen_2018
109,11.0,3,Waregem,19.0,1,2,1,0,0,1,2,H,6,2018-11-04,St Truiden,B1,3,6,1,12,A,6,St Truiden_Waregem_2018
110,12.0,2,Antwerp,19.0,0,0,2,0,0,1,5,A,5,2018-11-04,Standard,B1,2,2,2,8,A,2,Standard_Antwerp_2018
111,23.0,7,Anderlecht,26.0,1,1,2,0,1,1,4,A,7,2018-11-04,Waasland-Beveren,B1,4,4,3,6,A,2,Waasland-Beveren_Anderlecht_2018
112,20.0,3,Oostende,13.0,1,2,0,1,0,0,2,H,7,2018-11-09,Antwerp,B1,5,9,9,19,H,4,Antwerp_Oostende_2018
113,15.0,0,Waasland-Beveren,19.0,0,2,0,1,0,0,2,H,5,2018-11-10,Cercle Brugge,B1,1,4,6,8,H,3,Cercle Brugge_Waasland-Beveren_2018
114,15.0,1,Club Brugge,17.0,0,2,1,1,0,1,1,H,5,2018-11-10,Charleroi,B1,4,6,4,7,D,5,Charleroi_Club Brugge_2018
115,20.0,3,St Truiden,18.0,0,1,4,0,0,2,2,A,6,2018-11-10,Eupen,B1,6,2,5,7,A,3,Eupen_St Truiden_2018
116,14.0,2,Lokeren,18.0,0,2,0,0,0,0,6,H,1,2018-11-10,Waregem,B1,0,4,4,8,D,7,Waregem_Lokeren_2018
117,20.0,1,Gent,18.0,2,2,0,1,0,0,2,H,15,2018-11-11,Anderlecht,B1,5,11,7,19,H,4,Anderlecht_Gent_2018
118,12.0,3,Standard,14.0,0,0,2,0,0,1,4,A,9,2018-11-11,Kortrijk,B1,7,4,5,12,A,2,Kortrijk_Standard_2018
119,20.0,3,Genk,20.0,0,0,0,0,0,0,4,D,15,2018-11-11,Mouscron,B1,8,3,5,11,D,2,Mouscron_Genk_2018
120,16.0,0,Waregem,19.0,0,1,3,0,0,2,1,A,7,2018-11-23,Club Brugge,B1,3,3,5,9,A,2,Club Brugge_Waregem_2018
121,10.0,0,Cercle Brugge,20.0,1,1,2,0,0,2,5,A,3,2018-11-24,Genk,B1,2,5,12,14,A,4,Genk_Cercle Brugge_2018
122,9.0,1,Kortrijk,13.0,0,1,2,1,0,1,1,A,10,2018-11-24,Oostende,B1,6,6,2,11,D,11,Oostende_Kortrijk_2018
123,16.0,2,Eupen,22.0,0,3,0,2,0,0,2,H,2,2018-11-24,Standard,B1,1,6,5,11,H,4,Standard_Eupen_2018
124,20.0,2,Mouscron,16.0,0,1,2,0,0,1,4,A,13,2018-11-24,Waasland-Beveren,B1,7,5,3,12,A,7,Waasland-Beveren_Mouscron_2018
125,16.0,1,Antwerp,16.0,0,0,0,0,0,0,5,D,5,2018-11-25,Gent,B1,1,2,2,9,D,2,Gent_Antwerp_2018
126,13.0,0,Charleroi,12.0,0,2,4,1,0,1,1,A,14,2018-11-25,Lokeren,B1,10,7,0,12,D,6,Lokeren_Charleroi_2018
127,15.0,3,Anderlecht,12.0,0,4,2,1,0,1,3,H,8,2018-11-25,St Truiden,B1,4,6,3,10,D,2,St Truiden_Anderlecht_2018
128,13.0,1,Gent,16.0,0,2,2,1,0,0,2,D,14,2018-11-30,Lokeren,B1,8,5,3,11,H,10,Lokeren_Gent_2018
129,16.0,2,St Truiden,13.0,0,1,3,1,0,2,4,A,10,2018-12-01,Antwerp,B1,4,4,9,9,A,7,Antwerp_St Truiden_2018
130,19.0,2,Cercle Brugge,16.0,0,3,1,1,0,0,3,H,4,2018-12-01,Charleroi,B1,1,7,2,15,H,3,Charleroi_Cercle Brugge_2018
131,20.0,3,Mouscron,14.0,0,1,0,1,0,0,2,H,8,2018-12-01,Kortrijk,B1,5,3,2,5,H,4,Kortrijk_Mouscron_2018
132,13.0,2,Oostende,21.0,0,1,1,1,0,0,2,D,8,2018-12-01,Waregem,B1,4,2,6,7,H,4,Waregem_Oostende_2018
133,21.0,4,Genk,24.0,0,0,1,0,0,0,2,A,6,2018-12-02,Anderlecht,B1,2,4,3,10,D,1,Anderlecht_Genk_2018
134,15.0,2,Standard,21.0,1,3,0,3,0,0,4,H,3,2018-12-02,Club Brugge,B1,1,8,5,11,H,5,Club Brugge_Standard_2018
135,14.0,2,Waasland-Beveren,20.0,0,1,0,1,0,0,3,H,8,2018-12-02,Eupen,B1,6,6,8,16,H,5,Eupen_Waasland-Beveren_2018
136,14.0,2,Club Brugge,14.0,1,2,1,0,0,0,4,H,10,2018-12-07,Waasland-Beveren,B1,6,4,7,9,D,4,Waasland-Beveren_Club Brugge_2018
137,8.0,2,Kortrijk,20.0,0,1,1,1,0,1,5,D,8,2018-12-08,Genk,B1,4,6,4,19,D,2,Genk_Kortrijk_2018
138,22.0,2,Waregem,17.0,0,0,0,0,1,0,1,D,9,2018-12-08,Mouscron,B1,4,0,5,1,D,5,Mouscron_Waregem_2018
139,17.0,1,Lokeren,12.0,0,1,0,0,0,0,2,H,8,2018-12-08,Oostende,B1,2,5,1,5,D,4,Oostende_Lokeren_2018
140,15.0,3,Standard,15.0,0,1,1,1,0,0,1,D,14,2018-12-08,St Truiden,B1,6,8,3,15,H,13,St Truiden_Standard_2018
141,19.0,4,Charleroi,11.0,0,1,1,0,0,0,2,D,7,2018-12-09,Anderlecht,B1,4,6,6,12,D,3,Anderlecht_Charleroi_2018
142,17.0,4,Antwerp,21.0,0,0,3,0,0,2,4,A,7,2018-12-09,Cercle Brugge,B1,5,4,6,8,A,6,Cercle Brugge_Antwerp_2018
143,20.0,2,Eupen,13.0,1,2,0,1,0,0,3,H,9,2018-12-09,Gent,B1,4,6,7,13,H,6,Gent_Eupen_2018
144,12.0,2,Gent,14.0,0,2,0,0,0,0,4,H,7,2018-12-14,Charleroi,B1,4,4,1,6,D,4,Charleroi_Gent_2018
145,10.0,4,Waasland-Beveren,21.0,0,0,2,0,0,0,4,A,4,2018-12-15,Antwerp,B1,3,3,13,13,D,6,Antwerp_Waasland-Beveren_2018
146,16.0,1,Mouscron,21.0,0,1,0,0,0,0,4,H,10,2018-12-15,Eupen,B1,3,6,4,6,D,1,Eupen_Mouscron_2018
147,14.0,5,Club Brugge,18.0,0,0,0,0,0,0,3,D,10,2018-12-15,Kortrijk,B1,7,3,6,8,D,5,Kortrijk_Club Brugge_2018
148,16.0,2,St Truiden,7.0,0,2,0,1,0,0,1,H,8,2018-12-15,Lokeren,B1,6,5,4,9,H,7,Lokeren_St Truiden_2018
149,19.0,4,Anderlecht,17.0,0,2,1,1,1,1,4,H,4,2018-12-16,Cercle Brugge,B1,1,7,11,14,D,2,Cercle Brugge_Anderlecht_2018
150,6.0,0,Oostende,12.0,0,2,0,1,0,0,2,H,3,2018-12-16,Genk,B1,2,10,13,22,H,3,Genk_Oostende_2018
151,12.0,1,Waregem,10.0,1,4,1,2,0,0,5,H,6,2018-12-16,Standard,B1,3,9,8,11,H,1,Standard_Waregem_2018
152,8.0,0,Cercle Brugge,13.0,0,4,1,2,0,0,3,H,13,2018-12-21,Gent,B1,4,9,5,17,H,4,Gent_Cercle Brugge_2018
153,17.0,3,Anderlecht,13.0,0,3,1,2,0,0,3,H,7,2018-12-22,Mouscron,B1,4,7,4,13,H,3,Mouscron_Anderlecht_2018
154,12.0,1,Kortrijk,16.0,0,0,0,0,0,0,1,D,7,2018-12-22,St Truiden,B1,6,2,3,10,D,3,St Truiden_Kortrijk_2018
155,10.0,2,Oostende,15.0,0,3,1,3,0,0,1,H,9,2018-12-22,Standard,B1,4,6,9,10,H,8,Standard_Oostende_2018
156,15.0,1,Lokeren,16.0,0,2,1,1,0,0,1,H,6,2018-12-22,Waasland-Beveren,B1,4,5,5,8,H,5,Waasland-Beveren_Lokeren_2018
157,,1,Antwerp,,0,5,1,2,0,0,5,H,6,2018-12-23,Club Brugge,B1,2,6,3,8,H,2,Club Brugge_Antwerp_2018
158,,1,Genk,,0,0,2,0,0,2,1,A,8,2018-12-23,Eupen,B1,4,3,7,9,A,7,Eupen_Genk_2018
159,16.0,1,Charleroi,19.0,0,3,1,2,0,1,1,H,9,2018-12-23,Waregem,B1,7,5,5,15,H,3,Waregem_Charleroi_2018
160,17.0,4,Mouscron,10.0,0,2,1,1,0,0,4,H,9,2018-12-26,Antwerp,B1,3,8,6,8,H,5,Antwerp_Mouscron_2018
161,30.0,4,Eupen,19.0,0,0,1,0,0,1,3,A,8,2018-12-26,Cercle Brugge,B1,2,4,1,7,A,0,Cercle Brugge_Eupen_2018
162,13.0,6,Standard,21.0,0,0,1,0,0,1,7,A,6,2018-12-26,Charleroi,B1,4,4,2,14,A,9,Charleroi_Standard_2018
163,9.0,0,Gent,15.0,1,3,1,1,0,1,2,H,10,2018-12-26,Genk,B1,4,9,2,17,D,5,Genk_Gent_2018
164,14.0,3,Waregem,21.0,0,4,2,0,0,1,2,H,10,2018-12-26,Kortrijk,B1,6,8,6,11,A,6,Kortrijk_Waregem_2018
165,19.0,3,St Truiden,9.0,0,1,1,1,0,1,4,D,3,2018-12-26,Oostende,B1,3,5,3,10,D,4,Oostende_St Truiden_2018
166,14.0,2,Waasland-Beveren,11.0,0,3,0,1,0,0,2,H,7,2018-12-27,Anderlecht,B1,5,7,2,15,H,3,Anderlecht_Waasland-Beveren_2018
167,18.0,2,Club Brugge,15.0,0,0,1,0,0,0,1,A,8,2018-12-27,Lokeren,B1,6,3,4,8,D,5,Lokeren_Club Brugge_2018
168,19.0,1,Genk,25.0,0,2,3,1,0,1,4,A,11,2019-01-18,St Truiden,B1,8,5,2,7,D,5,St Truiden_Genk_2018
169,10.0,1,Lokeren,12.0,0,4,1,2,0,0,1,H,7,2019-01-19,Eupen,B1,4,11,7,14,H,8,Eupen_Lokeren_2018
170,21.0,2,Kortrijk,15.0,0,2,1,0,0,1,3,H,8,2019-01-19,Standard,B1,4,8,10,19,A,3,Standard_Kortrijk_2018
171,15.0,0,Cercle Brugge,20.0,0,1,1,0,1,0,1,D,16,2019-01-19,Waasland-Beveren,B1,10,3,4,11,D,5,Waasland-Beveren_Cercle Brugge_2018
172,15.0,0,Antwerp,23.0,0,1,2,0,0,1,3,A,7,2019-01-19,Waregem,B1,7,3,10,11,A,4,Waregem_Antwerp_2018
173,20.0,4,Charleroi,21.0,0,0,1,0,0,1,2,A,6,2019-01-20,Club Brugge,B1,3,4,4,8,A,6,Club Brugge_Charleroi_2018
