,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,WHA,B365A,LBH,GBA,B365D,B365H,WHH,BWA,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
131,3.4,2.0,3.2,-0.5,1.91,3.4,3.4,3.6,3.4,1.91,3.75,3.25,1.9,1.8,4.05,1.75,3.2,1.76,1.85,3.25,2.025,1.825,1.79,-0.5,1.85,3.1,3.5,3.3,1.85,Westerlo,St Truiden,Westerlo_St Truiden_2004
132,3.4,3.1,2.1,0.25,3.0,2.1,3.25,2.1,2.1,2.88,2.1,3.2,3.0,2.8,2.0,3.3,2.0,2.1,3.05,3.2,2.05,1.8,1.75,0.5,1.9,3.2,3.4,3.25,1.57,FC Brussels,Charleroi,FC Brussels_Charleroi_2004
133,3.75,1.45,7.0,-1.25,1.4,7.0,3.8,7.0,7.0,1.4,6.5,3.75,1.4,1.4,6.25,1.45,5.4,1.48,1.45,3.75,1.975,1.875,1.71,-1.5,1.95,3.8,3.75,3.75,2.03,Lokeren,Oostende,Lokeren_Oostende_2004
134,3.6,1.45,5.5,-1.0,1.5,5.5,3.65,5.5,5.5,1.5,5.75,3.6,1.5,1.5,5.8,1.5,5.4,1.42,1.5,3.6,1.775,2.075,1.65,-1.5,2.0,3.8,3.6,3.7,2.15,Standard,Beveren,Standard_Beveren_2004
135,3.3,2.3,2.5,-0.25,2.25,2.8,3.2,2.45,2.75,2.38,2.8,3.2,2.25,2.4,2.8,2.25,2.7,1.5,2.25,3.1,2.1,1.75,1.71,-0.5,1.95,3.0,3.25,3.25,2.25,Anderlecht,Club Brugge,Anderlecht_Club Brugge_2004
136,3.3,2.2,3.0,-0.25,2.1,3.0,3.3,3.1,3.0,2.0,3.25,3.2,2.1,2.0,2.9,2.15,2.9,1.64,2.0,3.2,1.85,2.0,1.65,-0.5,2.0,3.0,3.4,3.3,2.0,Beveren,Westerlo,Beveren_Westerlo_2004
137,3.3,2.4,2.6,-0.25,2.25,2.7,3.2,2.5,2.62,2.38,2.7,3.4,2.2,2.35,2.9,2.2,2.6,1.47,2.3,3.25,2.15,1.7,1.71,-0.5,1.95,3.0,3.2,3.25,2.3,Charleroi,Genk,Charleroi_Genk_2004
138,3.4,2.1,3.0,-0.5,1.91,3.4,3.4,3.4,3.4,2.0,3.6,3.25,1.9,1.85,3.8,1.8,3.1,1.75,1.85,3.25,2.075,1.775,1.65,-0.5,2.0,3.0,3.4,3.4,1.85,Lierse,Lokeren,Lierse_Lokeren_2004
139,3.4,3.5,1.91,0.5,3.3,1.91,3.4,2.0,1.8,3.4,1.9,3.3,3.75,3.0,1.8,3.8,1.9,1.9,3.3,3.3,1.975,1.875,1.65,0.5,2.0,3.1,3.25,3.5,1.7,Oostende,Louvieroise,Oostende_Louvieroise_2004
140,3.4,1.85,3.25,-0.25,2.0,3.2,3.3,3.1,3.2,1.91,3.55,3.2,2.0,1.95,3.55,1.9,3.6,1.71,1.9,3.2,1.75,2.1,1.83,-0.5,1.83,3.1,3.4,3.3,1.9,St Truiden,Germinal,St Truiden_Germinal_2004
141,3.6,1.65,4.5,-0.75,1.62,4.5,3.5,4.1,4.5,1.67,4.55,3.5,1.61,1.65,4.55,1.65,4.4,1.98,1.65,3.5,1.825,2.025,1.55,-0.5,2.2,3.3,3.25,3.5,1.65,Cercle Brugge,FC Brussels,Cercle Brugge_FC Brussels_2004
142,3.4,2.2,2.5,-0.25,2.2,2.8,3.2,2.65,2.87,2.25,2.75,3.3,2.1,2.2,2.8,2.25,2.9,1.49,2.25,3.2,2.1,1.75,1.65,-0.5,2.0,3.0,3.5,3.25,2.25,Gent,Standard,Gent_Standard_2004
143,3.55,1.55,5.5,-1.0,1.53,5.5,3.65,4.5,5.5,1.5,5.5,3.6,1.5,1.6,5.8,1.5,4.8,2.14,1.55,3.4,1.825,2.025,1.6,-0.5,2.1,3.5,3.6,3.5,1.55,Mouscron,Bergen,Mouscron_Bergen_2004
144,3.4,2.7,2.25,0.25,2.62,2.3,3.25,2.4,2.37,2.62,2.35,3.4,2.5,2.4,2.15,2.95,2.3,2.35,2.65,3.2,1.85,2.0,1.79,0.5,1.85,3.0,3.4,3.25,1.46,FC Brussels,Mouscron,FC Brussels_Mouscron_2004
145,4.1,1.35,7.0,-1.5,1.4,7.0,3.8,6.0,8.0,1.4,7.85,3.75,1.36,1.4,6.25,1.45,7.0,1.63,1.33,3.75,2.05,1.8,1.55,-1.5,2.2,4.0,3.75,4.3,1.8,Genk,Cercle Brugge,Genk_Cercle Brugge_2004
146,3.4,2.2,2.8,-0.25,2.25,2.75,3.3,2.6,2.75,2.1,2.75,3.2,2.25,2.25,3.0,2.1,2.9,1.52,2.2,3.2,1.85,2.0,1.83,-0.5,1.83,3.0,3.4,3.4,2.2,Lokeren,Charleroi,Lokeren_Charleroi_2004
147,,2.2,3.2,-0.5,2.1,2.9,3.35,,2.8,2.0,2.9,3.2,2.2,,3.35,1.95,2.9,1.52,2.2,3.25,2.15,1.7,1.71,-0.5,1.95,3.0,3.2,3.2,2.2,Louvieroise,Lierse,Louvieroise_Lierse_2004
148,3.4,2.5,2.5,0.0,2.5,2.4,3.2,2.35,2.37,2.4,2.35,3.25,2.5,2.45,2.65,2.35,2.5,2.35,2.65,3.25,1.825,2.025,1.79,0.5,1.85,3.0,3.25,3.25,1.46,Westerlo,Gent,Westerlo_Gent_2004
149,3.4,2.0,3.25,-0.25,2.0,3.1,3.25,3.45,3.0,1.91,3.1,3.4,2.0,1.85,2.95,2.15,3.2,1.6,2.05,3.3,1.825,2.025,1.85,-0.5,1.79,3.1,3.4,3.3,2.05,Beveren,Germinal,Beveren_Germinal_2004
150,5.0,1.2,11.0,-2.0,1.2,11.0,5.5,11.0,12.0,1.2,11.0,5.5,1.16,1.2,10.5,1.2,10.0,,1.2,5.0,1.95,1.9,1.5,,2.3,5.0,5.0,5.35,,Club Brugge,St Truiden,Club Brugge_St Truiden_2004
151,5.0,1.25,11.0,-1.75,1.22,9.5,4.9,9.5,11.0,1.2,11.0,5.5,1.2,1.22,9.25,1.25,9.0,,1.2,5.0,2.0,1.85,1.6,,2.1,4.5,5.0,5.35,,Standard,Oostende,Standard_Oostende_2004
152,5.5,1.22,10.0,-1.5,1.22,9.5,5.0,9.0,9.0,1.25,9.5,5.0,1.22,1.2,9.0,1.25,9.5,3.34,1.23,5.0,1.75,2.1,1.45,-0.5,2.45,4.8,4.5,5.15,1.23,Anderlecht,Mouscron,Anderlecht_Mouscron_2004
153,3.3,2.3,2.75,0.0,2.38,2.5,3.2,2.37,2.5,2.25,2.55,3.25,2.4,2.5,2.55,2.45,2.6,1.42,2.45,3.25,1.725,2.125,1.75,-0.5,1.9,3.1,3.2,3.2,2.45,Bergen,St Truiden,Bergen_St Truiden_2004
154,5.5,1.15,11.0,-2.0,1.17,10.0,6.0,9.0,10.0,1.2,13.0,6.0,1.16,1.2,13.0,1.15,12.0,3.99,1.15,6.0,1.8,2.05,1.4,-0.5,2.6,6.0,5.0,5.75,1.15,Club Brugge,Beveren,Club Brugge_Beveren_2004
155,4.0,1.4,7.0,-1.25,1.36,7.0,4.0,7.0,6.5,1.4,6.85,4.0,1.4,1.36,6.75,1.4,6.0,1.54,1.4,4.0,1.75,2.1,1.6,-1.5,2.1,3.9,3.75,4.0,1.92,Genk,FC Brussels,Genk_FC Brussels_2004
156,3.1,2.5,2.5,0.0,2.5,2.5,3.2,2.5,2.5,2.4,2.55,3.1,2.5,2.5,2.6,2.4,2.5,1.42,2.45,3.1,1.85,2.0,1.85,-0.5,1.79,3.0,3.25,3.2,2.45,Germinal,Gent,Germinal_Gent_2004
157,3.3,1.65,4.33,-0.75,1.62,4.5,3.4,5.0,4.5,1.67,4.6,3.5,1.61,1.61,4.75,1.65,4.4,1.97,1.65,3.5,1.75,2.1,1.65,-0.5,2.0,3.3,3.4,3.45,1.65,Lokeren,Cercle Brugge,Lokeren_Cercle Brugge_2004
158,3.25,2.2,2.75,-0.25,2.2,2.75,3.25,2.7,2.75,2.25,2.95,3.2,2.25,2.25,3.15,2.05,3.0,1.52,2.2,3.25,1.925,1.925,1.75,-0.5,1.9,2.9,3.2,3.15,2.2,Louvieroise,Charleroi,Louvieroise_Charleroi_2004
