,WHD,IWH,SBH,SBA,WHA,B365A,GBA,B365D,B365H,WHH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
139,3.15,2.4,2.3,2.62,2.65,2.6,2.65,3.4,2.25,2.25,2.5,,2.3,3.2,1.83,,1.83,3.1,3.25,,Germinal,Mouscron,Germinal_Mouscron_2003
140,3.3,1.5,1.57,5.0,4.4,5.0,5.5,3.5,1.571,1.65,5.0,,1.53,3.5,1.65,,2.0,3.7,3.5,,St Truiden,Antwerp,St Truiden_Antwerp_2003
141,5.5,1.15,1.16,12.0,12.0,12.0,10.0,5.5,1.167,1.16,12.0,,1.2,5.5,1.35,,2.75,6.0,5.3,,Anderlecht,Cercle Brugge,Anderlecht_Cercle Brugge_2003
142,3.1,2.5,2.4,2.5,2.45,2.5,2.55,3.25,2.4,2.45,2.4,,2.4,3.25,1.65,,2.0,3.1,3.2,,Lokeren,Gent,Lokeren_Gent_2003
143,3.1,2.6,2.5,2.37,2.4,2.4,2.35,3.25,2.5,2.5,2.3,,2.65,3.25,1.55,,2.2,3.1,3.15,,Westerlo,Genk,Westerlo_Genk_2003
144,3.3,2.2,2.3,2.6,2.5,2.625,2.65,3.25,2.3,2.3,2.8,,2.3,3.25,1.6,,2.1,3.1,3.25,,Antwerp,Beveren,Antwerp_Beveren_2003
145,3.3,2.0,1.9,3.4,3.1,3.2,3.35,3.2,2.0,1.95,3.2,,1.95,3.25,2.03,,1.71,3.1,3.25,,Bergen,Charleroi,Bergen_Charleroi_2003
146,,1.37,1.3,8.0,,8.0,7.25,3.75,1.364,,6.0,,1.35,4.33,1.63,,2.2,3.7,4.25,,Genk,Heusden Zolder,Genk_Heusden Zolder_2003
147,3.3,1.85,2.0,3.2,3.1,3.25,3.2,3.4,1.909,1.95,3.5,,1.95,3.2,1.71,,1.95,3.2,3.4,,Gent,St Truiden,Gent_St Truiden_2003
148,3.3,4.0,4.0,1.72,1.9,1.727,1.7,3.4,4.0,3.3,1.7,,4.1,3.4,1.66,,2.1,3.3,3.4,,Lierse,Club Brugge,Lierse_Club Brugge_2003
149,3.5,1.5,1.5,5.5,4.8,5.5,5.65,3.5,1.533,1.55,5.0,,1.5,3.6,1.55,,2.2,3.7,3.65,,Mouscron,Lokeren,Mouscron_Lokeren_2003
150,3.3,2.2,2.2,2.8,2.7,2.75,2.75,3.25,2.2,2.15,2.8,,2.2,3.2,1.75,,1.9,3.1,3.3,,Cercle Brugge,Westerlo,Cercle Brugge_Westerlo_2003
151,3.75,5.0,6.0,1.44,1.44,1.5,1.5,3.6,5.5,6.0,1.5,,5.5,3.75,1.6,,2.1,3.7,3.65,,Louvieroise,Anderlecht,Louvieroise_Anderlecht_2003
152,4.5,1.37,1.33,7.5,7.5,8.0,7.5,3.75,1.364,1.3,6.0,,1.37,4.2,1.6,,2.1,3.7,3.8,,Standard,Germinal,Standard_Germinal_2003
153,3.3,2.4,2.3,2.62,2.6,2.5,2.55,3.25,2.4,2.3,2.4,,2.35,3.2,1.55,,2.2,3.2,3.25,,Genk,Club Brugge,Genk_Club Brugge_2003
154,3.1,2.2,2.4,2.5,2.45,2.62,2.55,3.25,2.3,2.45,2.9,,2.4,3.25,1.83,,1.83,3.0,3.2,,Bergen,Germinal,Bergen_Germinal_2003
155,3.15,1.8,2.0,3.2,2.8,3.4,3.4,3.25,1.9,2.15,3.7,,1.9,3.2,1.75,,1.9,3.2,3.3,,Gent,Beveren,Gent_Beveren_2003
156,3.35,1.65,1.62,4.75,4.0,4.5,4.7,3.5,1.61,1.7,4.4,,1.6,3.4,1.83,,1.83,3.3,3.5,,Lierse,Charleroi,Lierse_Charleroi_2003
157,3.3,1.7,1.67,4.33,4.8,4.33,4.4,3.4,1.66,1.6,4.0,,1.65,3.4,1.65,,2.0,3.3,3.5,,St Truiden,Lokeren,St Truiden_Lokeren_2003
158,3.6,1.6,1.53,5.0,5.5,5.0,4.8,3.5,1.57,1.5,4.6,,1.55,3.6,1.55,,2.2,3.4,3.65,,Standard,Mouscron,Standard_Mouscron_2003
159,4.5,7.5,7.0,1.36,1.28,1.4,1.35,3.75,7.0,8.0,1.33,,7.5,4.0,1.45,,2.45,4.0,4.0,,Antwerp,Anderlecht,Antwerp_Anderlecht_2003
160,3.3,1.75,1.73,4.0,3.8,4.33,4.3,3.4,1.66,1.75,3.8,,1.7,3.4,1.79,,1.85,3.3,3.3,,Cercle Brugge,Heusden Zolder,Cercle Brugge_Heusden Zolder_2003
161,3.2,2.1,2.2,2.88,2.7,2.75,2.75,3.25,2.2,2.2,3.1,,2.2,3.1,1.65,,2.0,3.0,3.25,,Louvieroise,Westerlo,Louvieroise_Westerlo_2003
162,5.0,1.25,1.25,8.5,8.0,8.0,8.25,5.0,1.25,1.25,9.0,,1.25,4.75,1.55,,2.2,4.5,5.0,,Anderlecht,Gent,Anderlecht_Gent_2003
163,3.2,3.6,3.6,1.85,1.85,1.83,1.85,3.2,3.75,3.5,1.85,,3.7,3.25,1.75,,1.9,3.1,3.25,,Charleroi,Genk,Charleroi_Genk_2003
164,3.2,2.0,2.0,3.2,3.2,3.4,3.25,3.25,1.9,1.95,3.2,,2.0,3.2,1.83,,1.83,3.1,3.2,,Germinal,Lierse,Germinal_Lierse_2003
165,,2.1,2.1,3.0,,2.8,2.9,3.2,2.2,,3.2,,2.2,3.2,1.85,,1.79,2.9,3.1,,Heusden Zolder,Louvieroise,Heusden Zolder_Louvieroise_2003
166,3.4,3.4,3.75,1.8,1.72,1.72,1.85,3.4,4.0,4.0,1.9,,3.7,3.3,1.65,,2.0,3.2,3.25,,Lokeren,Standard,Lokeren_Standard_2003
167,3.7,1.55,1.5,5.5,5.0,5.5,6.0,3.6,1.5,1.5,4.8,,1.45,3.6,1.65,,2.0,3.5,3.8,,Mouscron,Bergen,Mouscron_Bergen_2003
168,3.2,2.0,1.91,3.4,3.2,3.4,3.4,3.25,1.9,1.95,3.2,,1.91,3.25,1.65,,2.0,3.1,3.3,,St Truiden,Beveren,St Truiden_Beveren_2003
169,4.0,1.3,1.33,7.5,8.0,8.0,8.0,4.0,1.33,1.33,8.0,,1.33,4.2,1.6,,2.1,4.2,4.1,,Club Brugge,Cercle Brugge,Club Brugge_Cercle Brugge_2003
170,3.45,1.55,1.57,5.0,4.5,5.0,5.0,3.5,1.57,1.6,4.8,,1.6,3.5,1.71,,1.95,3.5,3.4,,Westerlo,Antwerp,Westerlo_Antwerp_2003
171,3.2,2.1,2.2,2.8,2.7,2.75,2.8,3.2,2.25,2.2,3.0,,2.15,3.2,1.65,,2.0,3.1,3.3,,Antwerp,Heusden Zolder,Antwerp_Heusden Zolder_2003
172,3.25,4.2,4.2,1.7,1.65,1.8,1.72,3.2,4.0,4.5,1.7,,4.2,3.4,1.65,,2.0,3.2,3.3,,Bergen,Standard,Bergen_Standard_2003
173,3.2,2.1,1.83,3.6,3.7,3.75,3.6,3.25,1.833,1.8,3.0,,1.85,3.3,1.55,,2.2,3.1,3.3,,Beveren,Lokeren,Beveren_Lokeren_2003
174,3.55,1.4,1.5,5.5,7.0,6.5,6.5,3.6,1.444,1.4,6.0,,1.44,3.6,1.55,,2.2,3.9,3.65,,Genk,Germinal,Genk_Germinal_2003
175,3.1,1.9,2.0,3.2,3.05,3.5,3.55,3.2,1.909,2.05,3.4,,1.9,3.2,1.71,,1.95,3.2,3.2,,Gent,Westerlo,Gent_Westerlo_2003
176,3.1,2.0,1.9,3.5,3.05,3.75,3.55,3.25,1.833,2.05,3.2,,1.9,3.25,1.75,,1.9,3.1,3.2,,Cercle Brugge,Charleroi,Cercle Brugge_Charleroi_2003
177,2.9,2.7,2.5,2.5,2.55,2.5,2.45,3.1,2.5,2.5,2.3,,2.55,3.1,1.75,,1.9,3.0,3.1,,Lierse,Mouscron,Lierse_Mouscron_2003
178,3.3,4.4,5.0,1.57,1.55,1.615,1.58,3.5,4.5,5.3,1.65,,4.7,3.5,1.65,,2.0,3.3,3.6,,St Truiden,Anderlecht,St Truiden_Anderlecht_2003
179,3.6,4.8,6.0,1.44,1.44,1.4,1.5,4.2,6.0,6.5,1.55,,5.55,3.75,1.55,,2.2,3.5,3.75,,Beveren,Anderlecht,Beveren_Anderlecht_2003
180,3.1,2.2,2.3,2.7,2.7,2.7,2.8,3.1,2.3,2.25,2.9,,2.3,3.1,1.83,,1.83,3.0,3.1,,Charleroi,Louvieroise,Charleroi_Louvieroise_2003
181,3.1,1.75,1.8,3.75,3.65,3.75,4.0,3.25,1.8,1.85,3.8,,1.8,3.3,1.83,,1.83,3.3,3.25,,Germinal,Cercle Brugge,Germinal_Cercle Brugge_2003
182,3.1,2.4,2.4,2.5,2.45,2.5,2.55,3.1,2.5,2.45,2.6,,2.5,3.2,1.85,,1.78,3.0,3.1,,Heusden Zolder,Gent,Heusden Zolder_Gent_2003
183,3.1,1.85,1.83,3.75,3.65,3.75,3.9,3.2,1.833,1.85,3.5,,1.82,3.2,1.7,,1.9,3.2,3.25,,Lokeren,Bergen,Lokeren_Bergen_2003
184,3.75,1.45,1.44,6.0,7.0,5.5,5.55,3.6,1.5,1.4,5.4,,1.5,3.75,1.6,,2.1,3.8,3.75,,Standard,Lierse,Standard_Lierse_2003
185,3.1,1.9,2.0,3.2,3.45,3.2,3.25,3.2,2.0,1.9,3.4,,2.0,3.2,1.65,,2.0,3.2,3.25,,Westerlo,St Truiden,Westerlo_St Truiden_2003
186,5.5,1.17,1.16,11.0,12.0,11.0,12.0,5.0,1.2,1.16,11.0,,1.18,5.5,1.45,,2.45,5.5,5.5,,Club Brugge,Antwerp,Club Brugge_Antwerp_2003
187,3.1,2.1,2.1,3.0,3.05,3.0,3.0,3.2,2.1,2.05,3.0,,2.15,3.2,1.6,,2.1,3.1,3.2,,Mouscron,Genk,Mouscron_Genk_2003
188,3.2,3.8,3.5,1.83,2.0,1.8,1.85,3.2,4.0,3.2,1.75,,3.7,3.4,1.65,,2.0,3.3,3.25,,Louvieroise,Club Brugge,Louvieroise_Club Brugge_2003
189,3.1,2.3,2.37,2.62,2.62,2.625,2.7,3.2,2.375,2.37,2.7,,2.35,3.1,1.71,,1.95,3.0,3.1,,Genk,Standard,Genk_Standard_2003
190,6.0,1.15,1.14,12.0,12.0,15.0,12.0,5.5,1.143,1.14,12.0,,1.15,6.0,1.4,,2.6,6.0,6.0,,Anderlecht,Lokeren,Anderlecht_Lokeren_2003
191,3.05,2.3,2.25,2.75,2.65,2.875,2.75,3.0,2.25,2.3,2.6,,2.25,3.2,1.71,,1.95,3.1,3.2,,Antwerp,Charleroi,Antwerp_Charleroi_2003
192,3.05,2.3,2.25,2.75,2.75,2.75,2.75,3.2,2.25,2.25,2.5,,2.25,3.2,1.71,,1.95,3.2,3.2,,Beveren,Westerlo,Beveren_Westerlo_2003
193,3.0,1.85,1.83,3.75,3.8,3.75,3.9,3.25,1.833,1.85,3.6,,1.85,3.2,1.85,,1.79,3.1,3.1,,Lierse,Bergen,Lierse_Bergen_2003
194,3.25,1.65,1.61,4.75,4.5,4.5,4.75,3.5,1.615,1.65,4.4,,1.65,3.4,1.71,,1.95,3.3,3.3,,St Truiden,Heusden Zolder,St Truiden_Heusden Zolder_2003
195,3.05,2.9,2.8,2.25,2.3,2.4,2.25,3.2,2.6,2.65,2.2,,2.75,3.1,1.6,,2.1,3.0,3.2,,Cercle Brugge,Mouscron,Cercle Brugge_Mouscron_2003
196,3.2,3.5,3.3,1.95,2.0,2.0,2.0,3.2,3.2,3.2,1.9,,3.25,3.25,1.65,,2.0,3.1,3.2,,Gent,Club Brugge,Gent_Club Brugge_2003
197,3.1,2.1,2.1,3.1,2.95,3.0,3.1,3.2,2.1,2.1,3.1,,2.1,3.1,1.85,,1.79,3.0,3.1,,Louvieroise,Germinal,Louvieroise_Germinal_2003
198,3.15,2.9,2.62,2.3,2.35,2.2,2.2,3.25,2.75,2.55,2.2,2.2,2.8,3.2,1.65,0.5,2.0,3.0,3.2,1.49,Bergen,Genk,Bergen_Genk_2003
199,3.1,2.4,2.5,2.4,2.45,2.5,2.5,3.1,2.5,2.45,2.6,,2.5,3.2,1.85,,1.79,3.0,3.1,,Charleroi,Gent,Charleroi_Gent_2003
200,4.6,1.27,1.3,8.0,8.5,7.0,7.5,4.0,1.364,1.25,8.5,2.81,1.3,4.33,1.5,-0.5,2.3,4.3,4.5,1.3,Club Brugge,St Truiden,Club Brugge_St Truiden_2003
201,3.05,2.0,2.1,3.0,3.0,3.0,3.0,3.25,2.1,2.1,3.2,1.55,2.1,3.2,1.79,-0.5,1.85,3.1,3.2,2.1,Lokeren,Lierse,Lokeren_Lierse_2003
202,3.4,1.5,1.53,5.5,5.0,5.5,5.65,3.4,1.533,1.55,5.0,2.18,1.5,3.4,1.6,-0.5,2.1,3.7,3.6,1.53,Mouscron,Louvieroise,Mouscron_Louvieroise_2003
203,3.9,1.3,1.3,8.0,7.1,8.0,7.5,4.0,1.333,1.35,8.0,2.81,1.3,4.33,1.5,-0.5,2.3,4.2,4.5,1.3,Standard,Cercle Brugge,Standard_Cercle Brugge_2003
204,3.1,1.75,1.66,4.33,4.1,4.5,4.5,3.5,1.615,1.75,4.0,1.94,1.65,3.4,1.71,-0.5,1.95,3.2,3.4,1.65,Germinal,Antwerp,Germinal_Antwerp_2003
205,3.25,2.2,2.3,2.62,2.6,2.625,2.75,3.1,2.375,2.25,2.8,1.48,2.25,3.2,1.75,-0.5,1.9,3.1,3.2,2.25,Heusden Zolder,Beveren,Heusden Zolder_Beveren_2003
206,3.5,4.6,4.33,1.66,1.57,1.667,1.65,3.4,4.333,5.0,1.6,1.65,4.5,3.4,1.65,0.5,2.0,3.4,3.4,1.94,Westerlo,Anderlecht,Westerlo_Anderlecht_2003
207,3.2,3.8,3.75,1.83,1.83,1.8,1.9,3.25,3.75,3.75,1.8,1.9,3.5,3.2,1.75,0.5,1.9,3.1,3.25,1.69,Louvieroise,Standard,Louvieroise_Standard_2003
208,3.35,1.45,1.44,6.0,5.75,5.5,5.6,3.6,1.5,1.5,5.4,1.52,1.5,3.75,1.65,-0.5,2.0,3.8,3.6,1.5,Genk,Lierse,Genk_Lierse_2003
209,3.05,2.1,2.1,3.0,2.9,2.75,2.9,3.25,2.2,2.15,3.1,1.52,2.15,3.2,1.95,-0.5,1.71,3.0,3.2,2.15,Gent,Germinal,Gent_Germinal_2003
210,3.25,1.65,1.61,5.0,4.5,4.5,5.0,3.3,1.667,1.65,4.4,2.06,1.57,3.3,1.71,-0.5,1.95,3.3,3.5,1.57,St Truiden,Charleroi,St Truiden_Charleroi_2003
211,3.4,3.8,4.0,1.72,1.72,1.727,1.75,3.4,4.0,4.0,1.75,1.75,4.0,3.4,1.55,0.5,2.2,3.3,3.3,1.81,Beveren,Club Brugge,Beveren_Club Brugge_2003
212,3.1,2.2,2.0,3.2,3.05,3.2,3.2,3.2,2.0,2.05,2.9,1.6,2.05,3.2,1.95,-0.5,1.71,3.0,3.2,2.05,Cercle Brugge,Bergen,Cercle Brugge_Bergen_2003
213,3.35,1.7,1.66,4.5,5.2,4.5,4.5,3.5,1.615,1.55,4.2,1.94,1.65,3.3,1.71,-0.5,1.95,3.2,3.4,1.65,Westerlo,Lokeren,Westerlo_Lokeren_2003
214,3.0,2.9,2.9,2.1,2.15,2.25,2.2,3.2,2.75,2.95,2.2,2.2,2.9,3.2,1.71,0.5,1.95,3.0,3.1,1.5,Heusden Zolder,Westerlo,Heusden Zolder_Westerlo_2003
215,3.1,2.3,2.2,2.87,2.65,3.0,2.9,3.2,2.1,2.3,2.8,1.5,2.2,3.1,1.71,-0.5,1.95,2.9,3.1,2.2,Bergen,Louvieroise,Bergen_Louvieroise_2003
216,3.15,2.0,2.25,2.75,2.75,2.8,2.9,3.2,2.2,2.2,3.1,1.5,2.2,3.2,1.71,-0.5,1.95,3.2,3.1,2.2,Charleroi,Beveren,Charleroi_Beveren_2003
217,3.1,1.8,1.85,3.6,3.45,3.5,3.9,3.2,1.909,1.9,3.8,1.77,1.8,3.25,1.83,-0.5,1.83,3.1,3.25,1.8,Lierse,Cercle Brugge,Lierse_Cercle Brugge_2003
218,3.1,2.5,2.6,2.3,2.35,2.375,2.25,3.2,2.625,2.55,2.4,2.25,2.75,3.25,1.6,0.5,2.1,3.1,3.2,1.48,Lokeren,Genk,Lokeren_Genk_2003
219,3.4,1.55,1.57,5.0,5.0,4.5,4.9,3.5,1.615,1.55,4.8,2.01,1.6,3.5,1.65,-0.5,2.0,3.5,3.4,1.6,Mouscron,Gent,Mouscron_Gent_2003
220,3.1,2.3,2.5,2.5,2.6,2.6,2.6,3.0,2.5,2.4,2.6,1.4,2.45,3.1,1.6,-0.5,2.1,3.1,3.05,2.45,Club Brugge,Anderlecht,Club Brugge_Anderlecht_2003
221,3.1,1.9,1.95,3.3,3.3,3.2,3.5,3.2,2.0,1.95,3.5,1.69,1.9,3.2,1.75,-0.5,1.9,3.1,3.25,1.9,Germinal,St Truiden,Germinal_St Truiden_2003
222,5.0,1.22,1.2,10.0,9.5,9.5,10.7,5.0,1.222,1.22,9.5,,1.2,5.2,1.45,,2.45,4.7,5.1,,Standard,Antwerp,Standard_Antwerp_2003
223,3.1,2.7,2.4,2.5,2.5,2.5,2.5,3.1,2.5,2.4,2.3,,2.45,3.2,1.75,,1.9,3.0,3.2,,Heusden Zolder,Lokeren,Heusden Zolder_Lokeren_2003
224,5.5,1.2,1.17,12.0,12.0,15.0,10.0,5.0,1.167,1.16,10.0,3.71,1.17,5.5,1.45,-0.5,2.45,5.0,5.9,1.17,Anderlecht,Charleroi,Anderlecht_Charleroi_2003
225,3.1,2.4,2.4,2.5,2.45,2.5,2.6,3.1,2.5,2.45,2.6,,2.4,3.2,1.79,,1.85,3.0,3.15,,Antwerp,Bergen,Antwerp_Bergen_2003
226,3.1,2.1,2.2,2.8,3.05,3.0,3.0,3.2,2.1,2.05,3.1,1.52,2.15,3.2,1.65,-0.5,2.0,3.0,3.1,2.15,Beveren,Germinal,Beveren_Germinal_2003
227,3.15,2.0,1.85,3.6,3.4,3.75,3.9,3.25,1.833,1.9,3.2,1.73,1.85,3.25,1.79,-0.5,1.85,3.1,3.1,1.85,Louvieroise,Lierse,Louvieroise_Lierse_2003
228,3.1,2.7,2.5,2.4,2.4,2.4,2.5,3.1,2.6,2.5,2.3,,2.6,3.2,1.65,,2.0,3.0,3.0,,St Truiden,Mouscron,St Truiden_Mouscron_2003
229,3.05,3.1,2.9,2.1,2.2,2.1,2.0,3.25,3.0,2.8,2.1,2.0,3.0,3.25,1.71,0.5,1.95,3.0,3.25,1.56,Cercle Brugge,Genk,Cercle Brugge_Genk_2003
230,3.1,3.2,3.2,2.0,2.0,2.0,2.05,3.2,3.2,3.3,2.0,2.05,3.15,3.2,1.75,0.5,1.9,3.1,3.2,1.59,Gent,Standard,Gent_Standard_2003
231,3.25,3.2,3.2,2.0,1.9,2.0,2.0,3.2,3.2,3.4,2.0,2.0,3.25,3.2,1.65,0.5,2.0,3.1,3.2,1.61,Westerlo,Club Brugge,Westerlo_Club Brugge_2003
232,3.05,2.0,2.0,3.2,3.1,3.0,3.0,3.2,2.1,2.1,3.2,,2.1,3.2,1.85,,1.79,3.1,3.2,,Bergen,Gent,Bergen_Gent_2003
233,3.2,2.6,2.62,2.3,2.3,2.3,2.4,3.25,2.625,2.65,2.3,,2.55,3.2,1.85,,1.79,3.1,3.2,,Charleroi,Westerlo,Charleroi_Westerlo_2003
234,6.5,1.15,1.12,13.0,15.0,15.0,15.0,6.0,1.125,1.11,12.0,,1.13,6.5,1.45,,2.45,6.0,6.0,,Club Brugge,Heusden Zolder,Club Brugge_Heusden Zolder_2003
235,3.5,1.45,1.5,5.5,5.9,5.5,5.8,3.5,1.533,1.5,5.4,,1.5,3.6,1.71,,1.95,3.8,3.6,,Genk,Louvieroise,Genk_Louvieroise_2003
236,3.5,3.8,4.5,1.61,1.57,1.615,1.65,3.5,4.5,5.0,1.75,,4.4,3.5,1.71,,1.95,3.3,3.5,,Germinal,Anderlecht,Germinal_Anderlecht_2003
237,3.6,1.45,1.4,7.0,6.5,6.0,7.0,3.75,1.444,1.44,5.4,,1.4,3.75,1.6,,2.1,3.8,3.8,,Standard,St Truiden,Standard_St Truiden_2003
238,3.25,1.7,1.66,4.5,4.4,4.333,4.2,3.4,1.667,1.7,4.2,,1.7,3.3,1.83,,1.83,3.2,3.4,,Lierse,Antwerp,Lierse_Antwerp_2003
239,3.15,1.65,1.72,4.2,4.6,4.0,4.2,3.4,1.727,1.7,4.4,,1.7,3.25,1.75,,1.9,3.3,3.4,,Lokeren,Cercle Brugge,Lokeren_Cercle Brugge_2003
240,3.2,1.45,1.57,5.0,4.75,4.5,4.8,3.5,1.615,1.65,5.4,,1.6,3.5,1.5,,2.3,3.8,3.5,,Mouscron,Beveren,Mouscron_Beveren_2003
241,,1.2,1.12,13.0,,12.0,12.0,6.5,1.12,,10.0,,1.12,6.25,1.45,,2.45,5.0,6.5,,Anderlecht,Heusden Zolder,Anderlecht_Heusden Zolder_2003
242,3.25,3.5,3.4,1.91,1.9,1.9,1.9,3.4,3.25,3.4,1.9,,3.25,3.25,1.6,,2.1,3.1,3.4,,Antwerp,Mouscron,Antwerp_Mouscron_2003
243,3.6,1.45,1.4,7.0,7.5,7.0,7.0,3.75,1.4,1.4,5.4,2.48,1.4,3.75,1.5,-0.5,2.35,3.8,3.85,1.4,Anderlecht,Mouscron,Anderlecht_Mouscron_2003
244,3.15,2.7,3.0,2.1,2.05,2.0,2.05,3.2,3.2,3.15,2.2,2.05,3.1,3.2,1.65,0.5,2.05,3.2,3.2,1.57,Antwerp,Genk,Antwerp_Genk_2003
245,3.1,3.0,2.9,2.1,2.1,2.1,2.1,3.25,3.0,3.1,2.1,2.1,3.0,3.3,1.79,0.5,1.9,3.1,3.25,1.56,Beveren,Standard,Beveren_Standard_2003
246,5.5,1.17,1.2,10.0,12.0,10.0,9.5,5.5,1.2,1.16,11.0,,1.2,5.2,1.45,,2.5,5.5,5.5,,Club Brugge,Lokeren,Club Brugge_Lokeren_2003
247,2.9,2.1,2.1,3.1,3.4,3.1,3.1,3.1,2.1,2.05,3.2,1.55,2.1,3.1,2.0,-0.5,1.71,2.9,3.1,2.1,Gent,Lierse,Gent_Lierse_2003
248,3.0,2.0,1.85,3.75,3.8,3.75,3.6,3.25,1.833,1.9,3.2,1.69,1.9,3.1,1.85,-0.5,1.85,3.1,3.2,1.9,St Truiden,Bergen,St Truiden_Bergen_2003
249,3.0,2.0,1.9,3.5,3.6,3.4,3.6,3.25,1.909,1.95,3.2,1.69,1.9,3.2,1.85,-0.5,1.85,3.1,3.2,1.9,Westerlo,Germinal,Westerlo_Germinal_2003
250,3.25,2.4,2.5,2.4,2.3,2.375,2.5,3.2,2.625,2.6,2.4,1.4,2.45,3.25,1.75,-0.5,1.95,3.2,3.2,2.45,Heusden Zolder,Charleroi,Heusden Zolder_Charleroi_2003
251,3.0,2.0,1.9,3.5,3.45,3.75,3.5,3.0,1.909,2.0,3.4,1.64,1.95,3.2,1.7,-0.5,2.0,2.9,3.1,1.95,Louvieroise,Cercle Brugge,Louvieroise_Cercle Brugge_2003
252,3.3,1.65,1.67,4.5,4.5,4.5,4.5,3.25,1.66,1.66,4.4,,1.67,3.3,1.71,,1.95,3.3,3.3,,Genk,Gent,Genk_Gent_2003
253,2.9,2.3,2.4,2.6,2.62,2.5,2.55,3.2,2.5,2.5,2.6,,2.45,3.1,1.65,,2.0,3.1,3.15,,Standard,Anderlecht,Standard_Anderlecht_2003
254,3.25,1.85,2.0,3.2,3.25,3.2,3.3,3.2,2.0,1.95,3.6,1.61,2.0,3.2,1.65,-0.5,2.0,3.1,3.15,2.0,Bergen,Beveren,Bergen_Beveren_2003
255,3.6,1.7,1.57,5.0,6.5,5.5,5.0,3.5,1.533,1.45,4.2,2.06,1.57,3.5,1.71,-0.5,1.95,3.2,3.5,1.57,Germinal,Heusden Zolder,Germinal_Heusden Zolder_2003
256,3.05,2.0,2.0,3.3,3.35,2.8,3.35,3.2,2.2,2.0,3.4,1.61,2.0,3.1,1.83,-0.5,1.83,2.9,3.1,2.0,Lierse,St Truiden,Lierse_St Truiden_2003
257,3.05,1.75,1.85,3.6,3.65,3.25,4.0,3.25,2.0,1.9,4.0,1.78,1.8,3.25,1.75,-0.5,1.9,3.2,3.2,1.8,Lokeren,Louvieroise,Lokeren_Louvieroise_2003
258,3.25,1.9,2.0,3.2,3.3,3.2,3.05,3.2,2.0,1.95,3.5,1.55,2.1,3.2,1.83,-0.5,1.83,3.1,3.15,2.1,Cercle Brugge,Antwerp,Cercle Brugge_Antwerp_2003
259,3.3,1.7,1.8,3.8,4.0,4.0,4.25,3.25,1.8,1.75,4.2,1.84,1.72,3.25,1.6,-0.5,2.1,3.2,3.25,1.72,Mouscron,Westerlo,Mouscron_Westerlo_2003
260,3.35,4.6,4.2,1.67,1.6,1.53,1.67,3.5,5.5,5.0,1.6,1.67,4.35,3.5,1.55,0.5,2.2,3.4,3.4,1.91,Charleroi,Club Brugge,Charleroi_Club Brugge_2003
261,5.0,1.33,1.25,9.0,8.0,9.5,8.5,4.5,1.25,1.25,8.0,3.15,1.25,4.75,1.6,-0.5,2.1,4.2,5.0,1.25,Anderlecht,Bergen,Anderlecht_Bergen_2003
262,,1.9,2.0,3.2,,3.2,3.5,3.2,2.0,,3.5,1.75,1.9,3.2,1.71,-0.5,1.95,3.1,3.25,1.8,Antwerp,Louvieroise,Antwerp_Louvieroise_2003
263,,2.3,2.1,3.0,,3.0,3.25,3.2,2.1,,2.9,1.53,2.15,3.2,1.71,-0.5,1.95,2.8,2.9,2.15,Beveren,Lierse,Beveren_Lierse_2003
264,,2.1,2.1,3.0,,2.75,3.3,3.25,2.2,,3.1,1.62,2.0,3.2,1.65,-0.5,2.0,3.0,3.2,2.0,Charleroi,Lokeren,Charleroi_Lokeren_2003
265,,1.85,1.8,3.8,,3.75,3.8,3.3,1.8,,4.0,1.74,1.85,3.25,1.9,-0.5,1.75,2.9,3.2,1.85,Gent,Cercle Brugge,Gent_Cercle Brugge_2003
266,,2.5,2.4,2.6,,2.6,2.5,3.1,2.4,,2.5,1.39,2.5,3.1,1.65,-0.5,2.0,3.0,3.15,2.5,St Truiden,Genk,St Truiden_Genk_2003
267,,1.2,1.25,9.0,,9.5,9.5,4.5,1.25,,10.0,3.36,1.22,4.75,1.61,-0.5,2.13,5.0,5.2,1.22,Club Brugge,Germinal,Club Brugge_Germinal_2003
268,,3.4,3.2,2.0,,2.1,2.0,3.3,2.875,,1.9,2.0,3.25,3.2,1.73,0.5,1.97,3.2,3.2,1.61,Heusden Zolder,Mouscron,Heusden Zolder_Mouscron_2003
269,,3.0,2.6,2.4,,2.375,2.45,3.25,2.5,,2.1,2.45,2.5,3.1,1.71,0.5,1.95,3.1,3.2,1.4,Westerlo,Standard,Westerlo_Standard_2003
270,3.0,2.8,2.75,2.2,2.3,2.25,2.3,3.2,2.75,2.8,2.2,,2.7,3.25,1.6,,2.1,3.1,3.2,,Mouscron,Club Brugge,Mouscron_Club Brugge_2003
271,3.1,2.0,2.25,2.7,2.75,2.87,2.75,3.0,2.25,2.3,3.2,,2.25,3.2,1.65,,2.0,3.1,3.2,,Bergen,Westerlo,Bergen_Westerlo_2003
272,3.3,1.7,1.91,3.4,3.75,3.5,3.55,3.2,1.9,1.75,4.0,1.68,1.91,3.25,1.9,-0.5,1.75,3.3,3.2,1.91,Cercle Brugge,St Truiden,Cercle Brugge_St Truiden_2003
