,HFKC,HY,AwayTeam,AFKC,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
185,17,2,Antwerp,25,2,1,1,0,0,1,4,D,7,2018-01-27,Charleroi,B1,4,2,2,7,A,3,Charleroi_Antwerp_2017
186,14,1,St Truiden,17,0,1,1,0,0,0,4,D,8,2018-01-27,Genk,B1,7,4,5,9,D,1,Genk_St Truiden_2017
187,20,3,Eupen,19,0,0,0,0,0,0,5,D,5,2018-01-27,Kortrijk,B1,1,7,10,13,D,4,Kortrijk_Eupen_2017
188,15,3,Waregem,16,0,2,2,1,0,0,2,D,14,2018-01-27,Waasland-Beveren,B1,7,7,6,14,H,10,Waasland-Beveren_Waregem_2017
189,14,3,Club Brugge,18,0,2,0,0,0,0,2,H,6,2018-01-28,Gent,B1,2,6,9,10,D,4,Gent_Club Brugge_2017
190,18,3,Lokeren,16,0,2,3,1,0,1,1,A,11,2018-01-28,Oostende,B1,6,10,5,16,D,7,Oostende_Lokeren_2017
191,17,0,Anderlecht,20,0,3,3,2,0,3,3,D,8,2018-01-28,Standard,B1,6,9,12,14,A,0,Standard_Anderlecht_2017
192,19,3,Waasland-Beveren,21,0,1,2,1,0,1,3,A,11,2018-02-02,Antwerp,B1,4,6,11,10,D,2,Antwerp_Waasland-Beveren_2017
193,15,4,Gent,20,0,1,1,1,1,0,1,D,19,2018-02-03,Eupen,B1,8,2,5,4,H,12,Eupen_Gent_2017
194,18,2,Standard,12,0,0,3,0,1,1,1,A,15,2018-02-03,Lokeren,B1,11,3,1,3,A,7,Lokeren_Standard_2017
195,19,1,Genk,11,0,0,1,0,0,0,1,A,10,2018-02-03,Mouscron,B1,5,5,7,10,D,2,Mouscron_Genk_2017
196,24,2,Kortrijk,20,0,0,2,0,0,1,2,A,7,2018-02-03,St Truiden,B1,5,5,8,13,A,6,St Truiden_Kortrijk_2017
197,12,2,Mechelen,16,0,2,2,1,0,2,2,D,9,2018-02-04,Anderlecht,B1,2,2,5,4,A,5,Anderlecht_Mechelen_2017
198,17,2,Charleroi,14,0,3,3,1,0,2,2,D,8,2018-02-04,Club Brugge,B1,6,7,9,10,A,3,Club Brugge_Charleroi_2017
199,15,6,Oostende,17,0,1,1,1,0,1,3,D,8,2018-02-04,Waregem,B1,4,4,7,8,D,3,Waregem_Oostende_2017
200,16,2,Waregem,24,0,3,1,1,0,1,4,H,10,2018-02-09,Genk,B1,6,8,2,10,D,9,Genk_Waregem_2017
201,17,3,St Truiden,11,1,3,0,1,0,0,3,H,7,2018-02-10,Gent,B1,4,3,2,8,H,2,Gent_St Truiden_2017
202,16,0,Antwerp,12,0,4,0,2,0,0,2,H,15,2018-02-10,Kortrijk,B1,3,5,6,11,H,7,Kortrijk_Antwerp_2017
203,13,1,Eupen,14,0,1,0,0,0,0,2,H,3,2018-02-10,Mechelen,B1,0,9,15,17,D,3,Mechelen_Eupen_2017
204,22,2,Anderlecht,16,1,2,0,2,0,0,3,H,9,2018-02-10,Oostende,B1,2,2,3,4,H,9,Oostende_Anderlecht_2017
205,16,0,Lokeren,16,0,1,1,0,0,1,0,D,5,2018-02-11,Charleroi,B1,2,8,10,14,A,3,Charleroi_Lokeren_2017
206,16,3,Mouscron,20,1,4,3,1,1,1,6,H,9,2018-02-11,Standard,B1,7,7,10,15,D,3,Standard_Mouscron_2017
207,25,3,Club Brugge,24,0,1,1,0,0,0,3,D,16,2018-02-11,Waasland-Beveren,B1,11,2,4,7,D,4,Waasland-Beveren_Club Brugge_2017
208,25,3,Anderlecht,27,0,1,0,1,0,0,4,H,4,2018-02-16,St Truiden,B1,1,5,5,8,H,7,St Truiden_Anderlecht_2017
209,23,2,Oostende,14,0,0,0,0,0,0,1,D,7,2018-02-17,Antwerp,B1,2,4,9,11,D,3,Antwerp_Oostende_2017
210,16,1,Genk,16,0,2,2,1,0,1,3,D,9,2018-02-17,Club Brugge,B1,4,7,7,12,D,3,Club Brugge_Genk_2017
211,11,3,Kortrijk,10,0,0,1,0,0,0,0,A,13,2018-02-17,Lokeren,B1,9,3,8,9,D,5,Lokeren_Kortrijk_2017
212,14,3,Eupen,17,0,3,2,2,0,2,1,H,14,2018-02-17,Waregem,B1,4,8,7,13,D,4,Waregem_Eupen_2017
213,18,5,Standard,28,1,1,1,0,0,0,4,D,4,2018-02-18,Charleroi,B1,1,2,4,6,D,2,Charleroi_Standard_2017
214,20,2,Mechelen,17,0,2,2,0,0,2,3,D,7,2018-02-18,Gent,B1,2,6,8,10,A,1,Gent_Mechelen_2017
215,21,5,Waasland-Beveren,11,0,2,2,1,0,1,1,D,11,2018-02-18,Mouscron,B1,7,7,2,12,D,1,Mouscron_Waasland-Beveren_2017
216,10,1,Antwerp,16,1,4,0,1,0,0,4,H,6,2018-02-23,Genk,B1,2,6,8,12,H,7,Genk_Antwerp_2017
217,16,3,Lokeren,17,0,3,2,2,1,1,2,H,5,2018-02-24,Eupen,B1,4,7,9,9,H,5,Eupen_Lokeren_2017
218,11,3,Charleroi,27,0,1,1,1,0,1,3,D,3,2018-02-24,Mechelen,B1,2,7,2,11,D,3,Mechelen_Charleroi_2017
219,24,3,St Truiden,19,0,2,0,2,1,0,2,H,12,2018-02-24,Oostende,B1,4,4,1,6,H,4,Oostende_St Truiden_2017
220,14,1,Gent,22,0,1,2,1,0,0,3,A,14,2018-02-24,Waasland-Beveren,B1,7,3,2,10,H,8,Waasland-Beveren_Gent_2017
221,13,0,Mouscron,23,0,5,3,2,0,0,3,H,7,2018-02-25,Anderlecht,B1,4,7,5,11,H,2,Anderlecht_Mouscron_2017
222,16,1,Waregem,20,0,0,1,0,0,0,2,A,10,2018-02-25,Kortrijk,B1,5,5,7,11,D,4,Kortrijk_Waregem_2017
223,11,1,Club Brugge,14,0,1,1,1,0,0,1,D,12,2018-02-25,Standard,B1,8,6,6,12,H,8,Standard_Club Brugge_2017
224,20,2,Eupen,16,0,2,0,2,0,0,3,H,6,2018-03-03,Antwerp,B1,1,8,5,11,H,3,Antwerp_Eupen_2017
225,17,2,St Truiden,26,0,0,0,0,0,0,2,D,5,2018-03-03,Charleroi,B1,2,3,4,5,D,4,Charleroi_St Truiden_2017
226,17,0,Kortrijk,13,0,2,1,0,0,0,0,H,6,2018-03-03,Club Brugge,B1,3,11,11,23,D,3,Club Brugge_Kortrijk_2017
227,12,2,Oostende,19,0,2,3,0,0,1,6,A,6,2018-03-03,Gent,B1,3,7,5,15,A,2,Gent_Oostende_2017
228,19,3,Lokeren,19,0,1,2,0,1,1,3,A,8,2018-03-03,Mouscron,B1,6,1,2,5,A,4,Mouscron_Lokeren_2017
229,13,2,Mechelen,16,0,3,2,2,0,2,1,H,8,2018-03-03,Standard,B1,3,6,6,8,D,3,Standard_Mechelen_2017
230,19,1,Genk,11,1,0,1,0,0,0,3,A,14,2018-03-03,Waasland-Beveren,B1,7,3,2,9,D,7,Waasland-Beveren_Genk_2017
231,15,1,Anderlecht,24,0,2,3,1,0,3,2,A,5,2018-03-03,Waregem,B1,5,6,8,12,A,3,Waregem_Anderlecht_2017
232,14,0,Antwerp,26,0,2,1,1,2,1,3,H,12,2018-03-11,Anderlecht,B1,8,2,0,2,D,9,Anderlecht_Antwerp_2017
233,16,2,Mouscron,13,0,4,0,0,0,0,4,H,8,2018-03-11,Eupen,B1,2,10,16,15,D,2,Eupen_Mouscron_2017
234,13,3,Gent,19,0,1,2,0,0,1,1,A,8,2018-03-11,Genk,B1,5,4,7,10,A,3,Genk_Gent_2017
235,19,3,Charleroi,13,0,2,0,2,0,0,2,H,13,2018-03-11,Kortrijk,B1,9,5,5,7,H,5,Kortrijk_Charleroi_2017
236,14,0,Waregem,26,0,0,2,0,0,1,3,A,17,2018-03-11,Lokeren,B1,8,2,2,5,A,4,Lokeren_Waregem_2017
237,22,3,Waasland-Beveren,19,0,2,0,0,0,0,3,H,3,2018-03-11,Mechelen,B1,0,8,12,15,D,1,Mechelen_Waasland-Beveren_2017
238,32,4,Standard,16,0,2,3,2,0,0,1,A,23,2018-03-11,Oostende,B1,12,2,2,9,H,4,Oostende_Standard_2017
239,20,3,Club Brugge,23,0,0,1,0,0,0,3,A,10,2018-03-11,St Truiden,B1,5,6,6,10,D,8,St Truiden_Club Brugge_2017
