,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
327,3,0,0,1,1,0,E0,H,L Mason,Swansea,7,2,Newcastle,13,11,12,0,3,7,9,1,16/04/2016,H,Newcastle_Swansea_2015
328,14,0,3,0,3,0,E0,A,A Marriner,Sunderland,6,2,Norwich,7,8,19,1,0,0,11,2,16/04/2016,A,Norwich_Sunderland_2015
329,9,0,1,0,4,0,E0,A,M Oliver,Watford,4,0,West Brom,11,11,16,1,0,3,17,3,16/04/2016,A,West Brom_Watford_2015
330,10,0,1,1,2,0,E0,H,R East,Crystal Palace,6,0,Arsenal,7,7,21,0,1,5,13,2,17/04/2016,D,Arsenal_Crystal Palace_2015
331,5,0,2,0,6,0,E0,A,M Jones,Liverpool,5,0,Bournemouth,9,19,18,2,1,4,9,0,17/04/2016,A,Bournemouth_Liverpool_2015
332,0,1,2,1,4,0,E0,H,J Moss,West Ham,2,1,Leicester,14,19,6,0,2,5,14,3,17/04/2016,D,Leicester_West Ham_2015
333,5,0,4,0,6,0,E0,A,N Swarbrick,Tottenham,2,2,Stoke,12,23,12,1,0,3,12,0,18/04/2016,A,Stoke_Tottenham_2015
334,5,0,1,1,5,0,E0,D,K Friend,Man City,3,3,Newcastle,13,9,5,1,1,3,8,2,19/04/2016,D,Newcastle_Man City_2015
335,9,0,0,2,0,1,E0,H,R Madley,Everton,13,1,Liverpool,8,3,37,0,4,1,11,1,20/04/2016,H,Liverpool_Everton_2015
336,10,0,0,1,0,0,E0,H,L Mason,Crystal Palace,10,1,Man United,13,5,16,0,2,2,7,2,20/04/2016,H,Man United_Crystal Palace_2015
337,4,0,1,2,4,1,E0,H,M Dean,Watford,7,0,West Ham,11,7,18,0,3,2,17,2,20/04/2016,H,West Ham_Watford_2015
338,2,0,0,2,1,0,E0,H,J Moss,West Brom,7,0,Arsenal,14,8,16,0,2,6,14,1,21/04/2016,H,Arsenal_West Brom_2015
339,6,0,4,1,7,0,E0,A,N Swarbrick,Southampton,7,2,Aston Villa,8,17,16,2,2,11,9,0,23/04/2016,A,Aston Villa_Southampton_2015
340,10,0,4,1,4,0,E0,A,R East,Chelsea,4,1,Bournemouth,11,16,13,2,1,7,4,0,23/04/2016,A,Bournemouth_Chelsea_2015
341,5,0,2,2,3,0,E0,H,A Marriner,Newcastle,4,1,Liverpool,8,6,13,0,2,4,17,1,23/04/2016,D,Liverpool_Newcastle_2015
342,9,0,0,2,2,0,E0,H,R Madley,Stoke,6,0,Man City,8,14,11,0,4,4,8,0,23/04/2016,H,Man City_Stoke_2015
343,4,0,0,2,1,0,E0,H,M Clattenburg,Swansea,9,1,Leicester,15,9,18,0,4,6,10,2,24/04/2016,H,Leicester_Swansea_2015
344,7,0,0,0,7,0,E0,D,M Dean,Arsenal,3,2,Sunderland,10,20,12,0,0,7,8,4,24/04/2016,D,Sunderland_Arsenal_2015
345,9,0,1,1,3,0,E0,H,M Jones,West Brom,2,0,Tottenham,8,16,19,0,1,7,13,1,25/04/2016,D,Tottenham_West Brom_2015
346,7,0,0,0,3,0,E0,D,M Jones,Norwich,3,1,Arsenal,8,12,14,0,1,3,7,0,30/04/2016,H,Arsenal_Norwich_2015
347,3,0,1,1,2,0,E0,D,N Swarbrick,Bournemouth,5,1,Everton,4,16,12,1,2,5,8,0,30/04/2016,H,Everton_Bournemouth_2015
