,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
164,3.5,1.7,4.33,-0.75,1.67,4.8,3.4,-0.75,4.5,4.5,1.73,5.0,3.5,1.61,,1.84,1.61,4.55,2.0,1.7,,4.2,1.82,1.7,3.4,2.05,1.85,1.9,-0.75,1.8,3.2,3.2,3.4,1.98,La Coruna,Zaragoza,La Coruna_Zaragoza_2004
165,3.3,2.3,2.6,-0.25,2.3,2.8,3.25,-0.25,2.8,2.7,2.38,2.9,3.25,2.25,,1.82,2.15,2.85,2.02,2.25,,2.8,1.75,2.35,3.2,2.1,1.8,2.05,-0.25,1.65,2.9,3.2,3.25,2.05,Malaga,Sociedad,Malaga_Sociedad_2004
166,3.5,1.55,6.0,-1.0,1.53,6.0,3.5,-1.0,5.5,6.0,1.5,6.75,3.4,1.5,,1.92,1.53,5.25,1.92,1.6,,5.0,1.9,1.55,3.5,1.95,1.95,1.85,-1.0,1.85,3.4,3.4,3.5,1.9,Osasuna,Numancia,Osasuna_Numancia_2004
167,3.6,1.45,7.0,-1.25,1.4,8.0,4.25,-1.25,7.5,7.0,1.4,8.5,3.75,1.4,,1.84,1.4,8.0,2.0,1.35,,5.8,1.8,1.41,4.2,2.05,1.85,1.65,-1.25,2.05,3.6,3.75,4.0,2.0,Real Madrid,Sevilla,Real Madrid_Sevilla_2004
168,3.4,1.7,4.33,-0.75,1.67,4.8,3.3,-0.75,4.2,4.5,1.73,5.0,3.5,1.61,,1.8,1.7,4.75,2.04,1.7,,4.2,1.8,1.7,3.4,2.075,1.825,2.05,-0.75,1.65,3.2,3.2,3.4,2.0,Valencia,Espanol,Valencia_Espanol_2004
169,4.0,1.35,8.0,-1.25,1.36,8.0,4.75,-1.25,8.0,7.5,1.36,9.5,4.0,1.36,2.1,1.88,1.33,8.2,1.96,1.3,1.66,7.0,1.67,1.35,4.2,2.0,1.9,1.65,-1.5,2.05,4.0,3.75,4.25,1.9,Real Madrid,Sociedad,Real Madrid_Sociedad_2004
170,3.1,2.7,2.25,0.25,2.8,2.3,3.2,0.25,2.5,2.4,2.75,2.4,3.2,2.6,1.61,2.0,2.5,2.4,1.84,2.7,2.25,2.4,2.0,2.85,3.25,1.85,2.049,2.0,0.25,1.71,2.9,3.2,3.2,1.8,Numancia,Ath Bilbao,Numancia_Ath Bilbao_2004
171,3.6,1.45,7.0,-1.25,1.44,7.0,4.0,-1.25,6.5,6.5,1.4,8.0,3.75,1.44,1.8,1.78,1.44,7.25,2.06,1.4,2.0,5.4,1.8,1.45,3.75,2.024,1.875,1.9,-1.25,1.79,3.8,3.75,3.8,2.0,Sevilla,Getafe,Sevilla_Getafe_2004
172,3.6,1.35,8.0,-1.25,1.4,8.0,4.0,-1.25,7.5,9.0,1.36,9.0,4.0,1.4,1.85,1.82,1.4,7.25,2.02,1.4,1.95,7.0,1.8,1.4,4.2,2.075,1.825,1.85,-1.25,1.85,4.0,3.75,4.0,2.0,Valencia,Levante,Valencia_Levante_2004
173,2.87,3.3,2.38,0.25,3.1,2.25,3.2,0.25,2.25,2.25,2.75,2.3,3.25,3.1,1.7,1.92,3.0,2.2,1.92,3.0,2.1,2.0,1.9,3.0,3.2,1.95,1.899,1.85,0.25,1.85,3.0,3.0,3.2,1.9,Ath Madrid,Real Madrid,Ath Madrid_Real Madrid_2004
174,3.2,2.0,3.75,-0.5,1.91,3.75,3.2,-0.5,3.75,3.5,1.83,3.75,3.25,1.9,1.66,1.74,1.83,4.0,2.1,1.85,2.15,3.4,1.73,2.0,3.2,2.1,1.8,2.05,-0.5,1.65,2.9,3.2,3.2,2.0,Espanol,Osasuna,Espanol_Osasuna_2004
