,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
91,3.25,4.0,1.8,0.5,4.33,1.73,1.73,0.5,1.72,1.8,4.0,1.8,3.25,4.0,1.83,1.9,4.2,4.33,3.25,1.95,1.83,1.75,2.15,4.25,3.25,1.95,1.95,1.74,0.75,1.85,3.2,3.2,3.25,1.7,Murcia,La Coruna,Murcia_La Coruna_2003
92,4.5,1.27,8.0,-1.5,1.25,10.0,10.0,-1.5,10.0,9.0,1.29,9.0,4.5,1.28,2.25,1.9,1.25,1.25,4.6,1.95,1.57,8.5,1.9,1.28,4.6,2.025,1.875,1.46,-1.5,2.3,4.3,4.5,4.75,1.9,Real Madrid,Ath Bilbao,Real Madrid_Ath Bilbao_2003
93,3.1,,3.75,-0.5,1.85,3.75,3.75,-0.5,3.6,4.0,1.8,4.0,3.25,1.8,1.83,1.9,1.9,1.85,3.2,1.95,1.83,,1.9,1.9,3.2,1.9,2.0,1.83,-0.5,1.83,,3.25,3.1,1.9,Betis,Ath Madrid,Betis_Ath Madrid_2003
94,3.1,1.9,2.75,-0.25,2.2,2.88,2.88,-0.25,2.8,3.0,2.25,3.0,3.25,2.1,1.8,2.0,2.25,2.2,3.2,1.85,1.9,3.4,1.9,2.2,3.2,1.9,2.0,1.95,-0.25,1.66,3.2,3.2,3.2,1.9,Espanol,Zaragoza,Espanol_Zaragoza_2003
95,2.87,2.2,2.8,-0.25,2.25,2.88,2.88,-0.25,3.1,2.8,2.2,3.0,3.25,2.2,1.75,1.95,2.2,2.25,3.1,1.9,1.95,3.2,1.8,2.25,3.1,2.0,1.9,1.85,-0.25,1.74,2.7,3.2,3.1,2.0,Malaga,Sevilla,Malaga_Sevilla_2003
96,3.1,3.2,1.83,0.25,3.5,2.0,2.0,0.25,2.0,2.1,3.75,2.0,3.25,3.0,1.8,1.8,3.3,3.5,3.0,2.05,1.9,2.1,1.75,3.5,3.0,2.0,1.9,1.85,0.25,1.74,2.9,3.2,3.2,2.05,Mallorca,Valencia,Mallorca_Valencia_2003
97,3.2,2.7,2.8,0.0,2.3,2.7,2.7,0.0,2.62,2.7,2.2,2.75,3.2,2.3,1.8,2.05,2.3,2.3,3.2,1.8,1.9,2.3,1.7,2.4,3.2,1.9,2.0,1.9,-0.25,1.7,3.0,3.2,3.1,2.1,Sociedad,Barcelona,Sociedad_Barcelona_2003
98,3.2,1.7,4.5,-0.5,1.75,4.2,4.2,-0.75,4.33,4.0,1.67,4.25,3.25,1.8,1.72,1.75,1.72,1.75,3.25,2.1,2.0,4.2,1.6,1.8,3.25,1.925,1.975,1.83,-1.0,1.83,3.2,3.25,3.25,2.3,Valladolid,Albacete,Valladolid_Albacete_2003
99,3.1,2.1,3.0,-0.25,2.1,3.2,3.2,-0.25,3.3,3.0,2.1,3.3,3.25,2.1,1.7,2.1,2.0,2.1,3.1,1.75,2.05,3.5,1.95,2.1,3.1,1.8,2.1,1.95,-0.25,1.66,2.7,3.2,3.1,1.85,Villarreal,Osasuna,Villarreal_Osasuna_2003
100,3.4,1.6,5.5,-1.0,1.53,5.5,5.5,-1.0,6.0,5.5,1.533,5.5,3.4,1.57,1.9,1.9,1.5,1.53,3.5,1.95,1.8,4.6,1.8,1.55,3.5,2.05,1.85,1.71,-1.0,1.95,3.4,3.5,3.6,2.0,Ath Bilbao,Espanol,Ath Bilbao_Espanol_2003
