,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
229,11:15:00,3,For Sittard,13,0,1,3,0,0,1,1,12,A,10,2021-03-14,VVV Venlo,N1,5,3,0,9,A,0,VVV Venlo_For Sittard_2020
230,13:30:00,1,Feyenoord,7,0,1,1,1,0,1,3,13,D,10,2021-03-14,PSV Eindhoven,N1,3,7,5,12,D,2,PSV Eindhoven_Feyenoord_2020
231,13:30:00,4,Vitesse,15,1,1,3,1,0,1,6,11,A,10,2021-03-14,Utrecht,N1,5,3,9,15,D,2,Utrecht_Vitesse_2020
232,15:45:00,1,Ajax,9,0,0,2,0,0,2,1,12,A,21,2021-03-14,Zwolle,N1,6,1,2,1,A,7,Zwolle_Ajax_2020
233,19:00:00,1,Twente,9,0,0,0,0,0,0,1,2,D,13,2021-03-19,Heerenveen,N1,1,4,1,11,D,3,Heerenveen_Twente_2020
234,15:30:00,0,Utrecht,6,0,0,1,0,0,0,0,10,A,16,2021-03-20,For Sittard,N1,7,1,5,9,D,5,For Sittard_Utrecht_2020
235,19:00:00,1,FC Emmen,8,0,1,1,1,0,0,1,8,D,10,2021-03-20,Feyenoord,N1,5,6,6,19,H,3,Feyenoord_FC Emmen_2020
236,20:00:00,1,Groningen,14,0,3,1,2,0,1,2,10,H,19,2021-03-20,Waalwijk,N1,6,10,3,17,H,5,Waalwijk_Groningen_2020
237,11:15:00,1,VVV Venlo,8,0,2,1,0,0,0,1,14,H,12,2021-03-21,Zwolle,N1,4,5,11,19,D,5,Zwolle_VVV Venlo_2020
238,13:30:00,0,PSV Eindhoven,11,0,2,0,1,0,0,1,12,H,15,2021-03-21,AZ Alkmaar,N1,4,5,2,9,H,10,AZ Alkmaar_PSV Eindhoven_2020
239,13:30:00,2,Willem II,11,0,0,0,0,0,0,1,15,D,10,2021-03-21,Vitesse,N1,4,4,5,12,D,2,Vitesse_Willem II_2020
240,15:45:00,1,Sparta Rotterdam,10,0,1,1,0,0,0,1,10,D,13,2021-03-21,Heracles,N1,4,1,2,7,D,6,Heracles_Sparta Rotterdam_2020
241,19:00:00,0,Den Haag,7,0,5,0,4,0,0,0,9,H,2,2021-03-21,Ajax,N1,0,10,6,18,H,3,Ajax_Den Haag_2020
242,17:45:00,0,Groningen,11,1,0,1,0,0,0,3,10,A,8,2021-04-03,VVV Venlo,N1,3,2,3,9,D,0,VVV Venlo_Groningen_2020
