,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
293,1,Heerenveen,8,3,0,0,2,0,0,2,13,H,11,2018-04-29,NAC Breda,N1,3,5,5,14,H,4,NAC Breda_Heerenveen_2017
294,2,Twente,8,5,0,0,1,0,0,0,16,H,6,2018-04-29,Vitesse,N1,3,9,4,16,H,0,Vitesse_Twente_2017
295,1,Roda,8,1,0,4,1,0,1,1,12,A,18,2018-04-29,VVV Venlo,N1,6,4,3,10,D,5,VVV Venlo_Roda_2017
296,1,Willem II,10,0,0,1,0,0,0,0,14,A,6,2018-04-29,Zwolle,N1,1,8,9,22,D,3,Zwolle_Willem II_2017
297,1,Zwolle,11,6,0,0,1,0,0,1,7,H,6,2018-05-06,AZ Alkmaar,N1,3,13,9,19,H,2,AZ Alkmaar_Zwolle_2017
298,0,Ajax,6,1,0,2,1,0,0,0,6,A,23,2018-05-06,Excelsior,N1,13,5,8,16,H,11,Excelsior_Ajax_2017
299,2,Feyenoord,15,2,0,3,0,0,2,2,12,A,16,2018-05-06,Heerenveen,N1,7,3,2,13,A,4,Heerenveen_Feyenoord_2017
300,1,Groningen,8,0,0,0,0,0,0,2,13,D,9,2018-05-06,PSV Eindhoven,N1,4,5,11,14,D,2,PSV Eindhoven_Groningen_2017
301,0,Den Haag,8,2,0,3,0,0,3,1,7,A,14,2018-05-06,Roda,N1,6,7,8,23,A,2,Roda_Den Haag_2017
302,3,Heracles,17,2,0,5,1,0,1,0,11,A,15,2018-05-06,Sparta Rotterdam,N1,11,6,3,10,D,5,Sparta Rotterdam_Heracles_2017
303,0,NAC Breda,11,1,0,1,1,0,1,0,7,D,11,2018-05-06,Twente,N1,5,8,7,20,D,4,Twente_NAC Breda_2017
304,2,VVV Venlo,14,1,0,0,0,0,0,1,5,H,12,2018-05-06,Utrecht,N1,4,8,9,25,D,4,Utrecht_VVV Venlo_2017
305,0,Vitesse,5,2,0,2,1,0,0,0,8,D,15,2018-05-06,Willem II,N1,4,8,2,19,H,4,Willem II_Vitesse_2017
