,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
207,1,P1,Pacos Ferreira,H,0,2016-02-26,H,Nacional,3,0,Nacional_Pacos Ferreira_2015
208,0,P1,Sp Braga,D,0,2016-02-27,D,Arouca,0,0,Arouca_Sp Braga_2015
209,0,P1,Rio Ave,A,1,2016-02-27,A,Boavista,1,2,Boavista_Rio Ave_2015
210,2,P1,Setubal,H,0,2016-02-27,H,Estoril,3,0,Estoril_Setubal_2015
211,0,P1,Porto,A,2,2016-02-28,A,Belenenses,1,2,Belenenses_Porto_2015
212,0,P1,Academica,H,0,2016-02-28,D,Maritimo,1,0,Maritimo_Academica_2015
213,1,P1,Tondela,A,1,2016-02-28,D,Moreirense,1,2,Moreirense_Tondela_2015
214,1,P1,Uniao Madeira,H,0,2016-02-29,H,Benfica,2,0,Benfica_Uniao Madeira_2015
215,0,P1,Sp Lisbon,D,0,2016-02-29,D,Guimaraes,0,0,Guimaraes_Sp Lisbon_2015
216,0,P1,Maritimo,D,0,2016-03-04,D,Pacos Ferreira,2,2,Pacos Ferreira_Maritimo_2015
217,0,P1,Benfica,A,1,2016-03-05,A,Sp Lisbon,0,1,Sp Lisbon_Benfica_2015
218,0,P1,Guimaraes,H,0,2016-03-06,D,Academica,2,0,Academica_Guimaraes_2015
219,0,P1,Nacional,A,1,2016-03-06,A,Boavista,0,1,Boavista_Nacional_2015
220,0,P1,Moreirense,A,0,2016-03-06,D,Setubal,0,1,Setubal_Moreirense_2015
221,0,P1,Porto,H,0,2016-03-06,D,Sp Braga,3,1,Sp Braga_Porto_2015
222,0,P1,Arouca,A,0,2016-03-06,D,Tondela,0,1,Tondela_Arouca_2015
223,0,P1,Belenenses,D,0,2016-03-06,D,Uniao Madeira,0,0,Uniao Madeira_Belenenses_2015
224,0,P1,Estoril,A,1,2016-03-07,A,Rio Ave,1,3,Rio Ave_Estoril_2015
225,0,P1,Boavista,A,0,2016-03-11,D,Maritimo,0,3,Maritimo_Boavista_2015
226,0,P1,Sp Lisbon,A,2,2016-03-12,A,Estoril,1,2,Estoril_Sp Lisbon_2015
227,1,P1,Uniao Madeira,H,0,2016-03-12,H,Porto,3,2,Porto_Uniao Madeira_2015
228,1,P1,Setubal,H,0,2016-03-13,H,Arouca,1,0,Arouca_Setubal_2015
229,0,P1,Sp Braga,H,0,2016-03-13,D,Belenenses,3,0,Belenenses_Sp Braga_2015
230,0,P1,Pacos Ferreira,A,1,2016-03-13,A,Guimaraes,0,1,Guimaraes_Pacos Ferreira_2015
231,0,P1,Academica,D,1,2016-03-13,A,Moreirense,2,2,Moreirense_Academica_2015
232,0,P1,Rio Ave,H,0,2016-03-13,D,Nacional,1,0,Nacional_Rio Ave_2015
233,2,P1,Tondela,H,0,2016-03-14,H,Benfica,4,1,Benfica_Tondela_2015
234,1,P1,Maritimo,H,0,2016-03-18,H,Rio Ave,1,0,Rio Ave_Maritimo_2015
235,0,P1,Porto,A,1,2016-03-19,A,Setubal,0,1,Setubal_Porto_2015
236,4,P1,Arouca,H,0,2016-03-19,H,Sp Lisbon,5,1,Sp Lisbon_Arouca_2015
237,0,P1,Estoril,A,2,2016-03-20,A,Academica,0,3,Academica_Estoril_2015
238,0,P1,Benfica,A,0,2016-03-20,D,Boavista,0,1,Boavista_Benfica_2015
239,1,P1,Guimaraes,H,2,2016-03-20,A,Nacional,3,2,Nacional_Guimaraes_2015
240,0,P1,Moreirense,D,0,2016-03-20,D,Pacos Ferreira,0,0,Pacos Ferreira_Moreirense_2015
241,1,P1,Uniao Madeira,H,0,2016-03-20,H,Sp Braga,2,0,Sp Braga_Uniao Madeira_2015
242,0,P1,Belenenses,D,1,2016-03-20,A,Tondela,2,2,Tondela_Belenenses_2015
243,3,P1,Sp Braga,H,0,2016-04-01,H,Benfica,5,1,Benfica_Sp Braga_2015
244,3,P1,Academica,H,1,2016-04-02,H,Arouca,3,2,Arouca_Academica_2015
245,1,P1,Boavista,D,1,2016-04-02,D,Guimaraes,1,1,Guimaraes_Boavista_2015
246,0,P1,Nacional,H,0,2016-04-02,D,Maritimo,2,0,Maritimo_Nacional_2015
247,1,P1,Pacos Ferreira,H,0,2016-04-03,H,Estoril,1,0,Estoril_Pacos Ferreira_2015
248,0,P1,Rio Ave,A,0,2016-04-03,D,Moreirense,0,1,Moreirense_Rio Ave_2015
249,2,P1,Setubal,D,0,2016-04-03,H,Uniao Madeira,2,2,Uniao Madeira_Setubal_2015
250,0,P1,Sp Lisbon,A,2,2016-04-04,A,Belenenses,2,5,Belenenses_Sp Lisbon_2015
251,0,P1,Tondela,A,0,2016-04-04,D,Porto,0,1,Porto_Tondela_2015
252,0,P1,Arouca,D,0,2016-04-08,D,Boavista,0,0,Boavista_Arouca_2015
253,1,P1,Benfica,A,1,2016-04-09,D,Academica,1,2,Academica_Benfica_2015
254,1,P1,Maritimo,H,0,2016-04-09,H,Sp Lisbon,3,1,Sp Lisbon_Maritimo_2015
255,1,P1,Estoril,H,0,2016-04-10,H,Nacional,4,1,Nacional_Estoril_2015
256,0,P1,Porto,H,0,2016-04-10,D,Pacos Ferreira,1,0,Pacos Ferreira_Porto_2015
257,0,P1,Belenenses,A,0,2016-04-10,D,Setubal,0,1,Setubal_Belenenses_2015
258,0,P1,Moreirense,D,0,2016-04-10,D,Sp Braga,1,1,Sp Braga_Moreirense_2015
259,1,P1,Uniao Madeira,H,0,2016-04-10,H,Tondela,1,0,Tondela_Uniao Madeira_2015
260,2,P1,Guimaraes,H,0,2016-04-11,H,Rio Ave,2,0,Rio Ave_Guimaraes_2015
261,0,P1,Rio Ave,D,0,2016-04-16,D,Arouca,0,0,Arouca_Rio Ave_2015
262,0,P1,Boavista,H,0,2016-04-16,D,Estoril,1,0,Estoril_Boavista_2015
263,0,P1,Sp Lisbon,A,1,2016-04-16,A,Moreirense,0,1,Moreirense_Sp Lisbon_2015
264,1,P1,Academica,D,0,2016-04-17,H,Belenenses,1,1,Belenenses_Academica_2015
265,2,P1,Guimaraes,H,0,2016-04-17,H,Maritimo,3,0,Maritimo_Guimaraes_2015
266,2,P1,Nacional,H,0,2016-04-17,H,Porto,4,0,Porto_Nacional_2015
267,2,P1,Pacos Ferreira,A,0,2016-04-17,H,Uniao Madeira,3,4,Uniao Madeira_Pacos Ferreira_2015
268,2,P1,Setubal,H,1,2016-04-18,H,Benfica,2,1,Benfica_Setubal_2015
269,1,P1,Tondela,H,0,2016-04-18,H,Sp Braga,3,0,Sp Braga_Tondela_2015
270,1,P1,Belenenses,H,0,2016-04-22,H,Boavista,1,0,Boavista_Belenenses_2015
