,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
92,2,Portimonense,18,1,0,1,1,0,1,1,9,D,12,2017-11-04,Moreirense,P1,4,5,3,7,D,4,Moreirense_Portimonense_2017
93,0,Belenenses,12,2,0,0,1,0,0,1,10,H,6,2017-11-04,Porto,P1,3,9,8,17,H,3,Porto_Belenenses_2017
94,1,Boavista,14,3,0,2,0,0,0,2,18,H,11,2017-11-04,Tondela,P1,4,6,3,15,D,9,Tondela_Boavista_2017
95,3,Pacos Ferreira,10,4,0,2,1,0,1,2,19,H,12,2017-11-05,Chaves,P1,6,7,7,12,D,4,Chaves_Pacos Ferreira_2017
96,3,Maritimo,15,0,1,1,0,0,1,6,17,A,6,2017-11-05,Feirense,P1,4,1,9,8,A,4,Feirense_Maritimo_2017
97,0,Benfica,19,1,0,3,0,0,1,4,22,A,9,2017-11-05,Guimaraes,P1,5,1,7,6,A,5,Guimaraes_Benfica_2017
98,1,Sp Braga,15,2,0,2,0,0,0,3,22,D,8,2017-11-05,Sp Lisbon,P1,4,6,5,11,D,9,Sp Lisbon_Sp Braga_2017
99,4,Chaves,17,0,0,1,0,1,1,2,27,A,8,2017-11-24,Belenenses,P1,1,4,10,8,A,4,Belenenses_Chaves_2017
100,4,Porto,17,1,1,1,0,0,1,3,15,D,8,2017-11-25,Aves,P1,1,3,2,11,A,4,Aves_Porto_2017
101,2,Moreirense,14,1,0,0,1,0,0,3,21,H,6,2017-11-25,Boavista,P1,1,3,3,10,H,6,Boavista_Moreirense_2017
102,1,Tondela,16,2,0,0,1,0,0,0,22,H,8,2017-11-25,Portimonense,P1,3,7,5,13,H,5,Portimonense_Tondela_2017
103,2,Setubal,20,6,1,0,2,0,0,2,15,H,3,2017-11-26,Benfica,P1,2,12,12,17,H,2,Benfica_Setubal_2017
104,1,Estoril,13,0,0,0,0,0,0,2,18,D,13,2017-11-26,Maritimo,P1,4,1,2,2,D,6,Maritimo_Estoril_2017
105,5,Sp Lisbon,14,1,0,2,0,0,1,5,16,A,7,2017-11-26,Pacos Ferreira,P1,5,5,10,12,A,5,Pacos Ferreira_Sp Lisbon_2017
106,0,Guimaraes,16,0,0,1,0,0,1,4,21,A,6,2017-11-27,Rio Ave,P1,2,4,12,11,A,5,Rio Ave_Guimaraes_2017
107,0,Feirense,16,3,0,1,3,0,1,2,20,H,8,2017-11-27,Sp Braga,P1,4,7,6,10,H,3,Sp Braga_Feirense_2017
108,1,Benfica,5,0,1,0,0,0,0,3,15,D,3,2017-12-01,Porto,P1,1,5,7,9,D,5,Porto_Benfica_2017
109,1,Belenenses,15,1,0,0,1,0,0,3,16,H,8,2017-12-01,Sp Lisbon,P1,3,4,5,8,H,3,Sp Lisbon_Belenenses_2017
110,1,Boavista,13,0,0,0,0,0,0,5,18,D,7,2017-12-02,Chaves,P1,5,3,6,9,D,1,Chaves_Boavista_2017
111,3,Maritimo,15,1,0,1,1,1,1,1,15,D,2,2017-12-02,Moreirense,P1,2,5,8,11,D,3,Moreirense_Maritimo_2017
