,AST,HTHG,Date,AS,AF,Div,FTHG,HY,HS,AR,HR,HF,AC,HC,AY,HTAG,HST,Time,AwayTeam,HTR,FTR,HomeTeam,FTAG,idGame
174,3,1,2021-03-10,6,27,G1,2,3,6,0,0,25,2,3,4,1,4,15:15:00,Larisa,D,H,Lamia,1,Lamia_Larisa_2020
175,4,0,2021-03-14,9,36,G1,1,1,8,0,0,31,4,3,1,0,5,17:00:00,Panetolikos,D,H,Apollon,0,Apollon_Panetolikos_2020
176,0,1,2021-03-14,3,21,G1,1,2,8,0,0,18,1,7,0,0,4,17:00:00,OFI Crete,H,H,Aris,0,Aris_OFI Crete_2020
177,1,0,2021-03-14,8,17,G1,0,1,8,0,0,13,4,5,1,0,2,17:00:00,Giannina,D,A,Asteras Tripolis,1,Asteras Tripolis_Giannina_2020
178,2,0,2021-03-14,6,13,G1,0,0,4,0,0,24,4,5,1,0,2,17:00:00,Atromitos,D,D,Lamia,0,Lamia_Atromitos_2020
179,7,0,2021-03-14,9,18,G1,1,3,11,0,0,17,5,2,3,1,6,17:00:00,Olympiakos,A,A,Larisa,3,Larisa_Olympiakos_2020
180,3,1,2021-03-14,12,15,G1,2,3,5,0,0,12,6,1,5,0,2,17:00:00,PAOK,H,H,Panathinaikos,1,Panathinaikos_PAOK_2020
181,0,1,2021-03-14,6,17,G1,1,5,8,0,1,17,3,4,2,0,3,17:00:00,AEK,H,H,Volos NFC,0,Volos NFC_AEK_2020
182,7,0,2021-03-20,9,22,G1,0,2,10,0,0,23,3,7,2,0,5,13:00:00,Larisa,D,A,Apollon,2,Apollon_Larisa_2020
183,1,0,2021-03-20,3,20,G1,0,1,5,0,0,16,2,5,2,0,2,15:15:00,OFI Crete,D,D,Volos NFC,0,Volos NFC_OFI Crete_2020
184,4,1,2021-03-20,9,15,G1,1,2,11,0,0,23,3,4,2,0,7,17:30:00,Atromitos,H,H,Giannina,0,Giannina_Atromitos_2020
185,3,0,2021-03-20,5,20,G1,0,1,10,0,0,16,2,8,2,3,4,17:30:00,Lamia,A,A,Panetolikos,3,Panetolikos_Lamia_2020
186,4,0,2021-03-21,7,24,G1,2,1,11,0,0,13,4,1,4,0,7,13:00:00,Panathinaikos,D,D,Asteras Tripolis,2,Asteras Tripolis_Panathinaikos_2020
187,6,1,2021-03-21,8,14,G1,1,2,3,0,1,17,9,4,1,0,1,15:15:00,Aris,H,H,Olympiakos,0,Olympiakos_Aris_2020
188,4,1,2021-03-21,7,19,G1,3,4,10,0,0,17,9,2,2,1,5,17:30:00,AEK,D,H,PAOK,1,PAOK_AEK_2020
189,1,0,2021-04-03,3,18,G1,1,1,4,0,0,15,4,6,1,0,2,13:00:00,Apollon,D,D,Atromitos,1,Atromitos_Apollon_2020
