,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
143,3,0,Fulham,West Brom,E0,5,1,4,1,15,0,S Bennett,8,0,D,0,1,D,8,3,0,03/12/2005,1,West Brom_Fulham_2005
144,4,5,Man City,Charlton,E0,10,9,4,8,14,2,P Dowd,17,2,A,1,0,A,20,3,0,04/12/2005,2,Charlton_Man City_2005
145,8,2,West Ham,Birmingham,E0,14,4,6,11,5,2,M Atkinson,10,1,A,1,0,A,12,1,0,05/12/2005,1,Birmingham_West Ham_2005
146,2,0,Fulham,Birmingham,E0,11,3,7,2,10,0,U Rennie,7,1,H,0,0,D,12,0,0,10/12/2005,0,Birmingham_Fulham_2005
147,1,2,West Ham,Blackburn,E0,14,3,5,4,14,1,M Riley,6,3,H,0,0,A,13,6,0,10/12/2005,3,Blackburn_West Ham_2005
148,3,1,Aston Villa,Bolton,E0,13,3,7,6,22,0,P Dowd,6,1,D,0,0,D,16,4,0,10/12/2005,2,Bolton_Aston Villa_2005
149,6,0,Sunderland,Charlton,E0,14,6,8,3,16,0,A Wiley,14,2,H,1,0,H,11,2,0,10/12/2005,0,Charlton_Sunderland_2005
150,1,0,Wigan,Chelsea,E0,11,1,8,5,10,0,H Webb,4,1,H,0,0,D,16,1,0,10/12/2005,1,Chelsea_Wigan_2005
151,2,0,Middlesbrough,Liverpool,E0,23,3,13,11,18,0,S Bennett,6,2,H,0,1,D,10,2,0,10/12/2005,1,Liverpool_Middlesbrough_2005
152,4,0,Arsenal,Newcastle,E0,8,3,4,5,13,0,D Gallagher,6,1,H,0,1,D,23,1,0,10/12/2005,2,Newcastle_Arsenal_2005
153,6,0,Man City,West Brom,E0,11,2,4,4,13,0,M Dean,8,2,H,1,1,H,17,4,0,10/12/2005,1,West Brom_Man City_2005
154,0,1,Everton,Man United,E0,21,5,12,9,11,1,R Styles,7,1,D,1,0,D,12,2,0,11/12/2005,1,Man United_Everton_2005
155,3,1,Portsmouth,Tottenham,E0,16,5,9,6,19,1,U Rennie,8,3,H,0,0,A,6,0,0,12/12/2005,0,Tottenham_Portsmouth_2005
156,9,2,West Ham,Everton,E0,12,2,3,4,11,1,P Walton,7,1,A,1,0,D,10,1,0,14/12/2005,2,Everton_West Ham_2005
157,7,0,Wigan,Man United,E0,12,7,9,7,6,0,A Wiley,15,4,H,2,0,H,12,1,0,14/12/2005,1,Man United_Wigan_2005
158,6,2,Man United,Aston Villa,E0,11,10,7,2,16,1,M Dean,17,0,A,0,0,A,19,0,0,17/12/2005,1,Aston Villa_Man United_2005
159,0,4,Bolton,Everton,E0,13,5,10,10,15,1,A Wiley,7,0,A,0,0,A,13,2,0,17/12/2005,2,Everton_Bolton_2005
160,12,1,Blackburn,Fulham,E0,8,4,5,8,13,0,M Clattenburg,10,2,H,1,0,H,12,4,0,17/12/2005,4,Fulham_Blackburn_2005
161,5,1,Birmingham,Man City,E0,17,2,9,7,12,0,S Bennett,6,4,H,3,1,H,19,2,0,17/12/2005,2,Man City_Birmingham_2005
162,8,0,West Brom,Portsmouth,E0,5,2,4,6,7,0,M Halsey,4,1,H,0,0,D,15,1,0,17/12/2005,1,Portsmouth_West Brom_2005
163,2,4,Newcastle,West Ham,E0,11,7,7,3,16,2,P Dowd,10,2,A,1,0,A,9,3,0,17/12/2005,3,West Ham_Newcastle_2005
164,3,0,Charlton,Wigan,E0,18,2,12,12,8,0,M Atkinson,5,3,H,1,0,H,8,1,0,17/12/2005,0,Wigan_Charlton_2005
165,5,2,Chelsea,Arsenal,E0,7,8,5,5,18,1,R Styles,11,0,A,0,0,A,13,4,0,18/12/2005,3,Arsenal_Chelsea_2005
166,4,3,Tottenham,Middlesbrough,E0,11,5,8,14,13,1,H Webb,8,3,D,2,0,H,17,3,0,18/12/2005,2,Middlesbrough_Tottenham_2005
167,9,0,Everton,Aston Villa,E0,12,5,7,4,11,0,M Riley,10,4,H,1,0,H,12,0,0,26/12/2005,0,Aston Villa_Everton_2005
168,10,1,Arsenal,Charlton,E0,8,11,0,4,10,0,S Bennett,18,0,A,0,0,D,16,2,1,26/12/2005,3,Charlton_Arsenal_2005
169,4,2,Fulham,Chelsea,E0,15,4,11,10,16,1,G Poll,9,3,H,2,0,H,16,3,0,26/12/2005,1,Chelsea_Fulham_2005
170,4,0,Newcastle,Liverpool,E0,21,2,11,7,13,0,M Halsey,2,2,H,2,1,H,9,0,0,26/12/2005,1,Liverpool_Newcastle_2005
171,2,0,West Brom,Man United,E0,17,3,9,8,6,0,M Clattenburg,5,3,H,2,0,H,13,0,0,26/12/2005,1,Man United_West Brom_2005
172,3,2,Blackburn,Middlesbrough,E0,8,4,5,2,16,1,U Rennie,7,0,A,0,0,A,14,2,0,26/12/2005,4,Middlesbrough_Blackburn_2005
173,5,1,West Ham,Portsmouth,E0,11,4,9,6,10,0,A Wiley,14,1,D,1,0,H,14,1,1,26/12/2005,3,Portsmouth_West Ham_2005
174,4,0,Bolton,Sunderland,E0,11,1,7,1,12,0,M Atkinson,8,0,D,0,0,D,16,3,0,26/12/2005,1,Sunderland_Bolton_2005
175,8,0,Birmingham,Tottenham,E0,9,4,4,9,17,0,P Dowd,7,2,H,0,1,D,19,1,0,26/12/2005,4,Tottenham_Birmingham_2005
176,9,3,Man City,Wigan,E0,10,14,5,2,9,1,D Gallagher,21,4,H,3,0,H,8,0,0,26/12/2005,0,Wigan_Man City_2005
177,1,0,Portsmouth,Arsenal,E0,6,4,4,3,13,0,M Clattenburg,6,4,H,4,0,H,12,1,0,28/12/2005,0,Arsenal_Portsmouth_2005
178,4,2,Man United,Birmingham,E0,11,5,5,4,13,1,H Webb,11,2,D,1,0,D,13,0,0,28/12/2005,0,Birmingham_Man United_2005
179,2,3,Liverpool,Everton,E0,10,5,6,5,20,2,G Poll,12,1,A,1,0,A,23,2,2,28/12/2005,4,Everton_Liverpool_2005
180,10,3,Aston Villa,Fulham,E0,6,4,3,6,12,1,A D'Urso,9,3,D,2,0,H,13,4,0,28/12/2005,0,Fulham_Aston Villa_2005
181,4,1,Chelsea,Man City,E0,5,4,2,1,12,0,U Rennie,11,0,A,0,0,D,20,1,0,28/12/2005,1,Man City_Chelsea_2005
182,3,0,Tottenham,West Brom,E0,6,7,5,4,12,0,M Riley,7,2,H,1,0,H,16,0,0,28/12/2005,0,West Brom_Tottenham_2005
183,3,2,Wigan,West Ham,E0,4,4,1,5,15,2,S Bennett,8,0,A,0,0,A,14,1,0,28/12/2005,1,West Ham_Wigan_2005
184,1,0,Arsenal,Aston Villa,E0,11,3,5,10,11,0,U Rennie,10,0,D,0,0,D,19,1,0,31/12/2005,1,Aston Villa_Arsenal_2005
185,13,0,West Ham,Charlton,E0,14,3,7,6,8,0,G Poll,8,2,H,1,0,H,15,0,0,31/12/2005,1,Charlton_West Ham_2005
186,4,0,Birmingham,Chelsea,E0,12,3,8,5,8,0,M Dean,9,2,H,2,0,H,11,0,0,31/12/2005,1,Chelsea_Birmingham_2005
187,1,0,West Brom,Liverpool,E0,27,0,13,10,12,0,A Wiley,4,1,H,0,0,D,8,0,0,31/12/2005,0,Liverpool_West Brom_2005
188,1,1,Bolton,Man United,E0,18,2,9,7,22,1,S Bennett,4,4,H,2,0,H,9,5,0,31/12/2005,2,Man United_Bolton_2005
189,7,0,Man City,Middlesbrough,E0,12,3,4,4,12,0,M Atkinson,8,0,D,0,0,D,6,1,0,31/12/2005,0,Middlesbrough_Man City_2005
190,8,0,Fulham,Portsmouth,E0,17,4,7,8,7,0,M Riley,9,1,H,1,0,H,14,2,0,31/12/2005,1,Portsmouth_Fulham_2005
191,5,1,Everton,Sunderland,E0,13,5,6,8,7,0,R Styles,9,0,A,0,0,D,6,1,0,31/12/2005,1,Sunderland_Everton_2005
192,3,0,Newcastle,Tottenham,E0,13,4,3,5,11,0,H Webb,9,2,H,1,0,H,13,1,0,31/12/2005,0,Tottenham_Newcastle_2005
193,7,3,Blackburn,Wigan,E0,9,7,4,2,13,1,M Clattenburg,13,0,A,0,0,A,9,1,0,31/12/2005,1,Wigan_Blackburn_2005
194,3,0,Wigan,Birmingham,E0,8,2,4,8,16,0,P Walton,6,2,H,2,0,H,9,2,0,02/01/2006,1,Birmingham_Wigan_2005
195,6,1,Portsmouth,Blackburn,E0,12,4,7,4,12,1,M Dean,8,2,H,2,0,H,11,4,0,02/01/2006,1,Blackburn_Portsmouth_2005
196,5,2,Liverpool,Bolton,E0,12,7,7,3,14,0,M Clattenburg,15,2,D,1,0,H,16,3,0,02/01/2006,2,Bolton_Liverpool_2005
197,2,1,Charlton,Everton,E0,13,4,6,5,14,1,U Rennie,11,3,H,2,0,H,13,2,0,02/01/2006,0,Everton_Charlton_2005
198,6,1,Sunderland,Fulham,E0,12,7,9,6,14,1,D Gallagher,10,2,H,1,1,D,9,2,0,02/01/2006,2,Fulham_Sunderland_2005
199,2,2,Middlesbrough,Newcastle,E0,10,3,5,5,13,0,S Bennett,8,2,D,1,0,H,14,2,0,02/01/2006,0,Newcastle_Middlesbrough_2005
200,6,2,Aston Villa,West Brom,E0,9,7,5,7,13,0,R Styles,13,1,A,0,0,D,9,3,0,02/01/2006,2,West Brom_Aston Villa_2005
201,5,3,Chelsea,West Ham,E0,6,10,3,2,11,1,H Webb,17,1,A,0,0,A,10,3,0,02/01/2006,1,West Ham_Chelsea_2005
202,9,0,Man United,Arsenal,E0,8,6,5,6,13,0,G Poll,16,0,D,0,0,D,17,3,0,03/01/2006,2,Arsenal_Man United_2005
203,8,2,Tottenham,Man City,E0,13,2,3,12,11,1,A Wiley,8,0,A,0,0,A,8,2,0,04/01/2006,2,Man City_Tottenham_2005
204,6,0,Middlesbrough,Arsenal,E0,24,2,17,4,14,0,R Styles,5,7,H,4,1,H,12,2,0,14/01/2006,1,Arsenal_Middlesbrough_2005
205,10,2,West Ham,Aston Villa,E0,14,7,8,4,21,0,P Dowd,10,1,A,1,0,H,15,3,0,14/01/2006,1,Aston Villa_West Ham_2005
206,1,0,Bolton,Blackburn,E0,18,1,3,11,16,0,M Riley,3,0,D,0,1,D,21,5,0,14/01/2006,2,Blackburn_Bolton_2005
207,7,0,Birmingham,Charlton,E0,11,5,4,2,12,0,G Poll,14,2,H,1,0,H,16,0,0,14/01/2006,0,Charlton_Birmingham_2005
208,10,0,Newcastle,Fulham,E0,12,4,5,5,13,0,A Wiley,6,1,H,0,0,D,9,2,0,14/01/2006,0,Fulham_Newcastle_2005
209,7,0,Tottenham,Liverpool,E0,16,2,12,10,12,0,D Gallagher,6,1,H,0,1,D,8,1,0,14/01/2006,0,Liverpool_Tottenham_2005
210,3,1,Man United,Man City,E0,12,4,7,3,18,0,S Bennett,13,3,H,2,1,H,19,1,0,14/01/2006,2,Man City_Man United_2005
211,8,1,Everton,Portsmouth,E0,14,3,8,4,13,1,A Marriner,9,0,A,0,0,A,21,2,0,14/01/2006,2,Portsmouth_Everton_2005
212,3,2,Chelsea,Sunderland,E0,10,13,7,4,8,1,C Foy,21,1,A,1,1,D,13,2,0,15/01/2006,1,Sunderland_Chelsea_2005
213,5,1,West Brom,Wigan,E0,27,6,12,6,16,0,M Atkinson,7,0,A,0,1,D,14,3,0,15/01/2006,0,Wigan_West Brom_2005
214,2,0,Portsmouth,Birmingham,E0,9,4,6,7,23,0,C Foy,10,5,H,2,0,H,11,1,0,21/01/2006,1,Birmingham_Portsmouth_2005
215,5,0,Man City,Bolton,E0,11,2,6,4,17,0,R Styles,9,2,H,2,0,H,8,2,0,21/01/2006,2,Bolton_Man City_2005
216,6,0,Arsenal,Everton,E0,9,5,3,5,17,0,A Wiley,14,1,H,1,1,H,19,2,0,21/01/2006,4,Everton_Arsenal_2005
217,8,3,Wigan,Middlesbrough,E0,7,10,4,8,11,2,A Marriner,16,2,A,0,0,A,9,2,0,21/01/2006,0,Middlesbrough_Wigan_2005
218,4,1,Blackburn,Newcastle,E0,12,2,3,4,12,0,H Webb,6,0,A,0,0,D,12,2,0,21/01/2006,0,Newcastle_Blackburn_2005
