,LBH,GBAH,SBA,IWA,B365A,GB>2.5,GB<2.5,B365AHA,LBA,LBAHA,B365AHH,IWD,B365<2.5,BWD,GBH,WHA,GBAHA,WHH,BWH,B365H,GBA,SBD,LBAHH,WHD,LBAH,B365AH,LBD,BWA,B365D,SBH,GBD,IWH,B365>2.5,GBAHH,HomeTeam,AwayTeam,idGame
359,1.91,-0.25,3.6,3.6,3.4,2.05,1.65,2.125,3.5,1.98,1.775,3.1,1.66,3.1,2.0,3.5,2.05,1.95,2.0,2.1,3.6,3.25,1.86,3.1,-0.5,-0.25,3.2,3.6,3.25,2.0,3.2,1.85,2.15,1.75,Blackburn,Fulham,Blackburn_Fulham_2004
360,1.25,-1.25,10.0,7.5,10.0,1.85,1.85,1.975,10.0,2.18,1.925,4.0,1.85,4.5,1.29,8.0,1.9,1.28,1.3,1.28,9.5,4.75,1.7,4.5,1.28,-1.25,4.5,9.0,5.0,1.3,4.75,1.33,1.95,1.9,Chelsea,Charlton,Chelsea_Charlton_2004
361,2.2,-0.25,3.1,2.9,3.0,1.85,1.85,1.95,2.75,1.9,1.95,3.0,1.9,3.2,2.2,3.1,1.95,2.1,2.2,2.2,3.1,3.25,1.94,3.1,-0.25,-0.25,3.25,3.0,3.4,2.2,3.2,2.2,1.9,1.85,Crystal Palace,Southampton,Crystal Palace_Southampton_2004
362,1.62,-0.75,5.0,4.8,5.0,2.0,1.71,1.85,5.0,1.8,2.05,3.5,1.65,3.2,1.7,5.0,1.8,1.61,1.8,1.72,5.0,3.4,2.04,3.3,-0.75,-0.75,3.25,4.3,3.4,1.7,3.3,1.55,2.2,2.0,Everton,Newcastle,Everton_Newcastle_2004
363,1.25,,9.5,8.0,9.0,1.71,2.0,1.875,8.0,1.92,2.025,4.2,2.0,4.5,1.3,7.5,,1.3,1.3,1.3,9.0,5.0,1.92,4.5,-1.5,-1.5,5.0,9.0,5.0,1.29,4.75,1.3,1.8,,Man United,West Brom,Man United_West Brom_2004
364,2.2,-0.25,3.2,3.1,3.1,2.0,1.71,1.85,2.8,1.86,2.05,3.0,1.66,3.2,2.2,2.8,1.8,2.2,2.05,2.25,3.1,3.2,1.98,3.2,-0.25,-0.25,3.2,3.3,3.2,2.2,3.2,2.1,2.15,2.0,Middlesbrough,Tottenham,Middlesbrough_Tottenham_2004
365,1.91,-0.5,4.0,4.0,3.75,1.9,1.79,2.025,3.5,1.92,1.875,3.3,1.85,3.4,1.85,3.5,1.82,1.8,1.85,1.9,3.9,3.5,1.92,3.5,-0.5,-0.5,3.2,3.7,3.5,1.83,3.4,1.7,1.95,1.85,Norwich,Birmingham,Norwich_Birmingham_2004
366,2.75,0.25,2.3,2.3,2.4,1.95,1.75,2.025,2.2,1.96,1.875,3.0,1.8,3.2,2.8,2.3,2.0,2.62,2.75,2.75,2.3,3.3,1.88,3.2,0.25,0.25,3.25,2.35,3.4,2.9,3.3,2.7,2.0,1.8,Portsmouth,Bolton,Portsmouth_Bolton_2004
367,1.67,-0.75,4.6,4.2,5.0,1.95,1.75,1.8,4.5,1.76,2.1,3.2,1.75,3.2,1.71,3.8,1.8,1.72,1.8,1.72,4.8,3.4,2.08,3.5,-0.75,-0.75,3.25,4.3,3.4,1.75,3.35,1.7,2.05,2.0,Arsenal,Liverpool,Arsenal_Liverpool_2004
368,2.25,-0.25,3.0,2.9,3.2,2.0,1.71,1.85,2.75,,2.05,2.8,1.65,3.2,2.4,3.0,1.85,2.1,2.4,2.2,2.7,3.2,,3.2,,-0.25,3.2,2.7,3.25,2.3,3.2,2.3,2.2,1.95,Man United,Chelsea,Man United_Chelsea_2004
