,LBH,GBAH,SBA,IWA,B365A,GB>2.5,GB<2.5,B365AHA,LBA,LBAHA,B365AHH,IWD,B365<2.5,GBH,SOH,WHA,GBAHA,SOA,WHH,GBA,B365H,SBD,LBAHH,WHD,LBAH,B365AH,LBD,SBH,B365D,GBD,IWH,B365>2.5,SOD,GBAHH,HomeTeam,AwayTeam,idGame
282,1.4,-1.25,7.5,5.4,7.5,1.79,1.9,2.075,7.0,2.05,1.825,3.8,1.9,1.44,1.44,6.5,1.75,8.0,1.44,7.5,1.444,3.75,1.8,3.6,-1.0,-1.0,3.75,1.4,4.0,4.0,1.45,1.9,3.75,2.0,Chelsea,Fulham,Chelsea_Fulham_2003
283,2.375,-0.25,2.6,2.7,2.7,1.85,1.85,2.0,2.6,2.0,1.9,2.9,1.8,2.5,2.4,2.7,1.6,2.8,2.37,2.72,2.5,3.2,1.85,3.0,0.0,0.0,3.2,2.4,3.25,3.2,2.4,2.0,3.25,2.2,Leicester,Everton,Leicester_Everton_2003
284,1.364,-1.0,7.5,7.0,9.0,1.79,1.9,2.1,8.0,2.1,1.8,4.0,1.9,1.4,1.3,8.0,2.3,10.0,1.36,8.5,1.364,4.0,1.75,3.75,-1.25,-1.25,3.75,1.36,4.333,4.0,1.35,1.9,4.75,1.55,Liverpool,Wolves,Liverpool_Wolves_2003
285,1.4,-1.0,7.5,6.5,7.5,1.65,2.05,1.825,7.0,1.85,2.075,3.9,2.05,1.44,1.44,6.5,1.95,6.5,1.44,7.5,1.444,3.75,2.0,3.6,-1.25,-1.25,3.75,1.4,4.0,4.0,1.37,1.75,4.2,1.8,Man United,Tottenham,Man United_Tottenham_2003
286,2.0,0.0,3.0,2.7,3.25,2.0,1.71,2.0,3.2,2.0,1.9,3.0,1.66,2.2,2.2,2.8,2.45,3.2,2.25,3.2,2.2,3.25,1.85,3.1,-0.25,-0.25,3.2,2.1,3.2,3.2,2.3,2.15,3.2,1.5,Middlesbrough,Birmingham,Middlesbrough_Birmingham_2003
287,1.615,-1.0,4.5,4.2,5.0,1.85,1.85,1.875,5.0,1.9,2.025,3.2,1.8,1.7,1.67,4.5,1.65,5.0,1.66,5.0,1.7269999999999999,3.4,1.95,3.3,-0.75,-0.75,3.25,1.66,3.4,3.4,1.7,2.0,3.6,2.15,Newcastle,Charlton,Newcastle_Charlton_2003
288,2.5,-0.25,2.6,2.7,2.7,1.95,1.75,2.05,2.5,2.0,1.85,3.0,1.66,2.5,2.5,2.6,1.7,2.63,2.4,2.7,2.6,3.2,1.85,3.1,0.0,0.0,3.2,2.4,3.1,3.2,2.3,2.15,3.3,2.05,Portsmouth,Southampton,Portsmouth_Southampton_2003
289,2.25,-0.25,2.62,2.7,2.7,1.79,1.9,2.05,2.75,2.05,1.85,3.0,1.85,2.45,2.5,2.4,1.7,2.63,2.6,2.77,2.5,3.2,1.8,3.1,0.0,0.0,3.2,2.37,3.25,3.2,2.3,1.95,3.3,2.05,Leeds,Man City,Leeds_Man City_2003
290,1.7269999999999999,-0.25,3.6,4.0,4.333,1.9,1.79,1.85,4.0,1.85,2.05,3.2,1.8,1.95,1.8,4.0,2.2,4.33,1.72,3.75,1.8330000000000002,3.4,2.0,3.4,-0.5,-0.5,3.4,1.83,3.3,3.3,1.75,2.0,3.4,1.6,Birmingham,Leeds,Birmingham_Leeds_2003
291,1.8,-1.0,4.2,3.8,4.333,1.9,1.79,2.1,3.75,1.9,1.8,3.1,1.85,1.8,1.73,4.5,1.65,4.75,1.66,4.4,1.8,3.4,1.95,3.3,-0.75,-0.5,3.25,1.72,3.4,3.35,1.8,1.95,3.4,2.15,Blackburn,Portsmouth,Blackburn_Portsmouth_2003
