,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
281,5,Konyaspor,16,0,0,1,0,0,1,2,15,A,6,2018-05-05,Karabukspor,T1,3,0,1,2,A,9,Karabukspor_Konyaspor_2017
282,4,Kasimpasa,15,2,0,5,1,2,3,2,9,A,10,2018-05-05,Trabzonspor,T1,6,10,8,20,A,3,Trabzonspor_Kasimpasa_2017
283,5,Galatasaray,12,1,0,2,0,1,2,2,11,A,13,2018-05-06,Akhisar Belediyespor,T1,5,2,4,8,A,4,Akhisar Belediyespor_Galatasaray_2017
284,2,Bursaspor,12,2,2,1,0,0,0,2,13,H,7,2018-05-06,Fenerbahce,T1,4,7,5,19,D,4,Fenerbahce_Bursaspor_2017
285,3,Antalyaspor,14,0,0,1,0,0,0,2,20,A,10,2018-05-06,Genclerbirligi,T1,4,2,4,8,D,5,Genclerbirligi_Antalyaspor_2017
286,2,Kayserispor,14,2,1,0,2,1,0,4,11,H,8,2018-05-07,Besiktas,T1,1,7,7,10,H,7,Besiktas_Kayserispor_2017
287,3,Yeni Malatyaspor,15,0,0,0,0,0,0,1,14,D,8,2018-05-07,Goztep,T1,4,2,8,8,D,0,Goztep_Yeni Malatyaspor_2017
288,1,Buyuksehyr,14,0,0,2,0,0,1,1,11,A,10,2018-05-11,Antalyaspor,T1,7,3,5,7,A,3,Antalyaspor_Buyuksehyr_2017
289,1,Yeni Malatyaspor,15,2,0,0,2,0,0,5,14,H,6,2018-05-12,Galatasaray,T1,1,6,3,13,H,2,Galatasaray_Yeni Malatyaspor_2017
290,4,Genclerbirligi,15,3,1,1,1,0,0,3,8,H,14,2018-05-12,Kasimpasa,T1,9,7,3,15,H,5,Kasimpasa_Genclerbirligi_2017
291,2,Goztep,11,1,1,1,0,0,0,6,13,D,9,2018-05-12,Konyaspor,T1,7,1,7,7,D,10,Konyaspor_Goztep_2017
292,2,Trabzonspor,12,1,0,3,1,0,3,3,20,A,8,2018-05-13,Bursaspor,T1,3,4,7,13,A,3,Bursaspor_Trabzonspor_2017
293,0,Besiktas,9,2,0,3,1,0,0,1,15,A,10,2018-05-13,Osmanlispor,T1,4,5,5,12,H,6,Osmanlispor_Besiktas_2017
294,3,Alanyaspor,12,2,0,2,1,0,1,7,12,D,9,2018-05-13,Sivasspor,T1,6,4,4,6,D,2,Sivasspor_Alanyaspor_2017
295,2,Fenerbahce,11,0,0,7,0,0,4,2,13,A,21,2018-05-14,Karabukspor,T1,14,3,2,3,A,12,Karabukspor_Fenerbahce_2017
296,2,Akhisar Belediyespor,7,1,0,2,0,0,0,3,9,A,9,2018-05-14,Kayserispor,T1,7,1,8,10,D,1,Kayserispor_Akhisar Belediyespor_2017
297,0,Osmanlispor,7,2,0,1,1,0,1,0,8,H,14,2018-05-18,Akhisar Belediyespor,T1,4,10,3,13,D,3,Akhisar Belediyespor_Osmanlispor_2017
298,2,Antalyaspor,21,3,0,2,1,0,1,1,17,H,5,2018-05-18,Alanyaspor,T1,4,9,6,13,D,5,Alanyaspor_Antalyaspor_2017
299,0,Bursaspor,8,1,0,0,1,0,0,0,16,H,10,2018-05-18,Genclerbirligi,T1,4,4,3,9,H,5,Genclerbirligi_Bursaspor_2017
300,1,Karabukspor,13,3,0,0,0,0,0,3,15,H,9,2018-05-18,Trabzonspor,T1,6,12,5,25,D,9,Trabzonspor_Karabukspor_2017
301,0,Kayserispor,3,3,0,2,2,0,0,1,6,H,17,2018-05-18,Yeni Malatyaspor,T1,11,3,3,8,H,9,Yeni Malatyaspor_Kayserispor_2017
302,3,Sivasspor,16,5,0,1,1,0,0,4,11,H,6,2018-05-19,Besiktas,T1,3,10,7,16,H,4,Besiktas_Sivasspor_2017
303,3,Kasimpasa,9,3,0,2,2,0,2,3,6,H,6,2018-05-19,Buyuksehyr,T1,4,6,8,16,D,2,Buyuksehyr_Kasimpasa_2017
304,0,Konyaspor,7,3,0,2,2,0,0,3,8,H,12,2018-05-19,Fenerbahce,T1,9,7,7,14,H,4,Fenerbahce_Konyaspor_2017
305,1,Galatasaray,14,0,1,1,0,0,0,2,12,A,8,2018-05-19,Goztep,T1,2,3,4,8,D,3,Goztep_Galatasaray_2017
