,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
56,3,Rangers,26,0,0,0,0,H Dallas,0,0,1,15,D,11,2003-10-25,Livingston,SC0,5,1,2,7,D,8,Livingston_Rangers_2003
57,0,Hearts,11,1,0,4,0,W Young,0,3,2,19,A,10,2003-10-25,Partick,SC0,8,4,3,8,A,5,Partick_Hearts_2003
58,1,Dundee,12,1,0,1,0,M McCurry,0,1,0,13,D,4,2003-10-26,Dundee United,SC0,2,4,5,13,A,7,Dundee United_Dundee_2003
59,0,Motherwell,8,0,0,3,0,K Toner,0,1,1,17,A,7,2003-11-01,Aberdeen,SC0,6,5,7,10,A,3,Aberdeen_Motherwell_2003
60,3,Hibernian,12,1,0,1,1,K Clark,1,0,0,15,D,14,2003-11-01,Dundee,SC0,8,4,5,5,H,11,Dundee_Hibernian_2003
61,0,Dundee United,10,2,0,0,0,D McDonald,0,0,2,11,H,3,2003-11-01,Dunfermline,SC0,1,8,8,19,D,4,Dunfermline_Dundee United_2003
62,2,Livingston,9,3,1,1,0,S Dougal,0,0,3,14,H,12,2003-11-01,Hearts,SC0,8,7,5,11,D,6,Hearts_Livingston_2003
63,3,Celtic,17,0,0,5,0,H Dallas,0,1,1,8,A,11,2003-11-01,Kilmarnock,SC0,6,2,8,4,A,7,Kilmarnock_Celtic_2003
64,2,Partick,14,3,0,1,2,J Rowbotham,0,0,5,13,H,9,2003-11-01,Rangers,SC0,2,6,2,11,H,3,Rangers_Partick_2003
65,0,Dunfermline,8,5,0,0,1,M McCurry,0,0,2,10,H,3,2003-11-08,Celtic,SC0,1,11,4,17,H,1,Celtic_Dunfermline_2003
66,0,Motherwell,10,0,0,1,0,I Brines,0,0,1,11,A,12,2003-11-08,Dundee,SC0,8,3,7,10,D,5,Dundee_Motherwell_2003
67,1,Dundee United,7,2,0,2,1,C Richmond,0,1,1,14,D,7,2003-11-08,Hibernian,SC0,4,6,4,9,D,7,Hibernian_Dundee United_2003
68,1,Partick,14,2,0,0,2,A Freeland,0,0,3,11,H,9,2003-11-08,Livingston,SC0,4,12,3,15,H,4,Livingston_Partick_2003
69,4,Hearts,13,0,0,1,0,C Thomson,2,1,3,20,A,7,2003-11-09,Aberdeen,SC0,5,2,6,5,A,3,Aberdeen_Hearts_2003
70,1,Rangers,17,2,0,3,1,J Underhill,0,1,1,10,A,22,2003-11-09,Kilmarnock,SC0,9,4,3,5,D,16,Kilmarnock_Rangers_2003
71,1,Celtic,17,1,0,5,0,K Clark,0,1,2,15,A,13,2003-11-22,Dundee United,SC0,8,5,6,7,A,6,Dundee United_Celtic_2003
72,0,Dundee,10,2,0,0,0,S Conroy,0,0,2,18,H,6,2003-11-22,Dunfermline,SC0,3,5,1,10,D,7,Dunfermline_Dundee_2003
73,1,Livingston,7,1,0,1,1,J Underhill,0,1,4,19,D,8,2003-11-22,Motherwell,SC0,1,5,3,9,D,2,Motherwell_Livingston_2003
74,2,Kilmarnock,17,2,0,4,1,D McDonald,0,1,2,17,A,13,2003-11-22,Partick,SC0,8,7,6,11,D,8,Partick_Kilmarnock_2003
75,0,Aberdeen,3,3,1,0,0,W Young,0,0,3,17,H,3,2003-11-22,Rangers,SC0,2,12,13,18,D,3,Rangers_Aberdeen_2003
76,1,Hibernian,14,2,0,0,1,H Dallas,0,0,2,13,H,7,2003-11-23,Hearts,SC0,1,1,6,8,H,6,Hearts_Hibernian_2003
77,2,Dunfermline,9,2,0,2,0,A Freeland,0,2,2,12,D,9,2003-11-25,Motherwell,SC0,4,8,8,15,A,3,Motherwell_Dunfermline_2003
78,1,Partick,13,3,0,1,2,C Thomson,0,1,4,20,H,4,2003-11-29,Celtic,SC0,3,10,8,18,H,3,Celtic_Partick_2003
79,1,Aberdeen,12,2,0,2,0,I Brines,0,1,4,14,D,8,2003-11-29,Dunfermline,SC0,2,8,8,15,A,0,Dunfermline_Aberdeen_2003
80,2,Motherwell,14,2,0,0,1,M McCurry,0,0,1,8,H,5,2003-11-29,Kilmarnock,SC0,5,5,1,12,H,11,Kilmarnock_Motherwell_2003
81,1,Dundee,8,1,0,1,0,J Rowbotham,0,0,1,13,D,14,2003-11-29,Livingston,SC0,7,2,3,5,D,3,Livingston_Dundee_2003
82,3,Hearts,13,2,0,1,2,A Freeland,0,0,3,19,H,6,2003-11-30,Dundee United,SC0,4,7,2,11,H,9,Dundee United_Hearts_2003
83,3,Rangers,15,0,0,1,0,S Dougal,0,0,3,10,A,14,2003-11-30,Hibernian,SC0,9,4,6,15,D,8,Hibernian_Rangers_2003
84,1,Kilmarnock,11,1,0,2,1,C Murray,0,2,1,16,A,6,2003-12-06,Dundee,SC0,4,5,17,15,A,3,Dundee_Kilmarnock_2003
85,2,Hearts,22,2,0,1,1,C Richmond,0,1,2,19,H,14,2003-12-06,Dunfermline,SC0,7,6,6,9,D,11,Dunfermline_Hearts_2003
86,1,Celtic,12,0,0,2,0,H Dallas,0,0,2,16,A,17,2003-12-06,Livingston,SC0,9,2,3,7,D,12,Livingston_Celtic_2003
87,1,Dundee United,13,2,0,1,2,J Underhill,0,0,5,20,H,8,2003-12-06,Rangers,SC0,2,7,8,19,H,4,Rangers_Dundee United_2003
88,2,Hibernian,10,3,0,1,1,K Clark,0,0,3,20,H,11,2003-12-07,Aberdeen,SC0,5,3,5,11,H,7,Aberdeen_Hibernian_2003
89,1,Motherwell,15,1,0,0,0,T Brown,0,0,0,13,H,6,2003-12-07,Partick,SC0,3,7,7,9,D,6,Partick_Motherwell_2003
90,1,Dundee,11,3,0,2,1,K Clark,0,1,4,14,H,8,2003-12-13,Celtic,SC0,5,9,9,12,D,8,Celtic_Dundee_2003
91,1,Livingston,14,2,0,0,1,D McDonald,0,0,1,23,H,9,2003-12-13,Dundee United,SC0,4,2,4,5,H,5,Dundee United_Livingston_2003
92,3,Kilmarnock,17,2,0,1,0,I Brines,0,0,2,11,H,6,2003-12-13,Hearts,SC0,4,7,8,8,D,5,Hearts_Kilmarnock_2003
93,0,Hibernian,9,0,0,1,0,C Thomson,0,0,1,15,A,13,2003-12-13,Motherwell,SC0,9,6,7,11,D,12,Motherwell_Hibernian_2003
94,1,Aberdeen,6,0,0,3,0,S Dougal,0,1,2,9,A,11,2003-12-13,Partick,SC0,6,1,8,7,A,4,Partick_Aberdeen_2003
95,0,Rangers,14,2,0,0,1,A Freeland,0,0,2,13,H,9,2003-12-14,Dunfermline,SC0,6,5,1,5,H,7,Dunfermline_Rangers_2003
96,1,Dundee,15,2,0,2,1,M McCurry,0,1,2,9,D,7,2003-12-20,Aberdeen,SC0,4,8,6,12,D,7,Aberdeen_Dundee_2003
97,0,Livingston,5,0,0,3,0,C Richmond,0,0,3,16,A,11,2003-12-20,Kilmarnock,SC0,7,4,6,9,D,3,Kilmarnock_Livingston_2003
98,1,Hearts,11,2,0,1,1,H Dallas,0,1,1,21,H,13,2003-12-20,Rangers,SC0,10,9,4,17,D,8,Rangers_Hearts_2003
99,2,Dunfermline,17,1,0,2,0,I Fyfe,0,2,2,22,A,11,2003-12-21,Hibernian,SC0,2,2,2,8,A,3,Hibernian_Dunfermline_2003
100,2,Celtic,16,0,0,2,0,J Underhill,0,1,3,17,A,8,2003-12-21,Motherwell,SC0,6,5,9,7,A,2,Motherwell_Celtic_2003
101,3,Partick,10,0,0,0,0,S Conroy,0,0,1,12,D,8,2003-12-23,Dundee United,SC0,6,7,7,10,D,4,Dundee United_Partick_2003
102,2,Hibernian,8,6,1,0,2,A Freeland,0,0,2,12,H,4,2003-12-27,Celtic,SC0,1,8,4,17,H,3,Celtic_Hibernian_2003
103,0,Motherwell,13,0,0,0,0,J Rowbotham,0,0,0,12,D,6,2003-12-27,Hearts,SC0,2,5,6,10,D,2,Hearts_Motherwell_2003
104,1,Dundee United,12,0,0,2,0,K Toner,0,1,1,10,A,3,2003-12-27,Kilmarnock,SC0,2,4,6,7,A,4,Kilmarnock_Dundee United_2003
105,0,Aberdeen,10,1,0,1,0,K Clark,0,1,0,10,D,13,2003-12-27,Livingston,SC0,7,4,7,16,A,5,Livingston_Aberdeen_2003
106,0,Dunfermline,12,4,1,1,1,C Murray,0,0,0,13,H,11,2003-12-27,Partick,SC0,5,8,3,12,H,3,Partick_Dunfermline_2003
107,1,Rangers,12,0,0,2,0,D McDonald,0,0,0,11,A,12,2003-12-28,Dundee,SC0,8,8,6,11,D,10,Dundee_Rangers_2003
108,1,Kilmarnock,13,3,0,1,2,H Dallas,0,0,1,13,H,6,2004-01-03,Aberdeen,SC0,3,5,6,10,H,4,Aberdeen_Kilmarnock_2003
109,0,Rangers,13,3,0,0,1,S Dougal,0,0,4,15,H,5,2004-01-03,Celtic,SC0,1,4,10,9,H,3,Celtic_Rangers_2003
110,2,Livingston,16,2,0,2,1,M McCurry,0,1,3,16,D,8,2004-01-03,Dunfermline,SC0,7,5,6,7,D,2,Dunfermline_Livingston_2003
111,0,Partick,14,3,0,2,2,I Brines,0,0,4,20,H,3,2004-01-03,Hibernian,SC0,2,5,7,10,H,11,Hibernian_Partick_2003
112,3,Dundee United,18,3,0,1,0,C Richmond,0,1,2,14,H,6,2004-01-03,Motherwell,SC0,4,7,6,11,A,5,Motherwell_Dundee United_2003
113,1,Hearts,15,1,0,2,0,C Thompson,0,0,2,15,A,12,2004-01-06,Dundee,SC0,6,6,9,9,D,5,Dundee_Hearts_2003
114,2,Aberdeen,12,3,0,2,1,S Dougal,0,0,3,16,H,12,2004-01-17,Dundee United,SC0,4,9,5,12,H,7,Dundee United_Aberdeen_2003
115,1,Dunfermline,10,1,0,1,1,W Young,0,0,0,10,D,15,2004-01-17,Kilmarnock,SC0,7,7,6,12,H,7,Kilmarnock_Dunfermline_2003
116,3,Hibernian,12,1,0,0,1,J Underhill,0,0,2,13,H,12,2004-01-17,Livingston,SC0,9,5,5,11,H,0,Livingston_Hibernian_2003
117,0,Dundee,15,1,0,2,1,M Ritchie,0,0,0,11,A,9,2004-01-17,Partick,SC0,7,3,4,6,H,6,Partick_Dundee_2003
118,2,Motherwell,13,1,0,0,0,C Thomson,0,0,1,16,H,7,2004-01-17,Rangers,SC0,0,3,3,10,D,6,Rangers_Motherwell_2003
119,5,Celtic,22,0,0,1,0,K Clark,0,1,5,17,A,9,2004-01-18,Hearts,SC0,6,5,2,10,A,6,Hearts_Celtic_2003
120,0,Celtic,10,1,0,3,0,J Rowbotham,0,2,0,8,A,9,2004-01-24,Aberdeen,SC0,6,3,6,4,A,3,Aberdeen_Celtic_2003
121,1,Motherwell,11,1,0,0,0,D MacDonald,0,0,1,13,H,3,2004-01-24,Dunfermline,SC0,1,5,6,14,D,1,Dunfermline_Motherwell_2003
122,1,Partick,11,2,1,0,1,M McCurry,0,0,4,12,H,6,2004-01-24,Hearts,SC0,1,6,3,9,H,5,Hearts_Partick_2003
123,0,Hibernian,16,0,0,2,0,H Dallas,0,0,1,22,A,10,2004-01-24,Kilmarnock,SC0,5,8,9,10,D,5,Kilmarnock_Hibernian_2003
124,1,Livingston,11,1,0,0,1,I Brines,0,0,2,17,H,16,2004-01-24,Rangers,SC0,8,13,9,18,H,4,Rangers_Livingston_2003
125,1,Dundee United,11,2,0,1,0,A Freeland,0,1,3,11,H,5,2004-01-25,Dundee,SC0,3,6,5,10,A,6,Dundee_Dundee United_2003
126,0,Kilmarnock,9,5,0,1,0,T Brown,0,0,0,13,H,5,2004-01-31,Celtic,SC0,3,7,9,13,D,1,Celtic_Kilmarnock_2003
127,1,Dunfermline,13,1,0,0,0,K Clark,0,0,1,12,H,8,2004-01-31,Dundee United,SC0,3,2,10,8,D,5,Dundee United_Dunfermline_2003
128,0,Dundee,11,1,0,1,0,S Conroy,0,1,3,9,D,6,2004-01-31,Hibernian,SC0,4,7,1,10,A,3,Hibernian_Dundee_2003
