,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
169,19:45:00,2,Ross County,10,0,4,1,2,A Muir,0,1,3,13,H,7,2020-03-04,Motherwell,SC0,4,8,8,17,H,5,Motherwell_Ross County_2019
170,19:45:00,1,Hamilton,6,0,0,1,0,N Walsh,0,0,1,9,A,8,2020-03-04,Rangers,SC0,3,9,16,31,D,1,Rangers_Hamilton_2019
171,19:45:00,2,St Johnstone,10,1,0,0,0,E Anderson,0,0,1,13,D,9,2020-03-04,St Mirren,SC0,2,4,9,15,D,5,St Mirren_St Johnstone_2019
172,15:00:00,0,Hibernian,11,1,3,1,0,J Beaton,0,1,2,12,H,6,2020-03-07,Aberdeen,SC0,4,5,7,15,A,0,Aberdeen_Hibernian_2019
173,15:00:00,1,St Mirren,9,0,5,0,2,G Duncan,0,0,2,5,H,8,2020-03-07,Celtic,SC0,4,16,10,19,H,1,Celtic_St Mirren_2019
174,15:00:00,2,Kilmarnock,12,0,1,0,0,W Collum,1,0,2,11,H,14,2020-03-07,Hamilton,SC0,5,2,6,11,D,9,Hamilton_Kilmarnock_2019
175,15:00:00,2,Motherwell,11,0,1,1,0,D Robertson,0,1,3,12,D,11,2020-03-07,Hearts,SC0,5,2,7,12,A,5,Hearts_Motherwell_2019
176,15:00:00,1,Livingston,10,0,1,0,0,K Clancy,0,0,2,11,H,9,2020-03-07,St Johnstone,SC0,4,3,5,3,D,7,St Johnstone_Livingston_2019
177,12:00:00,4,Rangers,13,0,0,1,0,A Dallas,0,0,0,8,A,12,2020-03-08,Ross County,SC0,7,2,5,3,D,15,Ross County_Rangers_2019
178,19:45:00,0,Hearts,16,0,1,0,0,A Muir,0,0,2,19,H,5,2020-03-11,St Mirren,SC0,1,3,5,8,D,3,St Mirren_Hearts_2019
