,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,LBAHA,WHH,BWA,LBAHH,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
166,7.0,1.12,17.0,-2.25,1.11,17.0,7.0,-2.25,12.0,17.0,1.1,17.0,7.5,1.1,1.78,1.11,16.0,2.06,1.1,13.0,,1.1,6.5,2.05,1.8,1.5,,2.35,6.5,6.5,7.0,,Rangers,Inverness C,Rangers_Inverness C_2004
167,3.6,6.0,1.4,1.25,7.5,1.44,3.55,0.75,1.44,1.5,7.0,1.43,3.75,7.0,2.1,6.5,1.45,1.74,7.0,1.4,,6.9,4.0,1.7,2.15,2.05,,1.65,3.9,3.75,3.75,,Hibernian,Celtic,Hibernian_Celtic_2004
168,3.2,2.3,2.75,-0.25,2.25,2.75,3.2,-0.25,2.75,2.75,2.2,2.85,3.25,2.3,1.84,2.25,2.8,2.0,2.25,2.6,1.5,2.25,3.25,2.025,1.825,1.95,-0.5,1.75,3.1,3.25,3.15,2.25,Aberdeen,Hibernian,Aberdeen_Hibernian_2004
169,7.0,1.12,17.0,-2.25,1.1,15.0,7.25,-2.25,13.0,17.0,1.08,15.0,7.5,1.1,1.84,1.1,15.0,2.0,1.1,13.0,,1.1,7.5,2.0,1.85,,,,6.5,7.0,7.0,,Celtic,Dunfermline,Celtic_Dunfermline_2004
170,3.2,1.7,4.0,-0.5,1.85,3.75,3.4,-0.5,3.75,3.6,1.73,4.4,3.4,1.83,1.82,1.83,3.4,2.02,1.9,4.2,1.76,1.7,3.25,2.1,1.75,1.9,-0.5,1.79,3.2,3.4,3.3,1.83,Hearts,Inverness C,Hearts_Inverness C_2004
171,3.2,1.85,3.5,-0.5,1.83,3.75,3.3,-0.5,3.75,3.5,1.8,3.8,3.4,1.9,1.98,1.83,3.9,1.86,1.8,3.6,1.77,1.8,3.3,1.85,2.0,1.85,-0.5,1.85,3.1,3.5,3.3,1.8,Kilmarnock,Dundee United,Kilmarnock_Dundee United_2004
172,3.1,2.5,2.5,0.0,2.6,2.4,3.2,0.0,2.37,2.5,2.4,2.4,3.25,2.5,2.08,2.62,2.5,1.76,2.5,2.4,2.4,2.65,3.2,1.8,2.05,1.9,0.5,1.79,3.1,3.25,3.1,1.43,Livingston,Motherwell,Livingston_Motherwell_2004
173,4.5,9.0,1.22,1.5,10.0,1.25,5.25,1.5,1.25,1.25,10.0,1.25,5.5,11.0,2.04,10.0,1.2,1.8,11.0,1.25,,9.0,5.5,1.8,2.05,,,,4.5,5.0,4.8,,Dundee,Rangers,Dundee_Rangers_2004
174,4.5,8.5,1.25,1.5,12.0,1.22,5.25,1.5,1.25,1.25,8.0,1.25,5.5,11.0,1.8,10.0,1.2,2.04,11.0,1.27,,9.0,5.5,2.0,1.85,,,,4.3,5.0,5.0,,Inverness C,Celtic,Inverness C_Celtic_2004
175,3.6,1.5,5.0,-1.0,1.57,5.5,3.45,,5.0,5.0,1.57,5.5,3.6,1.57,,1.53,5.6,,1.55,5.0,2.14,1.55,3.4,2.0,1.85,1.75,-0.5,1.95,3.7,3.5,3.5,1.55,Aberdeen,Dundee,Aberdeen_Dundee_2004
